Data Year,ID,Property Name,Address,ZIP Code,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,# of Buildings,ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),All Other Fuel Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude,Location
2014,103602,190 South LaSalle,190 South LaSalle,60603,LOOP,Office,"882,560",1985,1,78,"63,997,553",,,,"33,120",73,228,70,220,"12,860",14.57,41.8797561,-87.63268685,"(41.8797561, -87.63268685)"
2014,101718,70 W Madison,70 W. Madison St,60602,LOOP,Office,"1,567,321",1981,1,72,"105,823,828","1,872,277",,,,69,213,67,208,"21,361",13.63,41.88229695,-87.630198,"(41.88229695, -87.630198)"
2014,101731,175 W. Jackson,175 W. Jackson,60604,LOOP,Office,"1,809,140",1928,1,90,"77,678,650","33,398,517",,"45,910,864",,87,180,84,176,"19,800",10.94,41.87749352,-87.63319804,"(41.87749352, -87.63319804)"
2014,101827,Burnham Center,111 West Washington,60602,LOOP,Office,"570,760",1914,1,74,"25,665,129","30,306,855",,,,98,197,94,192,"6,766",11.85,41.88285809,-87.631408,"(41.88285809, -87.631408)"
2014,109613,Cook County Department of Corrections Campus,2700 S. California Ave.,60608,SOUTH LAWNDALE,Prison/Incarceration,"4,570,176",1926,57,,"188,712,261","557,920,205",,,,163,258,156,250,"67,549",14.78,41.84329289,-87.69598814,"(41.84329289, -87.69598814)"
2014,101923,311 West Monroe,311 West Monroe,60606,LOOP,Office,"411,672",1969,1,21,"42,987,208","51,331,336",,,,229,459,226,455,"11,363",27.6,41.88030523,-87.63570062,"(41.88030523, -87.63570062)"
2014,101798,HEADQUARTERS Q12380,225 W. RANDOLPH,60606,LOOP,Office,"976,496",1968,1,73,"41,596,477","67,457,365",,,,112,206,107,201,"11,940",12.23,41.88411639,-87.63478478,"(41.88411639, -87.63478478)"
2014,101676,O'Hare Plaza I,8725-45 W. Higgins Road,60631,OHARE,Office,"538,105",1969,1,81,"25,242,259","27,050,011",,"-6,664",,97,200,,,"6,508",12.09,41.98681144,-87.84464462,"(41.98681144, -87.84464462)"
2014,101682,8750 West Bryn Mawr Ave - Triangle Plaza-,8750 West Bryn Mawr Ave,60631,OHARE,Office,"691,766",1985,1,82,"42,278,570","403,084",,,,62,193,59,185,"8,516",12.31,41.98305124,-87.84427691,"(41.98305124, -87.84427691)"
2014,101887,USG Building,550 W. Adams,60661,NEAR WEST SIDE,Office,"509,038",2006,1,85,"28,427,269","778,680",,,,57,177,57,177,"5,753",11.3,41.87954979,-87.64173979,"(41.87954979, -87.64173979)"
2014,101492,Wright College,4300 North Narragansett,60634,DUNNING,College/University,"544,380",1993,4,,"19,210,710",,,,,35,111,35,111,"3,860",7.09,41.95813043,-87.78958012,"(41.95813043, -87.78958012)"
2014,101729,540 West Madison,540 W. Madison,60661,NEAR WEST SIDE,Financial Office,"1,222,281",2004,1,77,"91,870,045","1,060,716",,,,76,237,75,233,"18,514",15.15,41.88256638,-87.6416484,"(41.88256638, -87.6416484)"
2014,101762,RICHARD J. DALEY CENTER,50 W. WASHINGTON,60602,LOOP,Courthouse,"1,541,766",1965,1,81,"58,666,645","87,365,508",,,,95,179,90,174,"16,427",10.65,41.88409726,-87.63019634,"(41.88409726, -87.63019634)"
2014,102331,DisneyMagnet-CPS,4140 N Marine Dr,60613,UPTOWN,K-12 School,"259,785",1971,1,2,"18,079,605",,,,,70,219,69,216,"3,632",13.98,41.95672595,-87.64700522,"(41.95672595, -87.64700522)"
2014,101804,401 N Michigan Avenue,401 N Michigan Avenue,60611,NEAR NORTH SIDE,Office,"878,884",1965,1,74,"34,658,345","67,941,037",,,,117,205,110,198,"10,572",12.03,41.88961452,-87.62297649,"(41.88961452, -87.62297649)"
2014,103639,LaSalle-Wacker Building,221 North LaSalle Street,60601,LOOP,Office,"501,342",1929,1,81,"18,430,345","25,567,893",,"9,498,237",,107,188,103,184,"5,562",11.09,41.88653309,-87.63199926,"(41.88653309, -87.63199926)"
2014,101850,One East Wacker,One East Wacker Drive,60601,LOOP,Office,"579,275",1962,1,92,"17,315,777","30,032,601",,,,82,148,77,142,"5,074",8.76,41.88653035,-87.62754249,"(41.88653035, -87.62754249)"
2014,250048,Kennedy High-CPS,6325 W 56th St,60638,GARFIELD RIDGE,K-12 School,"358,364",1957,1,66,"9,845,145","12,451,423",,,,62,123,60,120,"2,639",7.37,41.79020209,-87.77942169,"(41.79020209, -87.77942169)"
2014,250150,Reid Murdoch Center,315-331 N. LaSalle,60654,NEAR NORTH SIDE,Office,"335,281",1912,1,64,"24,220,915",,,,,72,227,72,227,"4,866",14.51,41.88810068,-87.63181582,"(41.88810068, -87.63181582)"
2014,101876,55 E Jackson Blvd,55 E Jackson Blvd,60604,LOOP,Office,"451,233",1963,1,36,"33,178,363","35,651,422",,,,153,314,147,308,"8,560",18.97,41.8780063,-87.62558458,"(41.8780063, -87.62558458)"
2014,100001,Presence SMEMC St Elizabeth Campus,1431 North Claremont Ave,60622,WEST TOWN,Hospital (General Medical & Surgical),"309,056",1928,1,75,"21,470,037","42,125,999",,,,206,361,200,355,"6,551",21.2,41.90743588,-87.68538017,"(41.90743588, -87.68538017)"
2014,158121,Chase Tower Chicago,10 S. Dearborn,60603,LOOP,Financial Office,"2,429,909",1967,1,74,"184,219,476","1,991,888",,"1,230,948",,77,239,74,230,,,41.88163958,-87.63010692,"(41.88163958, -87.63010692)"
2014,101954,Garland Building,111 N. Wabash Avenue,60602,LOOP,Office,"259,000",1914,1,44,"16,443,882","20,495,721",,,,143,282,137,274,"4,392",16.96,41.88347296,-87.62574183,"(41.88347296, -87.62574183)"
2014,101856,111 West Jackson,111 West Jackson Blvd,60604-3589,LOOP,Office,"620,454",1962,1,76,"27,102,604","36,050,637",,"13,035,197",,123,219,116,212,"8,047",12.97,41.87784862,-87.63130907,"(41.87784862, -87.63130907)"
2014,101848,200 West Monroe,200 W. Monroe,60606,LOOP,Office,"649,265",1973,1,43,"60,188,124","436,393",,,,93,292,90,280,"12,116",18.66,41.8810266,-87.63432282,"(41.8810266, -87.63432282)"
2014,101940,Mallers Building LLC,5 S. Wabash Ave.,60603,LOOP,Enclosed Mall,"315,000",1912,1,,"13,748,941","14,041,471",,,,88,184,,,"3,508",11.14,41.88185833,-87.62566994,"(41.88185833, -87.62566994)"
2014,157767,Roosevelt Hi-CPS,3436 W WILSON AVE,60625,ALBANY PARK,K-12 School,"319,900",1927,1,71,"6,889,272","18,731,796",,,,80,129,75,122,"2,379",7.44,41.96501325,-87.71451268,"(41.96501325, -87.71451268)"
2014,103692,CNA Building,333 S. Wabash,60685,LOOP,Office,"1,274,198",1974,1,58,"85,319,448","67,417,316",,,,120,266,116,262,"20,723",16.26,41.87740181,-87.62564302,"(41.87740181, -87.62564302)"
2014,101567,The Monadnock Building,53 W. Jackson Blvd,60604,LOOP,Office,"496,749",1890,1,97,"9,943,121","15,086,404",,,,50,95,47,91,"2,799",5.63,41.87752434,-87.6295529,"(41.87752434, -87.6295529)"
2014,103766,640 N LaSalle,640 N LaSalle Dr,60654,NEAR NORTH SIDE,Office,"282,343",1969,1,60,"21,638,044","10,650,291",,,,114,280,112,278,"4,913",17.4,41.89361489,-87.63342151,"(41.89361489, -87.63342151)"
2014,103601,120 South LaSalle Street Building,120 South LaSalle Street,60603,LOOP,Office,"760,892",1929,1,91,"21,194,744","22,781,363",,"10,670,916",,72,133,69,130,"6,031",7.93,41.88035359,-87.63280586,"(41.88035359, -87.63280586)"
2014,101737,100 North Riverside Plaza,100 N Riverside Plaza,60606,NEAR WEST SIDE,Office,"822,563",1990,1,77,"117,745,800",,,,"80,297",143,450,,,"23,663",28.77,41.88384565,-87.63878625,"(41.88384565, -87.63878625)"
2014,102532,Advocate Trinity Hospital,2320 E. 93rd. Street,60617,CALUMET HEIGHTS,Hospital (General Medical & Surgical),"369,087",1960,1,57,"31,138,936","60,536,647",,,,248,437,245,433,"9,472",25.66,41.72673518,-87.56695195,"(41.72673518, -87.56695195)"
2014,101867,125 South Wacker,125 S Wacker Drive,60606,LOOP,Office,"648,309",1974,1,63,"43,907,868",,,,,68,213,68,213,"8,822",13.61,41.8797333,-87.63641137,"(41.8797333, -87.63641137)"
2014,101838,191 North Wacker,191 North Wacker Drive,60606,LOOP,Office,"778,325",2003,1,85,"45,974,346",,,,,59,186,57,179,"9,237",11.87,41.88538256,-87.63643849,"(41.88538256, -87.63643849)"
2014,101846,200 West Adams St.,200 West Adams St.,60606,LOOP,Office,"789,024",1985,1,88,"38,408,986",,,,,49,153,48,152,"7,717",9.78,41.87975177,-87.63414051,"(41.87975177, -87.63414051)"
2014,250115,City Hall,121 N. La Salle St.,60602,LOOP,Office,"411,500",1870,1,76,"25,482,836","18,930",,,,62,195,62,195,"5,121",12.44,41.88385328,-87.63167966,"(41.88385328, -87.63167966)"
2014,101735,71215A STATE STREET,101 and 111 North State Street E,60602,LOOP,Retail Store,"1,841,736",1879,1,82,"65,197,622","76,795,831",,,,77,155,73,151,"17,178",9.33,41.88386376,-87.62704852,"(41.88386376, -87.62704852)"
2014,250047,Julian High-CPS,10330 S Elizabeth St,60643,WASHINGTON HEIGHTS,K-12 School,"282,100",1998,1,25,"12,558,013","18,855,691",,,,111,210,106,203,"3,525",12.49,41.70535258,-87.65466206,"(41.70535258, -87.65466206)"
2014,101736,Hyatt Center,71 S. Wacker Drive,60606,LOOP,Office,"1,687,710",2005,1,79,"132,535,728","1,044,100",,,,79,247,77,240,"26,684",15.81,41.88099639,-87.63603964,"(41.88099639, -87.63603964)"
2014,101919,Marquette Building,140 South Dearborn Street,60603,LOOP,Office,"372,265",1895,1,65,"28,121,028","998,634",,"5,260,553",,92,254,89,244,"5,980",16.06,41.87977522,-87.62973114,"(41.87977522, -87.62973114)"
2014,112188,Dunbar Vocat-CPS,3000 S King Dr,60616,DOUGLAS,K-12 School,"319,937",1955,1,15,"5,044,007","26,713,862",,,,99,137,97,135,"2,432",7.6,41.83978929,-87.61953177,"(41.83978929, -87.61953177)"
2014,100395,Daley,7500 South Pulaski Ave,60652,WEST LAWN,College/University,"501,591",1970,9,,"14,635,361","17,818,961",,,,65,129,62,126,"3,887",7.75,41.75742978,-87.724956,"(41.75742978, -87.724956)"
2014,102332,Truman College,1145 West Wilson Ave,60640,UPTOWN,College/University,"954,142",1976,3,,"24,954,300","28,145,123",,,,56,113,52,109,"6,509",6.82,41.9645338,-87.65900659,"(41.9645338, -87.65900659)"
2014,101830,251010 - Quaker Tower,555 West Monroe Street,60661,NEAR WEST SIDE,Office,"454,346",2002,1,74,"37,581,474","721,000",,,,84,261,83,256,"7,589",16.7,41.88030693,-87.64186748,"(41.88030693, -87.64186748)"
2014,100730,Congress Center,525 W. Van Buren,60607,NEAR WEST SIDE,Office,"527,238",2000,1,82,"27,485,697",,,,,52,164,50,158,"5,522",10.47,41.87630749,-87.6401831,"(41.87630749, -87.6401831)"
2014,101547,Mercy Chicago - Hospital,2525 S. Michigan Ave,60616,NEAR SOUTH SIDE,Hospital (General Medical & Surgical),"750,000",1968,1,31,"73,172,319","101,254,758",,,,233,448,229,444,"20,079",26.77,41.84674735,-87.62133625,"(41.84674735, -87.62133625)"
2014,158133,353 North Clark,353 North Clark Street,60654,NEAR NORTH SIDE,Office,"1,364,257",2009,1,85,"90,195,435","6,606,325",,,"67,896",71,213,69,205,"18,477",13.54,41.88886543,-87.6302742,"(41.88886543, -87.6302742)"
2014,101910,Michael A. Bilandic Building,160 N. LaSalle St.,60601,LOOP,Office,"445,145",1920,1,78,"17,944,070","16,537,216",,,,78,166,72,158,"4,484",10.07,41.88481297,-87.63290616,"(41.88481297, -87.63290616)"
2014,101757,IL0000FC - CHICAGO FEDERAL CTR,219 S DEARBORN,60604,LOOP,Mixed Use Property,"3,177,981",1973,1,90,"87,741,252","113,327,886",,"34,628,436",,74,135,72,133,,,41.87881863,-87.62895341,"(41.87881863, -87.62895341)"
2014,101790,The Jewelers Building,35 East Wacker Drive,60601,LOOP,Office,"621,000",1927,1,,"30,846,172","25,513,900",,,,91,199,85,192,"7,553",12.16,41.88653197,-87.62678611,"(41.88653197, -87.62678611)"
2014,105864,"Navy Pier, Inc.",600 E Grand Ave,60611,NEAR NORTH SIDE,Other - Entertainment/Public Assembly,"1,589,190",1914,1,,"114,699,225","95,098,457",,,,132,290,129,286,"28,096",17.68,41.89174315,-87.60470217,"(41.89174315, -87.60470217)"
2014,101727,500 West Madison,500 West Madison Street,60661,NEAR WEST SIDE,Office,"1,855,810",1986,1,73,"137,643,117",,,,,74,233,72,226,"27,654",14.9,41.88239806,-87.64047796,"(41.88239806, -87.64047796)"
2014,101770,10/30 South Wacker,10 South Wacker Drive,60606,LOOP,Office,"2,662,457",1983,1,85,"166,452,270","1,605,600",,,"40,020",63,197,63,197,"33,531",12.59,41.8816073,-87.63751717,"(41.8816073, -87.63751717)"
2014,101865,Hartford Plaza,150 South Wacker,60606,LOOP,Office,"1,281,114",1971,1,84,"70,988,503","52,243,346",,,,96,217,92,212,"17,037",13.3,41.87965675,-87.63746431,"(41.87965675, -87.63746431)"
2014,101784,Auditorium Building,430 S. Michigan Ave,60605,LOOP,College/University,"598,474",1889,1,,"24,209,133","14,480,848",,,,65,152,,,"5,633",9.41,41.87603287,-87.62519066,"(41.87603287, -87.62519066)"
2014,111290,IIT Research Tower,10 West 35th Street,60616,DOUGLAS,College/University,"392,894",1964,1,,"19,183,561","623,800",,,,50,155,,,"3,887",9.89,41.83139755,-87.62723022,"(41.83139755, -87.62723022)"
2014,101874,CW GLL 444 N. Michigan,444 N. Michigan Avenue,60611,NEAR NORTH SIDE,Office,"517,115",1976,1,52,"41,443,210","49,803",,,,80,252,77,243,"8,329",16.11,41.89069402,-87.62477656,"(41.89069402, -87.62477656)"
2014,158095,O'Hare Plaza II,8755 W. Higgins Road,60631,OHARE,Office,"256,010",1969,1,89,"15,126,478",,,"6,073",,59,186,,,"3,039",11.87,41.98655423,-87.84550445,"(41.98655423, -87.84550445)"
2014,101961,Inland Steel Building,30 West Monroe,60603,LOOP,Office,"300,971",1958,1,68,"13,328,456","22,966,478",,,,121,219,114,212,"3,898",12.95,41.88108964,-87.62858918,"(41.88108964, -87.62858918)"
2014,101841,122 Property LLC,122 S. Michigan Ave.,60604,LOOP,Office,"512,369",1910,1,58,"23,790,040","39,696,042",,"8,351,160",,140,243,134,236,"7,328",14.3,41.87991058,-87.62493152,"(41.87991058, -87.62493152)"
2014,157832,Community First Medical Center,5645 West Addison St,60634,PORTAGE PARK,Hospital (General Medical & Surgical),"346,894",1955,1,62,"34,473,995","40,258,704",,,,215,434,207,424,"9,065",26.13,41.94536427,-87.76777267,"(41.94536427, -87.76777267)"
2014,103598,222 North LaSalle Street,222 North LaSalle Street,60601,LOOP,Office,"1,031,459",1986,1,85,"57,521,646",,,,"31,464",56,175,54,170,"11,559",11.21,41.88651518,-87.6332446,"(41.88651518, -87.6332446)"
2014,101708,233 North Michigan Avenue,233 North Michigan Avenue,60601,LOOP,Office,"1,215,747",1972,1,74,"54,294,712","54,345,248",,,,89,187,86,184,"13,795",11.35,41.8869574,-87.62305507,"(41.8869574, -87.62305507)"
2014,250128,CCD,5700 S. Maryland Av.,60637,HYDE PARK,Hospital (General Medical & Surgical),"1,205,371",2013,1,16,"114,832,771",,"163,124,280",,,231,462,227,458,"33,903",28.13,41.7910213,-87.60552924,"(41.7910213, -87.60552924)"
2014,101912,550 West Washington,550 West Washington,60661,NEAR WEST SIDE,Office,"392,503",2000,1,85,"26,504,331",,,,,68,212,68,212,"5,325",13.57,41.88353377,-87.6416697,"(41.88353377, -87.6416697)"
2014,101760,Leo Burnett Building,35 W. Wacker Dr.,60601,LOOP,Office,"1,392,096",1989,1,79,"102,578,334","1,687,027",,,,75,233,74,230,"20,699",14.87,41.88642141,-87.62903061,"(41.88642141, -87.62903061)"
2014,101934,321 N. Clark @ Riverfront Plaza,321 North Clark,60654,NEAR NORTH SIDE,Office,"1,025,053",1987,1,79,"58,824,688",,,,,57,180,56,175,"11,819",11.53,41.88827025,-87.6306007,"(41.88827025, -87.6306007)"
2014,102455,Harper Center (Booth School),5807 South Woodlawn Ave.,60637,HYDE PARK,College/University,"419,312",2004,1,,"25,532,624","885,000","24,287,151",,,121,263,118,260,"6,790",16.19,41.7891404,-87.59555249,"(41.7891404, -87.59555249)"
2014,250055,Von Steuben-CPS,5039 N KIMBALL AVE,60625,NORTH PARK,K-12 School,"262,000",1928,1,90,"3,596,183","14,820,434",,,,70,103,57,89,"1,510",5.76,41.97280582,-87.71281644,"(41.97280582, -87.71281644)"
2014,101738,300 E Randolph,300 East Randolph,60601,LOOP,Office,"2,218,838",2010,1,77,"124,794,002","2,559,937",,"61,058,975","36,570",85,205,84,203,"28,430",12.81,41.88484639,-87.61989893,"(41.88484639, -87.61989893)"
2014,158184,33 West Monroe,33 W. Monroe Street,60603,LOOP,Office,"1,085,869",1980,1,65,"67,547,432",,,"18,343,915",,79,212,76,203,"14,538",13.39,41.88038628,-87.62878581,"(41.88038628, -87.62878581)"
2014,101891,224 South Michigan Avenue,224 South Michigan Avenue,60604,LOOP,Office,"412,504",1904,1,86,"22,104,850","11,252,897",,,,81,197,75,190,"5,039",12.22,41.87862405,-87.62489066,"(41.87862405, -87.62489066)"
2014,101713,Aon Center,200 E. Randolph Street,60601,LOOP,Office,"3,193,966",1972,1,84,"117,759,311","106,045,324",,"88,093,124","173,880",98,178,95,176,"33,948",10.63,41.88529085,-87.62152084,"(41.88529085, -87.62152084)"
2014,157964,HAROLD WASHINGTON LIBRARY,400 S. State St.,60605,LOOP,Library,"756,640",1970,1,,"72,412,262",,,,,96,301,96,301,"14,549",19.23,41.8763213,-87.62821533,"(41.8763213, -87.62821533)"
2014,101787,111 N Canal,111 N. Canal St.,60606,NEAR WEST SIDE,Office,"979,270",1918,1,98,"50,372,618","24,273,103",,,,76,188,74,185,"11,410",11.65,41.8838247,-87.6393572,"(41.8838247, -87.6393572)"
2014,101950,332 Property LLC,332 South Michigan Ave.,60604,LOOP,Office,"529,401",1910,1,,"21,716,977","30,585,062",,,,99,190,95,186,"5,988",11.31,41.87724917,-87.6247034,"(41.87724917, -87.6247034)"
2014,101715,The Franklin,227 West Monroe,60606,LOOP,Office,"3,406,142",1989,1,79,"214,100,987","443,100",,,,63,198,63,198,"43,039",12.64,41.88003331,-87.63472342,"(41.88003331, -87.63472342)"
2014,103638,The Field Museum,1400 South Lake Shore Drive,60605,NEAR SOUTH SIDE,Mixed Use Property,"1,300,557",1921,1,,"64,959,229","80,104,703",,,,112,221,109,217,"17,257",13.27,41.866211,-87.61703464,"(41.866211, -87.61703464)"
2014,101795,541 N. Fairbanks,541 North Fairbanks,60611,NEAR NORTH SIDE,Office,"622,883",1969,1,69,"32,817,220","32,726,633",,,,105,221,99,212,"8,332",13.38,41.89221623,-87.61971658,"(41.89221623, -87.61971658)"
2014,101890,Rehabilitation Institute of Chicago,345 East Superior Street,60611,NEAR NORTH SIDE,Other - Specialty Hospital,"381,000",1971,1,,"40,612,285",,,,,107,335,107,335,"8,160",21.42,41.89544928,-87.61831774,"(41.89544928, -87.61831774)"
2014,101756,Cook County Building,118 N. Clark St.,60602,LOOP,Office,"638,592",1906,1,53,"40,908,174","28,393,999",,,,109,248,109,248,"9,727",15.23,41.88385328,-87.63167966,"(41.88385328, -87.63167966)"
2014,103698,22 West Washington,22 West Washington Street,60602,LOOP,Office,"471,436",2008,1,54,"56,524,966",,,,,110,377,110,377,"11,435",24.26,41.88356258,-87.62879915,"(41.88356258, -87.62879915)"
2014,101834,One North Franklin,1 N. Franklin,60606,LOOP,Office,"708,027",1991,1,76,"46,860,374",,,,"16,560",66,208,63,197,"9,416",13.3,41.88230828,-87.6349623,"(41.88230828, -87.6349623)"
2014,103687,Sullivan Center,1 S State Street,60603,LOOP,Office,"1,097,549",1903,1,91,"36,462,645","39,674,099",,,,69,142,66,139,"9,433",8.59,41.88155564,-87.62730774,"(41.88155564, -87.62730774)"
2014,101868,300 South Wacker Property LLC,300 South Wacker Drive,60606,LOOP,Office,"600,713",1971,1,83,"28,250,388","23,260,893",,,,86,188,80,181,"6,911",11.51,41.87767066,-87.6371323,"(41.87767066, -87.6371323)"
2014,107850,300 West Adams,300 West Adams,60606,LOOP,Office,"289,000",1926,1,69,"11,863,981","25,242,443",,,,128,221,121,213,"3,724",12.89,41.87969438,-87.63568353,"(41.87969438, -87.63568353)"
2014,101801,Michigan Plaza,205/225 N Michigan Ave,60601,LOOP,Office,"2,059,714",1981,1,76,"131,683,752","25,801",,,,64,201,61,193,"26,458",12.85,41.88603179,-87.62354823,"(41.88603179, -87.62354823)"
2014,101889,333 North Michigan,333 North Michigan Ave,60601,LOOP,Office,"362,756",1928,1,77,"10,824,724","26,288,203",,,,102,170,98,165,"3,571",9.84,41.88778975,-87.62420778,"(41.88778975, -87.62420778)"
2014,101987,20 S. Clark,20 S. Clark Street,60603,LOOP,Office,"464,592",1970,1,70,"31,569,175",,,,,68,213,65,204,"6,343",13.65,41.88129971,-87.6311826,"(41.88129971, -87.6311826)"
2014,102452,Regenstein Library,1100 East 57th Street,60637,HYDE PARK,Library,"575,597",1971,1,,"23,747,650",,"46,454,722","25,201,448",,166,270,166,270,"9,184",15.96,41.79221307,-87.59994981,"(41.79221307, -87.59994981)"
2014,101913,Chicago Transit Authority - 567 W Lake Street,567 W. Lake Street,60661,NEAR WEST SIDE,Office,"428,096",2004,1,88,"18,766,884","7,306,250",,,,61,156,59,154,"4,159",9.7,41.88528144,-87.64234829,"(41.88528144, -87.64234829)"
2014,103606,Willis Tower,233 S Wacker Drive,60606,LOOP,Office,"4,493,970",1973,1,36,"495,368,832",,,,,110,346,110,346,"99,526",22.15,41.87887581,-87.63587349,"(41.87887581, -87.63587349)"
2014,101724,Tribune Tower,435 N Michigan Ave,60611,NEAR NORTH SIDE,Office,"919,420",1925,1,69,"49,693,289","54,622,000",,,,114,232,110,228,"12,885",14.01,41.89055855,-87.6232955,"(41.89055855, -87.6232955)"
2014,103647,135 S LaSalle Property LLC,135 S. LaSalle Street,60603,LOOP,Office,"1,547,120",1934,1,68,"74,409,271","93,728,074",,"27,209,940",,126,232,122,228,"21,362",13.81,41.87977276,-87.63155683,"(41.87977276, -87.63155683)"
2014,103699,George W Dunne Cook County Office Building,69 W. Washington Street,60602,LOOP,Office,"822,815",1965,1,89,"32,586,296","34,912,279",,,,82,169,79,165,"8,401",10.21,41.88287346,-87.62989783,"(41.88287346, -87.62989783)"
2014,101988,205 W. Wacker,205 W Wacker Dr,60606,LOOP,Office,"309,652",1929,1,81,"10,646,972","14,245,615",,,,80,156,75,149,"2,896",9.35,41.88638306,-87.63427616,"(41.88638306, -87.63427616)"
2014,103721,The Rookery Building,209 S. LaSalle,60604,LOOP,Office,"337,879",1886,1,68,"25,663,102",,,,,76,239,76,239,"5,156",15.26,41.87908523,-87.631822,"(41.87908523, -87.631822)"
2014,103645,203 North LaSalle,203 N LaSalle Street,60601,LOOP,Office,"760,086",1985,1,80,"49,831,782",,,,,66,206,63,199,"10,012",13.17,41.88606221,-87.63169041,"(41.88606221, -87.63169041)"
2014,102363,LaneTechHS-CPS,2501 W Addison St,60618,NORTH CENTER,K-12 School,"716,630",1932,1,15,"13,097,409","37,018,172",,,,70,112,66,107,"4,598",6.42,41.94498741,-87.69077957,"(41.94498741, -87.69077957)"
2014,102585,Chicago State University Campus,9501 South Martin Luther King Drive,60628-1598,ROSELAND,College/University,"1,170,487",1971,12,,"62,776,910","101,398,441",,,,140,259,133,251,"17,998",15.38,41.71825101,-87.61135684,"(41.71825101, -87.61135684)"
2014,158868,KCBD,900 E. 57th St.,60637,HYDE PARK,Laboratory,"376,735",2009,1,,"65,743,815",,"119,256,719",,,491,929,481,916,"21,127",56.08,41.79207324,-87.60337358,"(41.79207324, -87.60337358)"
2014,103632,NMH Feinberg Pavilion and Galter Pavilion,251 E Huron St.,60654,NEAR NORTH SIDE,Hospital (General Medical & Surgical),"2,200,000",1999,1,70,"185,269,075","260,264,006",,,,203,389,199,383,"51,047",23.2,41.89458666,-87.62152834,"(41.89458666, -87.62152834)"
2014,103651,Four40,440 South LaSalle,60605,LOOP,Office,"1,157,744",1984,1,64,"99,215,774",,,,,86,269,85,267,"19,934",17.22,41.87595944,-87.63219354,"(41.87595944, -87.63219354)"
2014,101871,123 N Wacker,123 N Wacker,60606,LOOP,Office,"587,815",1986,1,77,"37,238,636",,,,,63,199,60,190,"7,482",12.73,41.88411984,-87.63649725,"(41.88411984, -87.63649725)"
