pid,dc_real_pid,pm_pid,property_name,pm_parent_pid,parent_property_name,year_ending,report_status,address_of_record,owner_of_record,ward,reported_address,city,state,postal_code,year_built,primary_ptype_self,primary_ptype_epa,tax_record_floor_area,reported_gross_floor_area,energy_star_score,site_eui,weather_norm_site_eui,source_eui,weather_norm_source_eui,total_ghg_emissions,total_ghg_emissions_intensity,water_use,electricity_use,natural_gas_use,fuel_use,district_water_use,metered_areas_energy,metered_areas_water,latitude,longitude
PM03505747,6219_0032,3505747,Atlantic Terrace Ltd.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,4301 3RD ST SE,ATLANTIC TERRACE LTD,8,4301 3rd St. SE,Washington,DC,20032,1964,Multifamily Housing,Multifamily Housing,173291,200839,89,51.8,53.7,94.4,96.4,863.1,4.3,16701.5,1128553,65445.20201,,,Whole Building,Whole Building,38.82985202,-77.00225519
DC61720807,6172_0807,N/A,,,,12/31/2015,Exempt from this year's disclosure,4001-4031 SOUTH CAPITOL ST SW,SOUTH CAPITOL CENTER LLC,8,,Washington,DC,20005,1940,,Not Provided,58986,,,,,,,,,,,,,,,,38.8304726,-77.0079032
PM04374392,6157_0077,4374392,Gregory Apartments,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,0822 BARNABY ST SE,VESTA DC III LLC,8,852 Barnaby Street SE,Washington D.C.,DC,20032,2001,Multifamily Housing,Multifamily Housing,88056,97506,96,55.4,57,98.1,97.6,437.4,4.5,7187.3,546416,35358.19004,,,Whole Building,Whole Building,38.83231157,-76.99130802
DC6120N0814,6120N0814,N/A,,,,12/31/2015,Exempt from this year's disclosure,0204-0222 WAYNE PL,OXON RUN MANOR LLC,,,Washington,DC,,1944,,Not Provided,,,,,,,,,,,,,,,,,38.8352792,-77.0007947
PM04885876,PAR02520093,4885876,Bridgepoint Hospital Hadley,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,4601 MARTIN LUTHER KING JR AV SE,DCA ACQUISITIONS LLC DAVID ISHII,8,4601 Martin Luther King Jr. Ave. SW,Washington,DC,20032,1975,Other - Specialty Hospital,Other - Specialty Hospital,69502,140000,,85.7,83.2,269.2,261.1,1607,11.5,200.5,3518264,,,,Whole Building,Whole Building,38.8357229,-77.007758
DC61180045,6118_0045,N/A,,,,12/31/2015,No report received,114 WAYNE PL,WAYNE PLACE SENIOR LIVING LIMTIED PARTNERSHIP,8,,Washington,DC,,2005,,Not Provided,69740,,,,,,,,,,,,,,,,38.835848,-77.005093
PM03286246,5926_0003,3286246,the overlook,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,3700 9TH ST SE,PARKSIDE TERRACE DEVELOPMENT LLC,8,3700 9th street se,washington,DC,20032,1968,Multifamily Housing,Multifamily Housing,319569,252800,87,35.6,35.6,105.7,105.7,1145.2,4.5,7631,2423387,7219.999907,,,Whole Building,Whole Building,38.8358959,-76.9940286
DC59190002,5919_0002,N/A,,,,12/31/2015,Exempt from this year's disclosure,1380 SOUTHERN AV SE,BRINTON WOODS SENIOR LIVING IV LLC,8,,Washington,DC,20032,1982,,Not Provided,50570,,,,,,,,,,,,,,,,38.837066,-76.98333
DC59691286,5969_1286,N/A,,,,12/31/2015,Exempt from this year's disclosure,3415 5TH ST SE,THE EAST GATE CONDO,,,Washington,DC,,1964,,Not Provided,,,,,,,,,,,,,,,,,38.8398596,-76.9995053
DC59340803,5934_0803,N/A,,,,12/31/2015,No report received,3400 WHEELER RD SE,DISTRICT OF COLUBMIA,8,,Washington,DC,,1965,,Not Provided,80832,,,,,,,,,,,,,,,,38.8406722,-76.993653
PM03507252,5973_0016,3507252,MCP-RANDLE ASSOCIATES LP,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,3300 - 3368 6TH ST SE,MCP-RANDLE ASSOCIATES LP,8,3300-38 6TH ST SE,WASHINGTON,DC,20032,1968,Multifamily Housing,Multifamily Housing,188704,179232,36,80.7,79.8,140.6,135,1155.1,6.4,11479,1403780,96760.49152,,,Whole Building,Whole Building,38.8407055,-76.9978215
PM03316403,5915_0014,3316403,Congress Park I,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1325 - 1333 SAVANNAH ST SE,SOUTHEAST WASHINGTON DEVELOPMENT ASSOCIATES LP,8,1345 Savannah St SE,washington,DC,20032,1948,Multifamily Housing,Multifamily Housing,56580,130400,94,33.2,33.2,104.2,104.3,579.3,4.4,14587.8,1268287,,,,Whole Building,Whole Building,38.8433419,-76.9875241
PM03991514,5912_0818,3991514,CHR LLC,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1535 ALABAMA AVE SE,CHR LLC,8,1525 Alabama Ave S.E.,Washington,DC,20020,1950,Supermarket/Grocery Store,Supermarket,64945,64945,92,125,125,392.4,392.4,1086.5,16.7,3721.5,2378770,,,,Whole Building,Whole Building,38.84496392,-76.98099934
DC57240801,5724_0801,N/A,,,,12/31/2015,Exempt from this year's disclosure,3400 - 3440 25TH ST SE,SP REDEVELOPMENT LP,,,Washington,DC,,1949,,Not Provided,,,,,,,,,,,,,,,,,38.8462779,-76.9696868
DC59820815,5982_0815,N/A,,,,12/31/2015,Exempt from this year's disclosure,645 MILWAUKEE PL SE,FRIENDSHIP PUBLIC CHARTER SCHOOL INC,8,,Washington,DC,20032,2005,,Not Provided,59572,,,,,,,,,,,,,,,,38.847472,-76.996974
DC58750042,5875_0042,N/A,,,,12/31/2015,Exempt from this year's disclosure,2835 - 2841 ROBINSON PL SE,PARKWAY OVERLOOK LP,8,,Washington,DC,,1971,,Not Provided,74151,,,,,,,,,,,,,,,,38.850521,-76.987055
DC58750040,5875_0040,N/A,,,,12/31/2015,Exempt from this year's disclosure,2825 - 2827 JASPER RD SE,PARKWAY OVERLOOK LP,8,,Washington,DC,,1971,,Not Provided,57512,,,,,,,,,,,,,,,,38.851277,-76.986695
PM04738359,5725_0803,4738359,rockburne estates,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2700 - 2722 SHIPLEY TR SE,ROCKBURNE ESTATES LP,8,2627 Jasper Street SE,Washington,DC,20020,1967,Multifamily Housing,Multifamily Housing,247632,224000,86,41.7,42,96.9,97.3,955.6,4.3,11433.9,1668651,36420.97895,,,Whole Building,Whole Building,38.8514353,-76.9688233
DC58760050,5876_0050,N/A,,,,12/31/2015,Exempt from this year's disclosure,2800 - 2808 JASPER RD SE,JPMCC 2007-CIBC19 JASPER LIVING LLC LN,8,,Washington,DC,,,,Not Provided,69837,,,,,,,,,,,,,,,,38.8518845,-76.9868686
DC58750038,5875_0038,N/A,,,,12/31/2015,Exempt from this year's disclosure,2700 - 2714 ROBINSON PL SE,PARKWAY OVERLOOK LP,8,,Washington,DC,,1970,,Not Provided,78288,,,,,,,,,,,,,,,,38.8521773,-76.9888688
DC58760049,5876_0049,N/A,,,,12/31/2015,No report received,3035 - 3037 STANTON RD SE,BRUCE GARDENS LLC,8,,Washington,DC,,,,Not Provided,50912,,,,,,,,,,,,,,,,38.8525468,-76.9827339
DC58790011,5879_0011,N/A,,,,12/31/2015,Exempt from this year's disclosure,3040 - 3098 STANTON RD SE,STANTON GLENN LP,,,Washington,DC,,1967,,Not Provided,,,,,,,,,,,,,,,,,38.8525813,-76.9807816
DC57201713,5720_1713,N/A,,,,12/31/2015,No report received,3101 NAYLOR RD SE,THE CHRISTOPHER CONDOMINIUM,8,,Washington,DC,,1965,,Not Provided,69327,,,,,,,,,,,,,,,,38.8529597,-76.9642088
DC58740051,5874_0051,N/A,,,,12/31/2015,Exempt from this year's disclosure,2400 ELVANS RD SE,STANTON OAKS ASSOCIATES,,,Washington,DC,,1965,,Not Provided,,,,,,,,,,,,,,,,,38.853719,-76.985607
PM04372799,5874_0054,4372799,People's Cooperative Association Inc.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2430 ELVANS RD SE,PEOPLES COOPERATIVE ASSOCIATES INC,8,2430 Elvans Road SE,Washington,DC,20020,1970,Multifamily Housing,Multifamily Housing,54824,70568,58,59.9,62.2,123.5,126,389.9,5.5,5987,600449,21765.80153,,,Whole Building,Whole Building,38.8540427,-76.9867098
PM05026490,5741_0831,5026490,Hanover Court Apartments,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2400 - 2410 HARTFORD ST SE,HANOVER COURTS APARTMENTS LLC,8,2400-2412 Hartford st,SE,DC,20032,1945,Office,Office,59332,12,,49382.7,47162.6,155061.8,148090.7,79.3,6610.7,2261.8,173679,,,,Whole Building,Whole Building,38.8541023,-76.9721393
DC57410136,5741_0136,N/A,,,,12/31/2015,Exempt from this year's disclosure,2300 HARTFORD ST SE,GARFIELD PARK PRESERVATION LLC,,,Washington,DC,,1969,,Not Provided,,,,,,,,,,,,,,,,,38.8543304,-76.9729752
DC58321535,5832_1535,N/A,,,,12/31/2015,No report received,1601 GAINESVILLE ST SE,THE HILLWOOD CONDOMINIUMS,8,,Washington,DC,,1965,,Not Provided,65758,,,,,,,,,,,,,,,,38.8551443,-76.982917
DC58730921,5873_0921,N/A,,,,12/31/2015,Exempt from this year's disclosure,2500 POMEROY RD SE,ELVANS MANOR ASSOCIATES,,,Washington,DC,,1968,,Not Provided,,,,,,,,,,,,,,,,,38.8556695,-76.9932465
PM04007095,5873_0050,4007095,2404 Pomeroy Road SE,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2404 POMEROY RD SE,POMEROY GARDENS LP,8,2404 Pomeroy Road SE,Washington,DC,20020,1964,Multifamily Housing,Multifamily Housing,58770,58770,8,102.4,100.4,182.7,172.8,490.4,8.3,4122.9,619533.6,39061.10942,,,Whole Building,Whole Building,38.85580288,-76.9869743
DC58720989,5872_0989,N/A,,,,12/31/2015,No report received,2719 DOUGLAS PL SE,SAYLES DOUGLAS PL SE,8,,Washington,DC,,1900,,Not Provided,55892,,,,,,,,,,,,,,,,38.856364,-76.9914299
DC58711500,5871_1500,N/A,,,,12/31/2015,Exempt from this year's disclosure,2601 DOUGLAS RD SE,OVERLOOK @ WASHINGTON VIEW,,,Washington,DC,,2002,,Not Provided,,,,,,,,,,,,,,,,,38.8564561,-76.9892178
DC58720143,5872_0143,N/A,,,,12/31/2015,Exempt from this year's disclosure,2654 DOUGLAS PL SE,NATIONSBANK COMMUNITY C/O MARVIN F POER,,,Washington,DC,,1965,,Not Provided,,,,,,,,,,,,,,,,,38.8565652,-76.9896045
PM03488856,5741_0138,3488856,Langston Lane,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2726 - 2734 LANGSTON PL SE,LANGSTON LANE LTD PRTNSHP,8,2726 Langston Place SE,Washington D.C.,DC,20020,1990,Multifamily Housing,Multifamily Housing,113703,113703,42,79.4,80.4,129.7,128.6,683,6,9805.7,739186,65023.47519,,,Whole Building,Whole Building,38.8566014,-76.9720574
DC58681794,5868_1794,N/A,,,,12/31/2015,No report received,2652 MARTIN LUTHER KING JR AVE SE,PARKWAY HOUSE A CONDO,8,,Washington,DC,,1965,,Not Provided,80425,,,,,,,,,,,,,,,,38.85681,-76.9953001
PM03500430,5871_0869,3500430,Washington View Assoc # 1,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2627 - 2653 STANTON RD SE,WASHINGTON VIEW ASSOCIATES LLC,8,2611 Douglas Road S.E.,Washington,DC,20020,1960,Multifamily Housing,Multifamily Housing,79824,127736,9,114.7,119.4,175.9,178.5,1052,8.2,6838.5,993636.6,112609.2605,,,Whole Building,Whole Building,38.8569347,-76.9893633
DC57300218,5730_0218,N/A,,,,12/31/2015,Exempt from this year's disclosure,2513 ALABAMA AVE SE,ALABAMA AVE AFFORDABLE HOUSING L P,8,,Washington,DC,20200,2012,,Not Provided,94557,,,,,,,,,,,,,,,,38.857009,-76.969353
PM04360617,5868_1061,4360617,Matthews Memorial Terrace,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2632 MARTIN LUTHER KING JR AVE SE,MATTHEWS MEMORIAL BAPTIST CHURCH,8,2632 Martin Luther King Jr Ave,Washington,DC,20020,2011,Multifamily Housing,Multifamily Housing,96030,111184,99,25.9,25.6,81,80.2,383.9,3.5,9251.1,839185,121.3591371,,,Whole Building,Whole Building,38.8575089,-76.9951366
PM04577663,5740_0818,4577663,Hillcrest House,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2501 25TH ST SE,KEM ASSOCIATES LLC,8,2501 25th Street SE,Washington,DC,20020,1954,Multifamily Housing,Multifamily Housing,71745,71745,26,88.8,92.7,128.6,131,436.5,6.1,4477.8,355775,51580.00107,,,Whole Building,Whole Building,38.85775066,-76.97026896
PM04007393,5871_0145,4007393,Washington View Assoc #.2,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2657 - 2661 STANTON RD SE,WASHINGTON VIEW ASSOCIATES LLC,8,2657-61 Stanton Rd SE,Washington,DC,20020,1960,Multifamily Housing,Multifamily Housing,88082,88082,53,42.5,42.5,96.7,96.7,376.2,4.3,3371.1,643261,15519.65963,,,Whole Building,Whole Building,38.85826777,-76.99045205
DC58670899,5867_0899,N/A,,,,12/31/2015,Exempt from this year's disclosure,2700 WADE RD SE,PARCHESTER ASSOC C/O MARVIN F POER,8,,Washington,DC,20020,1952,,Not Provided,52848,,,,,,,,,,,,,,,,38.858291,-76.997117
DC57400296,5740_0296,N/A,,,,12/31/2015,Exempt from this year's disclosure,2425 25TH ST SE,2425 25TH STREET SE LLC,8,,Washington,DC,,1983,,Not Provided,138837,,,,,,,,,,,,,,,,38.8586816,-76.9713533
PM04019482,5642_0001,4019482,Good Hope Marketplace,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2845 ALABAMA AV SE,GOOD HOPE MARKETPLACE LP,7,Good Hope Marketplace SE,Washington,DC,20020,1997,Strip Mall,Supermarket,97113,97113,,374,372.8,490.6,486.8,2296.4,23.6,1716.7,1332857,317729.0095,,,Whole Building,Whole Building,38.8590171,-76.9664061
PM03316372,5869_0068,3316372,Oxford Manor Apartments,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2607 - 2637 BOWEN RD SE,OXFORD MANOR LP,8,2607 Bowen Road SE,washington,DC,20020,1977,Multifamily Housing,Multifamily Housing,72760,291302,71,52.2,54,94.6,96.5,1255.3,4.3,14638.4,1626552,96465.40458,,,Whole Building,Whole Building,38.859213,-76.990867
PM04356086,5753_0092,4356086,Greenwood Manor,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2337 - 2349 GREEN ST SE,RUTH E EVANS TRUSTEE,8,2337-2349 Green Street SE,Washington,DC,20020,1968,Multifamily Housing,Multifamily Housing,58720,106336,65,69.6,69.9,109.3,107.6,541.7,5.1,7080.3,540126,55542.40853,,,Whole Building,Whole Building,38.86138993,-76.9810051
PM04553078,5865_0286,4553078,CO/GLC 12234/2600 BARRY RD SE/WASHINGTON/DC,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2600 BARRY RD SE,VERIZON WASHINGTON DC INC,8,2600 BARRY RD,WASHINGTON,DC,20020,1973,Office,Office,54578,56854,100,31.1,31.4,67.1,66.4,169.5,3,256,273947,8354.000044,,,Whole Building,Whole Building,38.86194579,-77.00031372
DC56721274,5672_1274,N/A,,,,12/31/2015,No report received,2101 SUITLAND TR SE,FAIRFAX VILLAGE I,7,,Washington,DC,,1940,,Not Provided,60510,,,,,,,,,,,,,,,,38.8630297,-76.948038
DC56731279,5673_1279,N/A,,,,12/31/2015,No report received,2100 38TH ST SE,FAIRFAX VILLAGE VI,7,,Washington,DC,,1940,,Not Provided,94556,,,,,,,,,,,,,,,,38.8640724,-76.9520283
DC06130010,0613_0010,N/A,,,,12/31/2015,Exempt from this year's disclosure,2100 2ND ST SW,2100 2ND ST HOLDINGS LLC,6,,Washington,DC,,1973,,Not Provided,887039,,,,,,,,,,,,,,,,38.8641217,-77.0130384
DC56721278,5672_1278,N/A,,,,12/31/2015,No report received,2016 FORT DAVIS ST SE,FAIRFAX VILLAGE V,7,,Washington,DC,,1940,,Not Provided,83132,,,,,,,,,,,,,,,,38.8641282,-76.9503649
DC56701272,5670_1272,N/A,,,,12/31/2015,Exempt from this year's disclosure,2000 37TH ST SE,FAIRFAX VILLAGE IX,,,Washington,DC,,1940,,Not Provided,,,,,,,,,,,,,,,,,38.864545,-76.9533625
DC56721277,5672_1277,N/A,,,,12/31/2015,No report received,2000 FORT DAVIS ST SE,FAIRFAX VILLAGE IV,7,,Washington,DC,,1940,,Not Provided,59245,,,,,,,,,,,,,,,,38.8646354,-76.9499328
DC57840898,5784_0898,N/A,,,,12/31/2015,Exempt from this year's disclosure,2235 SHANNON PL SE,GEORGE T CURTIS III TRUSTEE,8,,Washinbgton,DC,20020,2014,,Not Provided,91303,,,,,,,,,,,,,,,,38.864698,-76.991514
DC56731280,5673_1280,N/A,,,,12/31/2015,No report received,2000 38TH ST SE,FAIRFAX VILLAGE VII,7,,Washington,DC,,1940,,Not Provided,54282,,,,,,,,,,,,,,,,38.8650296,-76.9520132
DC56270099,5627_0099,N/A,,,,12/31/2015,No report received,2300 - 2330 GOOD HOPE RD SE,MP PPH LLC,8,,Washington,DC,,1966,,Not Provided,299269,,,,,,,,,,,,,,,,38.8653384,-76.973636
PM04594479,5782_1023,4594479,2100 MLK,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2100 MARTIN LUTHER KING JR AV SE,2100 MARTIN LUTHER KING ASSOC,8,2100 Martin Luther King Ave SE,Washington,DC,20020,1989,Office,Office,104616,71350,,91.4,90.2,286.9,283.2,872.6,12.2,1142.4,1910476,,,,Whole Building,Whole Building,38.8653561,-76.989199
PM03998608,5783_0829,3998608,DC Lottery Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2101 MARTIN LUTHER KING JR AV SE,GEORGE T CURTIS III TRUSTEE,8,2101 MLK Jr. Ave. SE,Washington,DC,20020,1945,Office,Office,84496,84496,93,48.5,48.5,115.1,115.1,427.2,5.1,0.9,760989,14987.7683,,,Whole Building,Whole Building,38.86542335,-76.98968758
PM03994437,5772_1019,3994437,Annacostia Professional building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2041 MARTIN LUTHER KING JR AVE SE,ANACOSTIA PROFESSIONAL BUILDING REVOCABLE TRUST,8,2041 Martin Luther King Jr. Ave.,Washington,DC,20020,1993,Office,Office,73167,74968,40,105.8,107.1,256.2,257.6,841.6,11.2,2336,1525600,27259.33674,,,Whole Building,Whole Building,38.86593013,-76.98982866
PM03122341,0666_0015,3122341,Jemal's Lazriv LLC,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1900 HALF ST SW,JEMALS LAZRIV WATER LLC,6,1900 Half Street SW,Washington,DC,20003,1975,Office,Office,778964,500203,,31.5,31.8,89.3,90.5,1922.7,3.8,5048.4,3944146,22816.1286,,,Whole Building,Whole Building,38.86662488,-77.00993171
DC56010056,5601_0056,N/A,,,,12/31/2015,No report received,1800 MARTIN LUTHER KING JR AVE SE,ANACOSTIA GATEWAY LLC,8,,Washington,DC,,2007,,Not Provided,115625,,,,,,,,,,,,,,,,38.8675965,-76.9880505
PM04007384,5627_0093,4007384,HILLSIDE TERRACE LLC,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1806 - 1820 23RD ST SE,HILLSIDE TERRACE LLC,8,1805 23rd Street S.E.,Washington,DC,20020,1943,Multifamily Housing,Multifamily Housing,52127,52127,88,25.3,25.3,75.6,75.6,168.7,3.2,685.1,358050.2,980.025166,,,Whole Building,Whole Building,38.867634,-76.973823
PM03993306,5626_0815,3993306,Penn View Apartments,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2515 R ST SE,PENN VIEW INVESTMENT LLC,7,2515 R Street S.E.,Washington,DC,20020,1963,Multifamily Housing,Multifamily Housing,81324,81324,27,80.4,80.7,144.7,142.6,536.6,6.6,4349,687220.9,41921.0857,,,Whole Building,Whole Building,38.86928498,-76.96968419
PM04917549,5539_0838,4917549,Penn Branch Shopping Center,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,3200 PENNSYLVANIA AV SE,3200 PENNSYLVANIA AVENUE SE HOLDINGS LLC,7,3200 Pennsylvania Avenue,S.E,DC,20020,1964,Strip Mall,Mall,91773,88823,,48.6,47.1,152.5,148,577.4,6.5,2040.7,1264230,,,,Whole Building,Whole Building,38.869661,-76.95986
DC5369N1259,5369N1259,N/A,,,,12/31/2015,Exempt from this year's disclosure,1201 42ND ST SE,FORT DUPONT WOODS CONDO,,,Washington,DC,,1976,,Not Provided,,,,,,,,,,,,,,,,,38.869806,-76.9425539
PM04005498,0657_0817,4005498,U-Haul Moving & Storage at S Capitol St SW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,0010 P ST SW,FIVE SAC RW MS LLC,6,1501 S Capitol St SW,Washington,DC,20003,1950,Self-Storage Facility,Self-Storage Facility,146322,145000,,20.2,20.3,60.7,60.7,376.7,2.6,1141.5,801909,1965.941101,,,Whole Building,Whole Building,38.8717705,-77.00947939
PM04352120,5572_0822,4352120,Linwood Apartments,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1815 - 1831 P ST SE,DGV ASSOCIATES L.L.C.,8,1815-1831 P Street SE,Washington,DC,20020,1940,Multifamily Housing,Multifamily Housing,54724,54724,31,100.6,104.7,135.5,138.4,355.6,6.5,2491,229326,47226.67525,,,Whole Building,Whole Building,38.8720074,-76.9784912
PM03999777,0547_0024,3999777,Channel Square Apartments,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,0325 P ST SW,CHANNEL SQUARE HOUSING LLC,6,325 P Street SW,Washington,DC,20024,1968,Multifamily Housing,Multifamily Housing,203255,281958,,60.9,60.7,114.2,111.7,1459,5.2,15883.2,1986418,103867.3241,,,Whole Building,Whole Building,38.8723022,-77.0163622
DC05470023,0547_0023,N/A,,,,12/31/2015,Exempt from this year's disclosure,1410 - 1414 3RD ST SW,SAINT JAMES MUTUAL HOMES,,,Washington,DC,,,,Not Provided,,,,,,,,,,,,,,,,,38.8724824,-77.0149741
DC05042275,0504_2275,N/A,,,,12/31/2015,No report received,1425 4TH ST SW,THE RIVERSIDE CONDO,6,,Washington,DC,,1965,,Not Provided,214654,,,,,,,,,,,,,,,,38.8727449,-77.0187374
PM04370249,0653_0111,4370249,Fund South Capitol LLC,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1345 SOUTH CAPITOL ST SW,FUND SOUTH CAPITOL LLC,6,1345 South Capitol St. SW,Washington,DC,20003,2013,Multifamily Housing,Multifamily Housing,269995,384480,88,31,31,97.3,97.3,1594.6,4.1,7025.7,3488592,222.7644583,,,Whole Building,Whole Building,38.87362509,-77.00934882
PM05770631,0503_0116,5770631,Harbour Square Owners Inc.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,0500 - 1301 N ST SW,HARBOUR SQUARE OWNERS INC,6,500 N Street SW,Washington,DC,20024,1966,Multifamily Housing,Multifamily Housing,72610,737786,24,74.6,73.9,134.9,130.7,4152.8,5.6,22789.5,5853061,350672.8714,,,Whole Building,Whole Building,38.8740219,-77.018897
PM04007889,5560_0055,4007889,The Grays on Pennsylvania,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2323 PENNSYLVANIA AVE SE,2300 PENNSYLVANIA AVENUE LLC,7,2323 Pennsylvania Avenue SE,Washington,DC,20020,2010,Multifamily Housing,Multifamily Housing,76800,104221,96,41.8,42.5,112.4,113,507.1,4.9,3902.7,1000411,9440.340218,,,Whole Building,Whole Building,38.87413334,-76.97220691
