pid,dc_real_pid,pm_pid,property_name,pm_parent_pid,parent_property_name,year_ending,report_status,address_of_record,owner_of_record,Ward,reported_address,city,state,postal_code,year_built,primary_ptype_self,primary_ptype_epa,tax_record_floor_area,reported_gross_floor_area,energy_star_score,site_eui,weather_norm_site_eui,source_eui,weather_norm_source_eui,total_ghg_emissions,total_ghg_emissions_intensity,water_use,water_score_mf_properties,electricity_use,natural_gas_use,fuel_use,district_water_use,metered_areas_energy,metered_areas_water,latitude,longitude
PM05785904,0016_0093; 0016_0863,5785904,Claridge House Cooperative: 950 25th Street Northwest,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,950 25TH ST NW; 0940 25TH ST NW,CLARIDGE H COOPERATIVE; CLARIDGE HOUSE CORPORATION INC,2,950 25th Street Northwest,Washington,DC,20037,1960,Multifamily Housing,Multifamily Housing,206433,373216,91,42.3,45.1,80.3,82.2,1209.1,3.2,12383.9,37,1877578,93845.52245,,,Whole Building,Whole Building,38.9017272,-77.05369708
PM03568865,0016_0884,3568865,The River Inn,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,0924 25TH ST NW,ALAMAC INC,2,924 25th Street N.W.,Washington,DC,20037,1956,Other,Hotel,85052,76179,45,115.7,120.4,212.5,214.3,659.9,8.7,5765,,972988.2,54903.9621,,,Whole Building,Whole Building,38.9014791,-77.0533226
PM04007893,0016_2006,4007893,The Griffin Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,0955 26TH ST NW,THE GRIFFIN CONDO,2,955 26th Street  N.W.,Washington,DC,20037,1984,Multifamily Housing,Multifamily Housing,77638,77638,1,75.5,77.3,236.9,242.8,649.9,8.4,4312.6,10,1716972,,,,Whole Building,Whole Building,38.9022373,-77.0544523
PM03361435,0017_2007,3361435,The Plaza Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,0800 25TH ST NW,THE PLAZA CONDO,2,800 25th Street  NW,Washington,DC,20037,1975,Multifamily Housing,Multifamily Housing,97188,113721,1,107.2,111.7,195.7,199.8,909.1,8,3863.3,24,1326921,76602.2868,,,Whole Building,Whole Building,38.899878,-77.0537209
PM03365808,0023_0803,3365808,Should be School Without Walls at Francis Stevens,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,2425 N STREET NW,GOVERNMENT OF THE DISTRICT OF COLUMBIA DEPARTMENT OF GENERAL SERVICES,2,2425 N STREET NW,Washington,DC,20037,1927,K-12 School,K-12 School,,95100,42,90.4,102.7,163.2,175.1,636.1,6.7,,,909973.9,54921.19068,,,Whole Building,,38.9074695,-77.052321
PM01327025,0024_0112,1327025,WWF  Square 0024 Lots 112 and 880,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,1250 24TH ST NW,WORLD WILDLIFE FUND INC,2,1250 24th Street  NW,Washington,DC,20037,1986,Office,Office,311428,245627.1,89,56.5,57.7,177.5,181.2,1540.6,6.3,3424.9,,4070290,,,,Whole Building,Whole Building,38.90650228,-77.05185679
PM04562546,0024_0113,4562546,Heart House,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,2400 N ST NW,AMERICAN COLLEGE OF CARDIOLOGY FOUNDATION,2,2400 N St. NW,Washington,DC,20037,1983,Office,Office,241374,178293,72,72,71.2,223.3,220.1,1410.7,7.9,1803.8,,3692880,2448.880433,,,Whole Building,Whole Building,38.90700472,-77.05195297
PM03514785,0024_0870,3514785,Fairmont Washington  D.C.  Georgetown,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,2401 M ST NW,LHCW HOTEL HOLDING (2002) LLC,2,2401 M Street  NW,Washington,DC,20037,1985,Hotel,Hotel,458211,411396,27,113.8,113.8,273.5,273.5,4239,10.3,27622.9,,8888296,164704.3085,,,Whole Building,Whole Building,38.90555725,-77.05177644
PM01649511,0024_0871,1649511,2445 M Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,2445 M ST NW,WRIT 2445 M LLC,2,2445 M Street N.W.,Washington,DC,20037,1986,Office,Office,397105,305149,86,63.4,64.5,199.1,202.6,2146.4,7,6070.5,,5670972,,,,Whole Building,Whole Building,38.90558858,-77.05263423
PM02703000,0024_0885,2703000,WestEnd25,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,Incomplete report ,1229 - 1231 25TH ST NW,RH 1229-1231 25TH STREET LLC,2,1255 25th Street,Washington,DC,20006,2010,Multifamily Housing,Multifamily Housing,298475,271827,48,55.3,56.7,140.7,142.2,1419.8,5.2,,1,3149167,42904.82144,,,Whole Building,Common areas (all energy loads),38.90666626,-77.05267791
PM05809050,0024_1008,5809050,Sodium  LLC,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,2450 N ST NW,WHITMAN PLACE CONDOMINIUM,2,2450 N Street  NW,Washington,DC,20037,1990,Office,Office,101675,88011,34,92.5,92.5,290.5,290.5,903.1,10.3,1619.2,,2386135,,,,Whole Building,Whole Building,38.9070214,-77.0526001
PM03488104,0025_0808,3488104,2400 M Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,2400 M ST NW,EQR-JBG 2400 RESIDENTIAL LLC,2,2400 M Street NW,Washington,DC,20037,2006,Multifamily Housing,Multifamily Housing,401625,433100,84,44.9,44.8,100.8,99,1674.6,3.9,11333.7,61,3258819,83060.1023,,,Whole Building,Whole Building,38.90507245,-77.05171073
PM04379094,0025_0808,4379094,2440 M Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,2400 M ST NW,EQR-JBG 2400 RESIDENTIAL LLC,2,2440 M St N.W.,Washington,DC,20037,1985,Medical Office,Medical Office,401625,116363,58,86.6,89.5,243.5,246.7,1026.1,8.8,2605.5,,2489124,15818.5184,,,Whole Building,Whole Building,38.90507245,-77.05171073
PM03993696,0025_1646,3993696,The Atlas Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,Data Under Review by DOEE,1111 25TH ST NW,ATLAS CONDOMINIUM,2,1111 25TH ST NW,Washington,DC,20037,2005,Multifamily Housing,Multifamily Housing,112894,112894,,47.4,48.3,87.7,87.2,402.8,3.6,4032.5,62,599805,33095.63423,,,Whole Building,Whole Building,38.9045789,-77.0529714
DC00251782,0025_1782,N/A,,,,12/31/2017,No Report Received,2425 L ST NW,THE COLUMBIA RESIDENCES CONDO,2,2425 L ST NW,Washington,DC,20037,2006,Other,Other - Undetermined Property Type,270803,,,,,,,,,,,,,,,,,38.9041982,-77.0523516
PM04317950,0026_0011,4317950,280111 - 2401 Penn Ave.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,2401 PENNSYLVANIA AVE NW,2401 PENN AVENUE LLC,2,2401 Pennsylvania Avenue NW,Washington,DC,20037,1991,Mixed Use Property,Mixed Use Property,221853,145060,79,50.6,50.6,149.2,149.2,775.2,5.3,11516.7,,1954375,6687.57522,,,Whole Building,Whole Building,38.90346905,-77.0519089
PM03980627,0027_0819,3980627,2400 Pennsylvania AV NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,2400 PENNSYLVANIA AV NW,2400 LLC,2,2400 Pennsylvania Ave NW,Washington,DC,20037,1959,Multifamily Housing,Multifamily Housing,71934,72000,66,73.5,77.6,124.1,127.1,374.6,5.2,3614.5,44,473710.8,36766.51669,,,Whole Building,Whole Building,38.90283661,-77.05184238
PM03185754,0027_0820,3185754,2424 Pennsylvania,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,2424 PENNSYLVANIA AV NW,PENNSYLVANIA HOUSE ASSOCIATION,2,2424 Pennsylvania Ave  NW,Washington,DC,20037,1962,Multifamily Housing,Multifamily Housing,112937,94500,81,51,51.5,115,113.7,416.6,4.4,6412.8,19,814607.3,20392.82159,,,Whole Building,,38.90299046,-77.05227492
PM05494242,0027_0823,5494242,Melrose Hotel - WML,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,2430 PENNSYLVANIA AV NW,HH MELROSE HOTEL ASSOCIATES LP,2,2430 Pennsylvania Ave NW,Washington,DC,20037,1951,Hotel,Hotel,164017,190400,70,88.7,90.2,165.5,165.1,1278.2,6.7,11362.2,,1933418,102865.8171,,,Whole Building,Whole Building,38.90301973,-77.0526803
PM03499875,0028_0893,3499875,925 Apartments,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,0925 25TH ST NW,925 LLC,2,925 25th st. NW,Washington,DC,20037,1959,Multifamily Housing,Multifamily Housing,126522,126522,77,58.5,62.4,108.2,110.8,556.7,4.4,5609.8,44,829362.4,45704.38408,,,Whole Building,Whole Building,38.9023167,-77.0532895
PM06276858,0028_2010,6276858,Jefferson House Condominiums: 922 24th Street NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,0922 24TH ST NW,JEFFERSON HOUSE CONDO,2,922 24th Street Northwest,Washington,DC,20037,1960,Multifamily Housing,Multifamily Housing,88255,87115,54,84.7,89.7,165.2,167.3,575.7,6.6,4948.8,69,932020.6,41967.47202,,,Whole Building,Whole Building,38.9014794,-77.0516208
DC00290003,0029_0003,N/A,,,,12/31/2017,No Report Received,0824 NEW HAMPSHIRE AV NW,GEORGE WASHINGTON UNIVERSITY,2,0824 NEW HAMPSHIRE AV NW,Washington,DC,20037,1960,Other,Other - Undetermined Property Type,79671,,,,,,,,,,,,,,,,,38.90030297,-77.05312778
PM04556802,0030_0018,4556802,Washington DC RI,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,801 NEW HAMPSHIRE AVE NW,CHATHAM WASHINGTON DC LLC,2,801 New Hampshire Ave NW,Washington,DC,20037,1975,Hotel,Hotel,98042,98042,19,73.5,75.7,161.3,162.9,611,6.2,3887.6,,1156192,32637.48859,,,Whole Building,Whole Building,38.8998552,-77.05224877
PM03672603,0030_0818,3672603,The Elise Apartments,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,0825 NEW HAMPSHIRE AV NW,ELAINE G MILLER,2,825 New Hampshire Ave  NW,Washington,DC,20037,1956,Multifamily Housing,Multifamily Housing,107947,107947,59,76.5,81.2,123.6,126.2,568,5.3,5042.4,41,655531.6,60217.22656,,,Whole Building,Whole Building,38.90020144,-77.05194653
PM05837422,0030_2012,5837422,Bon Wit Plaza,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,2401 H ST NW,BON WIT PLAZA CONDO,2,2401 H Street  NW,Washington,DC,20037,1979,Multifamily Housing,Multifamily Housing,70638,70638,16,101.9,107.6,192.9,196.7,550.1,7.8,3826.5,55,851545.4,42890.59466,,,Whole Building,Whole Building,38.8998895,-77.0517577
PM04018408,0031_0028,4018408,Western Presbyterian Church,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,2401 VIRGINIA AVE NW,WESTERN PRESBYTERIAN CHURCH TRUSTEES,2,2401 Virginia Avenue N.W.,Washington,DC,20037,1994,Worship Facility,Worship Facility,52404,52404,63,24,23.3,75.5,73.1,139.7,2.7,935.7,,369095.8,,,,Whole Building,Whole Building,38.89853884,-77.05196329
PM03509928,0031_0835,3509928,Potomac Plaza Terrace  Inc.- WHOLE BUILDING,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,0730 24TH ST NW,POTOMAC PLAZA TERRACES,2,730 24th Street NW,Washington,DC,20037,1961,Multifamily Housing,Multifamily Housing,210919,210000,86,50.8,54.1,99.4,100.8,834.2,4,5510.1,82,1357051,60361.22142,,,Whole Building,Whole Building,38.89909854,-77.05174686
PM03336808,0031_0837,3336808,Potomac Plaza,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,Data Under Review by DOEE,2475 VIRGINIA AV NW,POTOMAC PLAZA APARTMENTS INC,2,2475 Virginia Avenue  N.W.,Washington,DC,20037,1957,Multifamily Housing,Multifamily Housing,316550,316550,81,45.8,48.5,92.7,94.4,1160.4,3.7,9249.9,50,1980166,77364.64561,,,Whole Building,Whole Building,38.8990837,-77.05249743
PM03500007,0033_0087,3500007,Columbia Plaza All Bldgs,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,2400 VIRGINIA AV NW,COLUMBIA PLAZA LP,2,2400 Virginia Ave NW,Washington,DC,20037,1968,Multifamily Housing,Multifamily Housing,1544107,988819,40,73.4,78.1,138.9,141.7,5545.8,5.6,43987.4,14,8568059,433552.1402,,,Whole Building,Whole Building,38.8976054,-77.0518455
PM04382871,0035_1009,4382871,Emerson House,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,0008 N ST NW,EMERSON HOUSE CONDOMINIUM,2,0008 North Street,Washington,DC,20020,1995,Multifamily Housing,Multifamily Housing,83924,83924,94,40.2,42.1,89.6,93.1,289.1,3.4,2733.4,78,557840,14683.74571,,,Whole Building,Whole Building,38.874436,-77.009831
PM02656301,0036_0048,2656301,2300 N Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,Incomplete report ,2300 N ST NW,TR 2300 N STREET CORP,2,2300 N Street,Washington,DC,20037,1986,Office,Office,451902,304484,,33.8,35,106.3,110,1143.1,3.8,,,3020214,,,,Whole Building,Tenant and/or common areas (partial energy loads),38.90698463,-77.05073142
PM03989772,0036_0846,3989772,Chromium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,2301 M ST NW,CHROMIUM LLC,2,2301 M Street NW,Washington,DC,20037,1980,Medical Office,Medical Office,68405,62404,12,72.5,72.5,227.6,227.6,501.8,8,1290,,1325854,,,,Whole Building,Whole Building,38.90568436,-77.05033378
DC00360859,0036_0859,N/A,,,,12/31/2017,No Report Received,1201 24TH ST NW,BW HOSPITALITY LLC,2,1201 24TH ST NW,Washington,DC,20037,0,Other,Other - Undetermined Property Type,361400,,,,,,,,,,,,,,,,,38.90573626,-77.05112599
DC00361010,0036_1010,N/A,,,,12/31/2017,No Report Received,1230 - 1250 23RD ST NW,1230-1250 23RD ST CONDOMINIUM,2,1230 - 1250 23RD ST NW,Washington,DC,20037,1989,Other,Other - Undetermined Property Type,190287,,,,,,,,,,,,,,,,,38.9062986,-77.0504815
PM03991512,0036_1489,3991512,West End Residences,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,1221 24TH ST NW,WEST END RESIDENCES,2,1221 24th St NW,Washington,DC,20037,2000,Multifamily Housing,Multifamily Housing,69225,67540,4,93.6,97.2,217,221.7,557.7,8.3,3281.6,49,1124774,24838.79965,,,Whole Building,Whole Building,38.90573626,-77.05112599
PM03504183,0037_0853,3504183,2300-2330 M ST,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,2300 - 2330 M ST NW,MEDICAL FACULTY ASSOCIATES INC,2,2300-2330 M ST NW,Washington,DC,20037,1984,Office,Office,120872,161222,37,89.8,88.7,282,278.5,1606.4,10,3012.1,,4244049,,,,Whole Building,Whole Building,38.90501242,-77.05055386
PM01483327,0037_0854,1483327,5659-The Westin Grand  Washington DC,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,2350 M ST NW,STARWOOD REALTY CMBS I LLC,2,2350 M Street N.w.,Washington,DC,20037,1990,Hotel,Hotel,219252,193239,35,97.7,99.9,259.6,265.9,1842.2,9.5,9144,,4253827,43705.0033,,,Whole Building,Whole Building,38.90497948,-77.05109698
PM04392623,0037_0854,4392623,The westin Georgetown,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,2350 M ST NW,STARWOOD REALTY CMBS I LLC,2,2350 M St. NW,Washington,DC,20037,1983,Hotel,Hotel,219252,212483,43,68.5,70.3,214.7,220.2,1612.4,7.6,10076.6,,4253832,448.960739,,,Whole Building,Whole Building,38.90497948,-77.05109698
PM04540635,0037_1011,4540635,Gibson Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,1140 23RD STREET NW,THE GIBSON CONDOMINIUM,2,1140 23rd street NW,Washington,DC,20037,1980,Multifamily Housing,Multifamily Housing,67432,67432,6,60.9,63.1,191.3,198,455.8,6.8,1542114.3,1,1204264,,,,Whole Building,Whole Building,38.9047019,-77.05046
PM04014595,0038_2013,4014595,Three Washington Circle  A Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,0003 WASHINGTON CIR NW,THE CHANCELLOR CONDO,2,3 Washington Circle  NW,Washington,DC,20037,1983,Multifamily Housing,Multifamily Housing,50278,90500,80,46.6,47.7,106.1,107.2,367.2,4.1,3320.2,47,725323.6,17451.53184,,,Whole Building,Whole Building,38.9031728,-77.0505687
PM03230040,0039_0004,3230040,Milken Institute School of Public Health,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,950 NEW HAMPSHIRE AV,THE GEORGE WASHINGTON UNIVERSITY,2,950 New Hampshire Ave  NW,Washington,DC,20052,2014,College/University,College/University,115000,152638,,81.8,85.1,203.5,205.2,1159.8,7.6,2214.4,,2515889,39070.48404,,,Whole Building,Whole Building,38.90219653,-77.05107586
PM03772931,0040_0036,3772931,George Washington University Hospital,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,Data Under Review by DOEE,900 23RD ST NW,GEORGE WASHINGTON,2,900 23rd St  NW,Washington,DC,20037,2002,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),450927,450927,58,301,300,679.3,675.9,11740.8,26,35759.5,,22965760,573921.5787,,,Whole Building,Whole Building,38.90132679,-77.05046239
PM02266110,0041_0040,2266110,Ross Hall,3616625,Ross Hall Group,12/31/2017,In Compliance,2300 I ST NW,GEORGE WASHINGTON UNIVERSITY,2,2300 I St  NW,Washington,DC,20052,1973,College/University,College/University,467654,420653,,1148.2,1148.2,1467.8,1467.8,28705.3,68.2,51886.4,,15464680,4302378.231,,,Another configuration,Whole Building,38.9000871,-77.0508431
PM03616625,0041_0040; 0055_0029; 0055_0855,3616625,Ross Hall Group,3616625,Ross Hall Group,12/31/2017,In Compliance,2300 I ST NW; 817 23RD ST NW; 2212 I ST NW,GEORGE WASHINGTON UNIVERSITY; THE GEORGE WASHINGTON UNIVERSITY,2,800 22nd St; 2212  2222  and 2300  I St  NW,Washington,DC,20052,1945,College/University,College/University,948807,1047627,,465.5,465.5,599.7,599.7,29117,27.8,64753.2,,16288270,4321197.015,,,Whole Building,Whole Building,38.900087,-77.050843
PM01030402,0042_0054,1030402,Amsterdam Hall,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,2350 H ST NW,GEORGE WASHINGTON UNIVERSITY,2,2350 H St  NW,Washington,DC,20052,1997,Residence Hall/Dormitory,Residence Hall/Dormitory,165390,129562,67,66.3,70,144.3,148.2,724.2,5.6,6872.6,,1357188,39624.20522,,,Whole Building,Whole Building,38.8993224,-77.05091838
PM02265100,0042_0055,2265100,Health and Wellness Center,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,2301 G ST NW,GEORGE WASHINGTON UNIVERSITY,2,2301 G St  NW,Washington,DC,20052,2001,Fitness Center/Health Club/Gym,Fitness Center/Health Club/Gym,145350,167964,,67.5,67.4,171.2,168.4,1068.2,6.4,3480.5,,2361474,32830.88594,,,Whole Building,Whole Building,38.89861803,-77.05051693
PM01415263,0043_0026,1415263,Shenkman Hall,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,616 23RD ST NW,GEORGE WASHINGTON UNIVERSITY,2,616 23rd St  NW,Washington,DC,20052,2004,Residence Hall/Dormitory,Residence Hall/Dormitory,327530,283531,31,84,84.1,201.9,200.1,2156.2,7.6,10898.1,,4521007,83756.38283,,2328.9,Whole Building,Whole Building,38.89794615,-77.05040603
PM03395641,0049_0044,3395641,Westbrooke Place,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,2201 N ST NW,WESTBROOKE PLACE LP,2,2201 N St NW,Washington,DC,20037,1995,Multifamily Housing,Multifamily Housing,226803,226803,62,51.9,53.6,120.4,122.2,1038.3,4.6,5172.4,74,2096198,46115.14642,,,Whole Building,Whole Building,38.90744381,-77.04919476
PM01030284,0050_0086,1030284,1255 23rd Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,1225 23RD ST NW,CAPITOL 50 ASSOCIATES,2,1255 23rd Street  NW,Washington,DC,20037,1983,Office,Office,83314,358737,92,45.9,45.9,144,144,1825,5.1,4077.3,,4821830,,,,Whole Building,Whole Building,38.90640247,-77.04978884
PM03727352,0051_1014,3727352,Carriage House Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,2201 L ST NW,THE CARRIAGE HOUSE CONDOMINIUM,2,2201 L Street NW,Washington,DC,20037,1969,Multifamily Housing,Multifamily Housing,103487,103487,53,77.2,81.9,151.7,155,626.7,6.1,4026.7,78,1024604,44976.59788,,,Whole Building,Whole Building,38.9040361,-77.0492921
PM03351796,0051_1313,3351796,,,,12/31/2017,Exempt from this year's disclosure,0115 23RD ST NW,THE PARKMONT CONDO,2,0115 23RD ST NW,Washington,DC,20037,1990,Other,Other - Undetermined Property Type,313160,,,,,,,,,,,,,,,,,38.90483647,-77.04910581
PM03682457,0052_0805,3682457,One Washington Circle,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,1 WASHINGTON CIR NW,GEORGE WASHINGTON UNIVERSITY,2,1 Washington Circle,Washington,DC,20037,1963,Hotel,Hotel,128480,102730,52,89.4,90,199.4,198.7,787.7,7.7,8297.4,,1519200,40040.6882,,,Whole Building,Whole Building,38.90337893,-77.04972805
PM02951555,0054_0841,2951555,2200 Pennsylvania Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,2200 PENNSYLVANIA AVE NW,GEORGE WASHINGTON UNIVERSITY,2,2200 Pennsylvania Avenue,Washington,DC,20037,2011,Office,Office,499000,516737,92,41.2,,129.3,,2362.4,4.6,9125.5,,6235913,,29007.6,,Whole Building,Whole Building,38.90194436,-77.04912731
PM04019461,0054_0841,4019461,Residences on the Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,Data Under Review by DOEE,2200 PENNSYLVANIA AVE NW,GEORGE WASHINGTON UNIVERSITY,2,2221 I Street NW,Washington,DC,20037,2011,Multifamily Housing,Multifamily Housing,499000,396876,5,88.9,89,266.4,264.3,3774.7,9.5,15682,31,9632508,24250.69545,,,Whole Building,Whole Building,38.9009754,-77.0497071
