Address,Atlanta Building ID,Blank ,Views by Parameter,City,ENERGY STAR Score,Number of Buildings,Number of Records,Postal Code,Grouped Property Types,Primary Property Type - Self Selected,Property GFA - Calculated (Buildings) (ft²),Property Id,Property Name,Property Notes,Site EUI (kBtu/ft²),Site Energy Use (kBtu),State/ Province,Table Names,Total GHG Emissions (Metric Tons CO2e) (group),Total GHG Emissions (Metric Tons CO2e),Water Use (kGal),Water Use Intensity (gal/ft²),Year Built,Year Ending,Year
308 Peachtree Hills Avenue,502217, ,,Atlanta,,1,1,30305,Municipal,Municipal,8200,3965355,DPRCA-P.Tree Hills Rec Center ~ Gym,Not Available,119.9,983180,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,139.599999999999,139.600000000,0,0,2002,12/31/2014,1/1/2015
3535 Piedmont Road,111644, ,68,Atlanta,68,,1,30305,Office,Office,300000,3944505,Piedmont 14,Not Available,70.7,21210000,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,3838.1999999999898,3838.200000000,3612,12.04,1988,12/31/2014,1/1/2015
"3201 Roswell Road, N.E",342517, ,,Atlanta,,0,1,30305,Municipal,Fire Station,8925,3926658,Fire Station 21,Not Available,205.2,1831410,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,235.90000000000001,235.9,674.194,75.54,1984,12/31/2014,1/1/2015
3300 Peachtree Road,958602, ,31,Atlanta,31,,1,30305,Lodging,Hotel,407622,3529761,Grand Hyatt Atlanta,Not Available,114.9,46835800,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,5891.6999999999898,5891.700000000,24451000,59984.5,1990,12/31/2014,1/1/2015
3490 Piedmont Road,Not Available, ,81,Atlanta,81,1,1,30305,Office,Office,280391,3463673,One Securities Centre,Not Available,58.8,16487000,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,2531.3000000000002,2531.3,9264.12,33.04,1985,12/31/2014,1/1/2015
2960 Piedmont Rd,614987, ,77,Atlanta,77,1,1,30305,Lodging,Hotel,88200,3351301,57201-Buckhead Residence INN,Not Available,85.9,7576380,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,767.0,767,5077.67,57.57,1987,12/31/2014,1/1/2015
3500 Piedmont Road,Not Available, ,86,Atlanta,86,1,1,30305,Office,Office,250760,3256656,Two Securities Centre,Not Available,55.6,13942256,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,1848.2,1848.2,1835.56,7.32,1982,12/31/2014,1/1/2015
3405 Piedmont Road,556329, ,89,Atlanta,89,,1,30305,Office,Office,106218,3250639,3405 Piedmont,Not Available,49.6,5268410,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,953.39999999999895,953.400000000,,,1984,12/31/2014,1/1/2015
3330 Piedmont Rd NE,369833, ,35,Atlanta,35,1,1,30305,Retail/ Entertainment,Supermarket/Grocery Store,56655,2980024,01100259 -- Peidmont,Not Available,257.5,14588700,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,2108.5999999999899,2108.600000000,,,1975,12/31/2014,1/1/2015
3285 Peachtree Road N.e.,507961, ,48,Atlanta,48,1,1,30305,Lodging,Hotel,333361,2384739,Embassy Suites - Atlanta Buckhead,Not Available,77.5,25835500,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,3449.3000000000002,3449.3,13061.1,39.18,1988,12/31/2014,1/1/2015
3333 Piedmont Road,683525, ,90,Atlanta,90,1,1,30305,Office,Office,578927,1975212,Terminus 200,This building already has LEED CS Gold certification,51.8,29988400,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,4603.6999999999898,4603.700000000,6067.15,10.48,2009,12/31/2014,1/1/2015
"3180 Peachtree Road, NW",617384, ,,Atlanta,,,1,30305,Worship,Worship Facility,237000,1788739,Peachtree Road UMC,Not Available,,,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,No Values Given,,647.01,2.73,1950,12/31/2014,1/1/2015
"3180 Peachtree Road, NW",617384, ,3,Atlanta,3,,1,30305,Worship,Worship Facility,237000,1788739,Peachtree Road UMC,Not Available,64.5,15286500,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,2248.5,2248.5,647.01,2.73,1950,12/31/2014,1/1/2015
3060 Peachtree Rd. NW,796659, ,81,Atlanta,81,1,1,30305,Office,Office,499020,1540999,One Buckhead Plaza,"One Buckhead Plaza – Bldg ID 796659.  We tried, but cannot get from the Department of Watershed the water bills for 2014, since we do not have the details of the previous owners billing (Watershed acct number, Tax id #, etc.) – the property was not purchased until 2015.",59.2,29541984,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,5340.1999999999898,5340.200000000,,,1987,12/31/2014,1/1/2015
3050 Peachtree Road NW,520929, ,85,Atlanta,85,,1,30305,Office,Office,205358,1357964,Two Buckhead Plaza,The City of Atlanta domestic and fire service water meters supplying Two Buckhead Plaza also supply the Ovation Condominiums (3040 Peachtree Road) and the parking deck shared by both buildings.  The water meter used for utility calculations at Two Buckhead Plaza is a submeter which supplies the office tower including retail and restaurants but does not include fire service in the building.,44.3,9097360,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,1644.0,1644,2686000,13079.6,2006,12/31/2014,1/1/2015
"3525 Piedmont Center, NE",604355, ,82,Atlanta,82,1,1,30305,Office,Office,505113,1190914,Piedmont Center 5-8,Not Available,60.1,30357300,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,5488.6999999999898,5488.700000000,,,1982,12/31/2014,1/1/2015
3280 Peachtree Road NE,351688, ,90,Atlanta,90,1,1,30305,Office,Office,652490,1330045,Terminus 100,Not Available,50.3,32820247,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,5039.1000000000004,5039.1,13206.4,20.24,2007,12/31/2014,1/1/2015
3280 Peachtree Road NE,351688, ,89,Atlanta,89,1,1,30305,Office,Office,642034,1330045,Terminus 100,Not Available,51.1,32807900,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,5941.1000000000004,5941.1,13206.6,20.57,2007,12/31/2014,1/1/2015
400 Ponce de Leon Ave. N.E.,486761, ,,Atlanta,,,1,30308,"Other, Mixed Use",Mixed Use Property,85698,4473865,Yaarab Shrine Temple,Not Available,39.4,3376500,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,472.10000000000002,472.1,,,1965,12/31/2014,1/1/2015
675 Ponce De Leon,163570, ,,Atlanta,,1,1,30308,Office,Office,993880,5042586,Ponce City Market- Main Building,"8/1/16- use details (# of computers and workers on main shift including part time employees) were estimated based on spreadsheet sent by Jamestown.

Acct #21993-52024- electric bill off by ~$490 each month (doesn't include Ga Power base charges)",17.9,17790452,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,3143.4000000000001,3143.4,198.776,0.2,1927,12/31/2014,1/1/2015
25 Auburn Ave,836445, ,,Atlanta,,1,1,30308,"Other, Mixed Use",Other,15800,4571991,0101 25 Auburn Ave  Old Bell Building,"No water consumption for 2014, building unoccupied.",650.1,10271580,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,565.10000000000002,565.1,,,1907,12/31/2014,1/1/2015
848 Spring Street NW,341871_b, ,,Atlanta,,1,1,30308,College/University & Residence Hall/Dormitory,Residence Hall/Dormitory,,4526438,Square on Fifth,Not Available,,,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,No Values Given,0,,,2015,12/31/2014,1/1/2015
650 Ponce De Leon Ave.,362254, ,54,Atlanta,54,,1,30308,Retail/ Entertainment,Retail Store,131534,4520100,#0159 Mid-Town,Not Available,77.7,10220200,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,1548.8,1548.8,1970.38,14.98,2000,12/31/2014,1/1/2015
650 Ponce De Leon Ave.,362254, ,54,Atlanta,54,,1,30308,Retail/ Entertainment,Retail Store,131534,4520100,#0159 Mid-Town,Not Available,77.7,10220200,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,1548.8,1548.8,1970.38,14.98,2000,12/31/2014,1/1/2015
781 Peachtree Street NE,865948, ,,Atlanta,,,1,30308,Worship,Worship Facility,55492,4519633,Saint Mark UMC,Not Available,36,1997712,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,229.599999999999,229.600000000,780.772,14.07,1903,12/31/2014,1/1/2015
575 W. Peachtree St. NE,102878, ,,Atlanta,,,1,30308,"Other, Mixed Use",Parking,174651,4482512,20 Linden Parking Deck,Not Available,8.7,1519460,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,276.39999999999901,276.400000000,,,2000,12/31/2014,1/1/2015
727 Juniper St NE,Not Available, ,,Atlanta,,,1,30308,Lodging,Other - Lodging/Residential,154238,4473913,Lutheran Towers,Not Available,80.6,12431600,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,1809.7,1809.7,4728.94,30.66,1971,12/31/2014,1/1/2015
650 North Avenue Northeast,921974, ,,Atlanta,,1,1,30308,Hospital/Medical,Lifestyle Center,84439,4473879,Ponce City Market - Service Building,"GP# 6933228049- BB CA, Dance G, 2Fl 202 Vac, Parking & Common Areas--Added 'Parking and Common Areas' to meter name based on email from Melissa Ward (8/9/16)",17,1435463,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,257.80000000000001,257.8,,,1946,12/31/2014,1/1/2015
58 Edgewood,429427, ,,Atlanta,,,1,30308,College/University & Residence Hall/Dormitory,College/University,128941,4467872,0081 58 Edgewood,Not Available,82.3,10611800,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,1658.3,1658.3,1807.75,14.02,1898,12/31/2014,1/1/2015
303 Peachtree Street Northeast,221913, ,65,Atlanta,65,1,1,30308,Office,Office,1200204,4373094,SunTrust Plaza Office - 10,"*Not to be included in DOE metrics. Building system must be discussed 

This property is just an estimation to gain a sense of what the Energy Star Score would be. The SunTrust Garden Center and Plaza have been split into two properties.",72.7,87254800,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,15795.0,15795,7633.3,6.36,1992,12/31/2014,1/1/2015
395 Piedmont Road,205228, ,,Atlanta,,1,1,30308,Municipal,Municipal,231161,3987914,DPRCA-Atlanta Civic Center,"Water data: Two accounts for this address. One is for the Bureau of Cultural Affairs and is listed as a “non-metered account” with no data reported; the second is for the Bouisfeuillet Jones Civic 
Center and is shown as a grease management account with no data reported.",67.5,15603400,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,2535.5,2535.5,,,2005,12/31/2014,1/1/2015
"544 Angier Avenue, NE",642943, ,,Atlanta,,1,1,30308,Municipal,Municipal,5766,3965353,DPRCA-J. D. Sims Rec Center,Not Available,71.4,411692,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,41.600000000000001,41.6,14.1844,2.46,2005,12/31/2014,1/1/2015
400 Merrits Avenue,329881, ,,Atlanta,,1,1,30308,Municipal,Municipal,21780,3965350,DPRCA-Central Park-Rec Center ~ Gym,Gas data: There is no gas data from mid-2014 from either UMS or utility.,26.3,572814,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,103.40000000000001,103.4,53.361,2.45,1990,12/31/2014,1/1/2015
"447 Boulevard, S.E. Unit 59032",227709, ,,Atlanta,,1,1,30308,Municipal,Fire Station,8862,3963159,Fire Station 10,Not Available,104.6,926965,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,93.400000000000006,93.4,686.096,77.42,1959,12/31/2014,1/1/2015
705 Juniper St NE,Not Available, ,,Atlanta,,,1,30308,Hospital/Medical,Other - Specialty Hospital,55052,3668973,Atlanta,Not Available,152.4,8389920,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,1336.8,1336.8,2617.17,47.54,1967,12/31/2014,1/1/2015
501 W PEACHTREE ST NE,Not Available, ,,Atlanta,,0,1,30308,"Other, Mixed Use",Parking,665252,3531185,EUHM- Summit Parking Deck,Not Available,4,2661008,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,484.80000000000001,484.8,166.313,0.25,2002,12/31/2014,1/1/2015
550 Peachtree Street,407969, ,42,Atlanta,42,5,1,30308,Hospital/Medical,Hospital (General Medical & Surgical),1205492,3428124,Emory Midtown Hospital,"This property includes the following ABIDs for the City of Atlanta Energy Efficiency Ordinance (15-O-1101):
387281 (501 W. Peachtree St. Glenn Oncology)
512087 (478 NE Peachtree St WW Orr)
407969 (550 Peachtree St. NE - EUHM D&T/MOT)
840080 (35 Linden Ave. - Peachtree I & Peachtree II)

These were all submitted together as one property rather than separately under the ABIDs for the 2015 benchmarking deadline for the Ordinance.",227.8,274611000,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,33477.599999999897,33477.600000000,,,2002,12/31/2014,1/1/2015
866 W Peachtree St NW,925444, ,10,Atlanta,10,,1,30308,Lodging,Hotel,208572,3351873,9674f-Renaissance Atlanta Midtown,Not Available,111.4,23234900,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,3367.1999999999898,3367.200000000,9782.03,46.9,1990,12/31/2014,1/1/2015
660 Peachtree St N.E.,844013, ,,Atlanta,,,1,30308,"Museums, Performing Arts and Zoos",Performing Arts,213272,3239380,Fox Theatre,Group with cycle 11A: 4/22/2013,65.6,13990600,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,2039.5,2039.5,4367.81,20.48,1929,12/31/2014,1/1/2015
85 5th Street NW,Not Available, ,70,Atlanta,70,,1,30308,College/University & Residence Hall/Dormitory,College/University,208639,2246555,Technology Square Research Building,Not Available,86.4,18026400,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,3262.1999999999898,3262.200000000,3738.81,17.92,2002,12/31/2014,1/1/2015
725 W PEACHTREE ST NW,272395, ,100,Atlanta,100,1,1,30308,Office,Office,303596,1982944,RDG71,Not Available,0,0,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,No Values Given,0,,,1985,12/31/2014,1/1/2015
754 PEACHTREE ST NE,471339, ,100,Atlanta,100,1,1,30308,Office,Office,538825,1981083,REC15,Not Available,0,0,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,No Values Given,0,,,1985,12/31/2014,1/1/2015
30 Ivan Allen Blvd.,728296, ,90,Atlanta,90,1,1,30308,Office,Office,324872,1867777,30 Allen Plaza,Not Available,46.8,15204000,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,2747.9000000000001,2747.9,,,2005,12/31/2014,1/1/2015
55 Ivan Allen Jr. Boulevard,986307, ,95,Atlanta,95,1,1,30308,Office,Office,366745.8,1627277,55 Allen Plaza,For competition: Building Manager--Michelle Vaughn,56.7,20794500,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,3763.9000000000001,3763.9,3891.17,10.61,2006,12/31/2014,1/1/2015
75 5th Street NW,Not Available, ,91,Atlanta,91,1,1,30308,Office,Office,507679,1437082,Centergy One,Not Available,48.6,24673200,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,4460.1000000000004,4460.1,,,2003,12/31/2014,1/1/2015
1225 Caroline Street,307527, ,49,Atlanta,49,1,1,30725,Retail/ Entertainment,Supermarket/Grocery Store,62387,2980194,01100461 -- Atlanta,Not Available,240.5,15004100,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,2280.8000000000002,2280.8,,,2005,12/31/2014,1/1/2015
165 Bailey Street SW,Not Available, ,,Atlanta,,,1,30120,"Other, Mixed Use",Manufacturing/Industrial Plant,147291,4475522,"Bailey Street Bakery, LLC",Manufacturing Facility; Bakery of Bread products.,601.1,88536600,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,8607.5,8607.5,,,1917,12/31/2014,1/1/2015
3300 North Inner Loop Circle,267694, ,,Atlanta,,1,1,30337,Municipal,Fire Station,14915,4006348,DOA - Fire Station 24,Gas data: No recorded usage for 11/2014 from gas company.,84.8,1264792,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,228.69999999999899,228.700000000,1194.99,80.12,2005,12/31/2014,1/1/2015
1530 Woodbine,764372, ,,Atlanta,,1,1,30317,Municipal,Municipal,1000,3965360,DPRCA-Coan Multi Purpose Field,"Gas data: data is for the rec center account with same name.

Water data: data is for the rec center account with the same name.",30.2,30200,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,5.5,5.5,,,2002,12/31/2014,1/1/2015
241 Daniel Avenue,978702, ,,Atlanta,,1,1,30317,Municipal,Municipal,8100,3965359,DPRCA-Zaban Recreation Bldg.,"Water data: water account is listed as ""vacant"" with no service reported since Nov. 2010.",40.6,328860,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,36.100000000000001,36.1,,,1940,12/31/2014,1/1/2015
2007 Oakview Road SE,367708, ,,Atlanta,,1,1,30317,Municipal,Fire Station,10845,3963162,Fire Station 18,"Gas data: There is no Nov. 2014 data from ums or utility.

Water data: There is only a fire services account that shows no usage through Nov. 2014.",56.2,609489,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,75.5,75.5,65.7207,6.06,2009,12/31/2014,1/1/2015
1530 Woodbine Avenue,263487, ,,Atlanta,,1,1,30317,Municipal,Municipal,13200,3935737,DPRCA-Wesley Coan Park-Rec Center,Not Available,87,1148400,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,130.40000000000001,130.4,98.208,7.44,1975,12/31/2014,1/1/2015
2051 Delano Drive,427189, ,,Atlanta,,1,1,30317,Municipal,Municipal,19763,3935726,DPRCA-Bessie Branham Rec. Bldg.,"5/6/2015
Changed overall floor area to 19,763 square feet (take-offs from plans).
Original floor area was 23,080 square feet. 
- Southface

Gas data: there is no gas data for Nov. 2014 according to gas company.",51.3,1013840,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,125.5,125.5,170.159,8.61,1980,12/31/2014,1/1/2015
188 14th ST NE,459034, ,1,Atlanta,1,1,1,30361,Lodging,Hotel,587580,4482052,W Atlanta Midtown,This property has a central plant that provides chilled and super heated water to 2 other properties. The usage is billed through an energy management program.,373.7,219578646,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,30718.5,30718.5,,,1973,12/31/2014,1/1/2015
"1201 Peachtree Street,N.E",405280, ,86,Atlanta,86,1,1,30361,Office,Office,488850,1069984,400 Colony Square,Not Available,71.4,34903890,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,3794.1999999999898,3794.200000000,,,1971,12/31/2014,1/1/2015
"1175 Peachtree Street, N.E",231175, ,75,Atlanta,75,1,1,30361,Office,Office,424375,1069960,100 Colony Square,Not Available,108.3,45959800,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,4399.5,4399.5,,,1967,12/31/2014,1/1/2015
One National Drive SW,Not Available, ,41,Atlanta,41,1,1,30336,Storage & Distribution,Distribution Center,322000,4476917,"National Distributing Company, LLC",Not Available,57.8,18611600,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,2553.6999999999898,2553.700000000,,,1979,12/31/2014,1/1/2015
805 Selig Drive,497695, ,,Atlanta,,1,1,30336,"Other, Mixed Use",Other,48884,4293100,WW-Utoy-Creek Plant (Treatment),Gas data: there is no reported gas data from  Nov. 2014 from the utility.,2670.1,130525000,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,14683.0,14683,,,2005,12/31/2014,1/1/2015
155 Loring Drive,480114, ,,Atlanta,,1,1,30329,"Other, Mixed Use",Other,27416,4293095,WW-Tanyard Creek CSO,Gas data: there is no gas data for this address according to UMS and gas utility.,29.6,811514,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,147.0,147,13269.1,483.99,2005,12/31/2014,1/1/2015
800 Sidney Marcus Blvd,327910, ,36,Atlanta,36,1,1,30324,Lodging,Hotel,74310,4552857,Holiday Inn & Suites,Not Available,43.1,3202761,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,579.60000000000002,579.6,,,1998,12/31/2014,1/1/2015
99 Armour Dr,Not Available, ,,Atlanta,,,1,30324,"Other, Mixed Use",Manufacturing/Industrial Plant,64608,4537471,99 Armour,Not Available,14.5,936816,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,169.599999999999,169.600000000,68.4845,1.06,1960,12/31/2014,1/1/2015
764 Miami Circle,855768, ,,Atlanta,,1,1,30324,"Other, Mixed Use",Other,83000,4521007,764 Miami Circle,"The physical address of the property is 764 Miami Circle, Atlanta, GA 30324.
The mailing address of the property is 1708 Peachtree Street, Suite 208, Atlanta, GA 30309.",52.4,4349200,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,600.10000000000002,600.1,575.19,6.93,1977,12/31/2014,1/1/2015
2581 Piedmont Road NE,378019, ,64,Atlanta,64,,1,30324,Retail/ Entertainment,Retail Store,152463,4520102,#6986 Buckhead,Not Available,68.5,10443700,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,1782.2,1782.2,1500.24,9.84,2006,12/31/2014,1/1/2015
2170 Piedmont Rd. NE,306848, ,,Atlanta,,,1,30324,Office,Office,276150,4482237,Rollins Support Center,Not Available,71.9,19855185,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,2679.1999999999898,2679.200000000,,,1963,12/31/2014,1/1/2015
