Property Name,Reported,Property Type,Address,ZIP, Gross Area (sq ft) ,Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built, GHG Emissions (MTCO2e) ,GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf), Onsite Renewable (kWh) ,User Submitted Info,User Submitted Link,Tax Parcel,Years Reported
School Of Management and Academic Building Garage,Compliant,Parking,300R The Fenway,02115,247000,Not Available,,,Parking,2008,0,0,Not Available,,,,Not Available,,,,401842000,"2015, 2016, 2017, 2018, "
Melvin Hill Condominium Trust,Compliant,Multifamily Housing,301 Allston Street,02135,41326,98.5,85,,Multifamily Housing,1981,218.4,5.3,4071951.9,0.021875421,0.978125485,,4537.14,,,,2101749000,"2017, 2018, "
0075 Jamaica Plain,Compliant,Supermarket/Grocery Store,301 Centre St.,02130,46685,189.7,82,,Supermarket/Grocery Store,2005,609.1,13,8855401,0.664987543,0.335039974,,16.98,,,,1001850010,"2016, 2017, 2018, "
"Symphony Hall Service,      Boston Symphony Orchestra",Compliant,Performing Arts,301 Massachusetts Ave,02115,96000,Not Available,,,"Parking, Performing Arts",1900,Not Available,Not Available,Not Available,,,,Not Available,,,,401482000,"2015, 2016, 2018, "
Engine 20,Municipal ,Fire Station,301 Neponset Ave,02122,12000,89.9,,,Fire Station,2000,62.2,5.2,1078533,0.193522779,0.806485243,,Not Available,,,,1603905010,"2016, 2017, 2018, "
D-14 Station,Municipal ,Police Station,301 Washington St,02201,13858,152.4,,,Police Station,2000,126.9,9.2,2112098.1,0.295519421,0.704492857,,Not Available,,,,2202387000,"2016, 2017, 2018, "
Storage,Compliant,Fire Station,302 Northern Ave,02210,5000,9.1,,,Fire Station,2000,3.5,0.7,45272.6,1.000038488,,,Not Available,,,,602674245,"2016, 2018, "
ELLIS,Municipal ,K-12 School,302 Walnut Ave.,02119,51123,50.5,98,,K-12 School,1932,146.2,2.9,2582210.2,0.148641378,0.851364801,,Not Available,,,,1202985000,"2016, 2017, 2018, "
303 Congress Co. LLC,Compliant,Office,303 Congress Street,02210,69553,32,100,,Office,2004,141.8,2,2224682.1,0.450681784,0.549336928,,13.01,,,,602691000,"2015, 2016, 2017, 2018, "
Egleston Crossing-3033,Compliant,Multifamily Housing,3033 Washington Street,02119,55719,67.7,39,,"Multifamily Housing, Parking",2005,246.3,4.4,3772443,0.516515057,0.483506307,,55.86,,,,1101005000,"2015, 2016, 2017, 2018, "
Sepia Condominium,Compliant,Other,30-36 Traveler Street,02118,73504,29.8,,,Other,2015,130.4,1.8,2191095.5,0.272566999,0.727444326,,Not Available,,,,306624010,"2017, 2018, "
30-38 Cummington Street,Compliant,Laboratory,30-38 Cummington Street,02215,36563,232.3,,,Laboratory,1917,525.7,14.4,8491783.9,0.402762258,0.597254409,,14.93,,,,2100287000,"2014, 2015, 2016, 2017, 2018, "
Hearth at Olmstead Green: 2 Kingbird Road,Compliant,Multifamily Housing,305 American Legion Hwy,02124,59580,42.1,81,,Multifamily Housing,2012,158.8,2.7,2507855.1,0.433372604,0.566645376,,18.23,,Used 582.5 SF per apartment per the average of range 540-625 found on Peabody's site.  Gross SF comes from press release about the groundbreaking.,,1405196900,"2015, 2016, 2017, 2018, "
Evans Hall,Voluntary,College/University,305 Brookline Avenue,02215,31900,17.8,,,College/University,1938,43.5,1.4,566748.6,1.000041429,,,19.67,,,,402022000,"2018, "
F.W. WEBB COMPANY,Compliant,Non-Refrigerated Warehouse,307 DORCHESTER AVE,02127,48900,0,,,Non-Refrigerated Warehouse,2008,0.1,0,1300,,1.000000046,,58.79,,,,700007000,"2018, "
Washington Square Condominium,Compliant,Multifamily Housing,"309 -  313 Allston St., and 1560 - 1576 Commonwealth Ave.",02135,154240,10,,,Multifamily Housing,1985,117.4,0.8,1542863.6,0.975345957,0.024694339,,33.31,,sq footage is an estimate.  ,,2101724000,"2015, 2016, 2017, 2018, "
BB/OP/12SS: 31 Burbank Street,Compliant,Multifamily Housing,31 Burbank Street,02115,40461,91.6,67,,Multifamily Housing,1899,209.2,5.2,3707052.6,0.140589838,0.859415996,,34.83,,,,401440000,"2015, 2017, 2018, "
31 Hemenway Street,Compliant,College/University,31 Hemenway Street ,02115,38783,Not Available,,,College/University,2010,0,0,Not Available,,,,Not Available,,,,401763000,"2016, 2018, "
31 Milk Street,Compliant,Office,31 Milk Street,02109,95216,94.4,66,,Office,1923,571.4,6,8989254,0.443565081,0.556453276,,9.28,,,,304642004,"2014, 2015, 2016, 2017, 2018, "
Park Square Building,Compliant,Office,31 St. James Ave,02116,500000,54.8,100,,Office,1922,1604.7,3.2,27405473.6,0.230966048,0.769043505,,18.34,,,,501156000,"2014, 2015, 2016, 2017, 2018, "
311 Summer St,Compliant,Office,311 Summer St,02210,57225,72.6,77,,Office,1904,286.1,5,4157104.9,0.66637108,0.33365653,,10.33,,,,602763010,"2017, 2018, "
Commerce Apartments,Compliant,Multifamily Housing,3115 Washington Street,02130,26000,59.5,81,,Multifamily Housing,1940,86,3.3,1547286.4,0.105190064,0.894814308,,37.42,,"According to Boston's tax assessor database, parcel id 1101302000 has a living area of 17,544 square feet. This building also has less than 50 units.",,1101302000,"2015, 2016, 2017, 2018, "
UMANA,Municipal ,K-12 School,312 Border St.,02128,169000,119,62,,"K-12 School, Swimming Pool",1975,1068.4,6.3,20105761,0.000994363,0.999005672,,Not Available,,,,103668000,"2016, 2017, 2018, "
313 Congress Street,Compliant,Office,313 Congress Street,02210,72912,50.3,84,"2017, 2016, 2014",Office,1890,281.1,3.9,3666856.1,1.00004137,,,10.29,,,,602692000,"2014, 2015, 2016, 2017, 2018, "
EGLESTON,Municipal ,K-12 School,3134 Wasington St,02130,30000,5.1,100,,K-12 School,1978,11.8,0.4,153876.9,1.000040629,,,Not Available,,,,1101465010,"2016, 2017, 2018, "
31-35 Gardner,Compliant,Multifamily Housing,31-35 Gardner ,02134,31348,Not Available,,,Multifamily Housing,1940,Not Available,Not Available,Not Available,,,,Not Available,,,,2100611000,"2017, 2018, "
Queensberry Place Condominium,Compliant,Multifamily Housing,31-35 Queensberry Street,02215,80000,28.8,100,,Multifamily Housing,1901,171.1,2.1,2302479.4,0.041754762,,,18.03,,,,504245000,"2017, 2018, "
315 on A - 24305,Compliant,Multifamily Housing,315 A Street,02110,207496,52.5,93,,"Multifamily Housing, Parking",2013,671.8,3.2,10895880.7,0.355854631,0.637535471,,26.18,21155.1,"2016-1 Chg wtr mtrs from 'potable-indoor' to 'potable-mixed indoor/outdoor' after 2015 submission.
2015-1  Property in lease up mode so overall increase in energy use.
2015-1  Corrected GFA and garage sq ft based upon Equity on-site team (r. cunningham).
2015-2  Equity Residential bought property 4/17/15.  Assumed previous owner's PM profile.
2015-3  Added solar meter & input both 2014 & 2015 solar production.",,602761030,"2015, 2016, 2017, 2018, "
3-15 Alaska St,Compliant,Multifamily Housing,3-15 Alaska St,02119,42548,58.8,95,,Multifamily Housing,1900,136.7,3.2,2501218.2,0.065602352,0.93440034,,34.04,,,,1200420000,"2017, 2018, "
JP Plaza,Compliant,Strip Mall,315 Centre Street,02130,43792,135.7,,,"Parking, Strip Mall",1991,430.4,9.8,5944460.5,0.818613719,0.181420189,,27.05,,,,1001850100,"2016, 2017, 2018, "
District 6 Yard,Municipal ,Other,315 Gardner St,02132,3000,82.3,,,Other,2000,18.9,6.3,246768.6,1.000040961,,,Not Available,,,,2009010000,"2016, 2017, 2018, "
District 4 Yard,Municipal ,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",315 WESTERN AV,02134,3048,26.5,,,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",2000,6.2,2,80898.5,1.000041758,,,Not Available,,,,2200561000,"2016, 2017, 2018, "
YMCA of Greater Boston - Huntington,Compliant,Fitness Center/Health Club/Gym,316 Huntington Avenue,02115,100961,195.1,,,"Fitness Center/Health Club/Gym, Swimming Pool",2014,1185.7,11.7,19698979.1,0.300388612,0.699623827,,78.38,,"Renovations were completed in October 2014. The property was fully operational during the 2014 calendar year. Energy usage for shared facilities with Northeastern University was split accordingly.

Energy meter ""Natural Grid Gas 430"" contains estimated values due to billing covering more than one period. Monthly consumption was distributed evenly among the billing periods.

Energy meters ""Boston Water & Sewer Commission 00"" and ""Boston Water & Sewer Commission 02"" contain estimated values due to a reversal in the monthly consumption billed.",,0402245045 0402245042 402245044,"2015, 2016, 2017, 2018, "
1098-Jamaica Plain,Compliant,Non-Refrigerated Warehouse,3175 Washington Street,02130,71057,34.2,7,,Non-Refrigerated Warehouse,2009,170.3,2.4,2426730.4,0.724844848,0.275185078,,0.99,,,,1102009000,"2014, 2015, 2016, 2017, 2018, "
Faneuil Branch,Municipal ,Library,319 Faneuil Street,02135,8072,Not Available,,,Library,2000,Not Available,Not Available,Not Available,,,,Not Available,,,,2203357000,"2016, 2017, 2018, "
Greater Boston Legal Services,Compliant,Office,32 38 Anthony R Valenti Wy,02114,50400,53.9,86,,Office,1900,198.2,3.9,2717810.7,0.840933797,0.159101015,,10.8,,,,301592000,"2014, 2015, 2016, 2017, 2018, "
Pilot House,Compliant,Office,32 Atlantic Avenue,02110,43518,65.4,78,,Office,1945,188.9,4.3,2845798.6,0.563309394,0.436713962,,15.29,,"From March 2017 - November 2017, approximately 5,700 gross square feet of office space was renovated to upgrade the HVAC system and interior finishes.",,303034000,"2016, 2017, 2018, "
Herb Chambers Toyota Boston,Compliant,Automobile Dealership,32 Brighton Ave,02134,61150,57,,,Automobile Dealership,1913,248.1,4.1,3486635.9,0.765937857,0.234093844,,4.74,,,,745000,"2018, "
Garrison Square,Compliant,Multifamily Housing,32 Garrison Street,02116,115806,68.2,13,,Multifamily Housing,1985,575.8,5,7903737.7,0.837696785,0.162337896,,45.43,,,,400972000,"2015, 2016, 2017, 2018, "
"IM000106 - 32 George St, Boston, MA",Compliant,Non-Refrigerated Warehouse,32 George St,02119,242500,10,99,,Non-Refrigerated Warehouse,1930,159.8,0.7,2430777.7,0.536584969,0.463437297,,0.11,,,,800789000,"2016, 2017, 2018, "
Nazzaro Community Center,Municipal ,Other - Recreation,32 North Bennet St,02113,28000,66.8,,,Other - Recreation,2000,106.1,3.8,1871750.1,0.152049617,0.847956602,,Not Available,,,,302342000,"2016, 2017, 2018, "
West Square,Compliant,Multifamily Housing,320 D St,02127,351089,28.9,99,,Multifamily Housing,2014,661.7,1.9,10130389.6,0.518253225,0.481768244,,20.46,,,,601509010,"2015, 2017, 2018, "
Boston Architectural College,Compliant,Office,320 Newbury Street,02115,49494,127.4,71,,Office,1965,432.7,8.7,6303475.4,0.419546144,0.155722153,0.424749084,18.53,,,,503062000,"2016, 2017, 2018, "
320 Summer Street,Compliant,Office,320 Summer Street,02210,122500,75.1,81,"2017, 2016, 2015",Office,2013,624.2,5.1,9194908,0.627178243,0.372847697,,9.59,,"
",,02689-000,"2014, 2015, 2016, 2017, 2018, "
South Hall,Compliant,College/University,321 Brookline Avenue,02215,26100,21.5,,,College/University,1903,43,1.6,560607,1.000041428,,,47.56,,,,402012000,"2015, 2016, 2018, "
Ashmont Hill LLC,Compliant,Senior Care Community,321 Centre Street,02122,46952,213.8,11,,Senior Care Community,1953,588.9,12.5,10037709.3,0.235667655,0.764342095,,76.39,,"Default values were used for # of units, # of workers on main shift, # of computers, # of washing machines, # of lift systems, # of refrigeration/freezer units, and percent that can be heated/cooled.",,1601072000,"2016, 2017, 2018, "
321 Summer Street,Compliant,Office,321 Summer Street,02210,91482,70.8,84,"2017, 2016","Office, Parking",1911,427.4,4.7,6479756.6,0.545432266,0.454590327,,5.8,,,,602764000,"2016, 2017, 2018, "
Alumnae Hall,Compliant,College/University,321R Brookline Avenue,02215,7600,190.9,,,College/University,1904,111.2,14.6,1450790.6,1.000041503,,,Not Available,,,,402012000,"2015, 2016, 2018, "
1 Milk,Compliant,Office,322 328 Washington St,02108,44464,28.5,100,,"Office, Retail Store",1899,72.4,1.6,1268748.7,0.167753291,0.832253602,,0.36,,"5/1/2018: property owners refer to this property as 1 Milk street, but in the Tax assessors data base, it is labeled as 322 328 Washington St. 02108",,304637010,"2016, 2017, 2018, "
32-38 Bromfield Street,Compliant,Office,32-38 Bromfield Street,02108,41818,79,84,,Office,1899,222.1,5.3,3302733.5,0.234534705,0.118344832,0.647130203,8.1,,This is a mixed-use building.  Retail space ground floor office space above.,,304761000,"2016, 2017, 2018, "
MEEI - 325 Cambridge St,Compliant,Office,325 Cambridge St,02114,39000,165.3,1,,Office,1920,494.3,12.7,6446449.8,1.00004137,,,34.83,,,,300438010,"2014, 2015, 2016, 2017, 2018, "
DEVER/MCCORMACK,Municipal ,K-12 School,325 Mt. Vernon St.,02125,113400,89.4,58,,K-12 School,1957,576.7,5.1,10143509.8,0.158720693,0.841285892,,Not Available,,,,1303410000,"2016, 2017, 2018, "
Street Light Yard,Municipal ,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",327 Forest Hills Street,02130,4320,8.1,,,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",2000,2.7,0.6,34899.8,1.000036983,,,Not Available,,,,1102702003,"2016, 2017, 2018, "
Olnick - 329 Washington Street,Compliant,Multifamily Housing,329-343 Washington Street,02135,36195,86.5,,,"Multifamily Housing, Retail Store",1899,178.9,4.9,3132134.1,0.170488223,0.829518872,,46.42,,,,2202396000,"2016, 2017, 2018, "
West Street,Compliant,Office,33 and 41 West Street,02111,42649,49.4,87,,Office,1899,153.6,3.6,2107692.6,0.629537404,,0.370488562,14.66,,,,304818000,"2017, 2018, "
33 Arch Street,Compliant,Office,33 Arch Street,02110,648403,61.1,88,"2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008","Office, Parking",2004,3037,4.7,39610011.8,1.000041388,,,10.58,,,,304643020,"2014, 2015, 2016, 2017, 2018, "
Merck MRL Boston,Compliant,Laboratory,33 Avenue Louis PAsteur,02115,405163,450.6,,,"Laboratory, Parking",2004,12805.1,31.6,182584445.3,0.366685772,0.002475567,0.630853838,41.61,,,,401847020,"2014, 2015, 2016, 2017, 2018, "
Parkman House,Municipal ,Other,33 Beacon St,02108,18000,51.8,,,Other,2000,56.9,3.2,932705.3,0.33413775,0.665875895,,Not Available,,,,501617000,"2016, 2017, 2018, "
The Blackstone Apartments,Compliant,Multifamily Housing,33 Blossom Street,02114,102966,73.8,73,2016,Multifamily Housing,1978,459,4.5,7594700.5,0.310660723,0.689352136,,40.43,,,,300670000,"2015, 2016, 2017, 2018, "
33 Broad Street,Compliant,Office,33 Broad Street,02109,40806,109.6,62,,"Food Service, Office, Self-Storage Facility",1902,258.4,6.3,4471971,0.198221535,0.801786646,,14.01,,,,303840000,"2016, 2017, 2018, "
Chestnut Street Condo,Compliant,Multifamily Housing,33 Chestnunt Street,02129,29447,27,85,,Multifamily Housing,1989,61.1,2.1,796326.7,1.000041485,,,22.04,,,,501588000,"2018, "
33 Gainsborough Street,Compliant,College/University,33 Gainsborough Street,02115,54000,125.9,,,College/University,1956,383.3,7.1,6799546.8,0.138088238,0.861917464,,26.33,,,,402282000,"2016, 2017, 2018, "
Ladies Garment Workers Center,Compliant,Other,33 Harrison Ave,02111,60600,Not Available,,,Other,1908,Not Available,Not Available,Not Available,,,,Not Available,,,,304959000,"2014, 2016, 2017, 2018, "
33 Harry Agganis Way,Compliant,Residence Hall/Dormitory,33 Harry Agganis,02215,399578,129.7,35,,Residence Hall/Dormitory,2008,3114.6,7.8,51816668.8,0.320468215,0.679545046,,31.03,,,,2100401000,"2014, 2015, 2016, 2017, 2018, "
Cumnock Hall,Compliant,Office,33 Harvard Way,02163,26137,69.8,83,,Office,1974,127.6,4.9,1823902.1,0.345833504,,0.654180891,4.14,,"Water is allocated by gross square footage for this property, and does not represent actual usage",,2200530000,"2014, 2015, 2016, 2017, 2018, "
Farrington/Highgate,Compliant,Multifamily Housing,33 Highgate Street,02134,37792,73.4,75,,Multifamily Housing,1912,156,4.1,2773549.1,0.132236447,0.867769052,,24.65,,,,21000669000,"2017, 2018, "
CharlesNewtown - Building A,Compliant,Multifamily Housing,33 Old Ironsides Way,02129,39460,145.4,5,,"Multifamily Housing, Parking",1971,333.2,8.4,5738179.4,0.210049641,0.789959046,,111.36,,,,202734000,"2015, 2016, 2017, 2018, "
Sarah Baker Manor: Sarah Baker Manor,Compliant,Multifamily Housing,33 Perrin Street,02119,34484,100.6,12,,Multifamily Housing,2000,259.6,7.5,3469372.4,0.254285943,,,51.52,,"sq footage from Boston tax assessor's database
total unit sq footage estimated",,1200353000,"2017, 2018, "
O'DONNELL,Municipal ,K-12 School,33 Trenton St.,02128,24648,43,99,,K-12 School,1932,63,2.6,1060026.5,0.266512501,0.733498659,,Not Available,,,,102615000,"2016, 2017, 2018, "
33/41 Farnsworth Street,Compliant,Office,33/41 Farnsworth Street,02210,94381,96,59,,Office,1980,608.1,6.4,9064983.1,0.5929088,0.407115755,,7.46,,,,602660010,"2014, 2017, 2018, "
330 Beacon Street,Compliant,Multifamily Housing,330 Beacon Street,02116,138000,53.8,81,,Multifamily Housing,1950,451.5,3.3,7419421.5,0.328782077,0.671231537,,20.77,,,,503289000,"2015, 2016, 2017, 2018, "
BIDMC East && West Campus,Compliant,Hospital (General Medical & Surgical),330 Brookline Ave.,02215,2497517,327.9,21,,"Hospital (General Medical & Surgical), Laboratory, Parking",1975,63974.7,25.6,818870497.7,0.264790628,0.0036859,0.452807086,26.61,,"East & West Campus building meter data is combined.// BIDMC is reporting on Parcel ID 0401944000 which BIDMC owns (not NEDH Corp as per Boston Assessing Dept records). The parcel contains several buildings and is part of the West Campus.// BIDMC’s energy use/SF and Energy Star score reflect our energy intensive patient care and substantial lab research uses that have fresh air needs that drive up Btu/sf. BIDMC buys energy products from a district combined heat and power plant; such cogen energy savings is not reflected in this energy reporting platform. While new medical equipment and higher intensity clinical uses tend to increase hospital energy needs incrementally, BIDMC invests hundreds of thousands of dollars annually on energy savings projects (excluding LDC incentives). Due to projects undertaken since 2004, BIDMC saves  95,020 million Btu and 2,200 KCF of water a year.  For more information see the Green Ribbon Commission at http://www.greenribboncommission.org/health-care.",,0401862000 0401861000 0401944000 0401954000 0401964001 0401942000,"2014, 2015, 2016, 2017, 2018, "
330 Congress Street,Compliant,Office,330 Congress Street,02210,36394,61.1,80,"2017, 2016, 2014","Convenience Store without Gas Station, Office",1895,163.5,4.5,2223188.2,0.866828395,0.133207418,,18.52,,,,602668000,"2015, 2016, 2017, 2018, "
Leon Victor J TS,Compliant,Enclosed Mall,330 Martin Luther King Blvd,02119,900000,10,,,"Enclosed Mall, Parking",1965,673.2,0.7,8964822.2,0.932870696,0.067167916,,1.61,,,,1201139000,"2014, 2017, 2018, "
Arlington Boylston,Compliant,Office,330-350 Boylston Street,02116,63054,83.8,76,,"Office, Other, Retail Store",1899,354.1,5.6,5285336.8,0.267929401,0.161585114,0.570496605,13.34,,,,501167000,"2014, 2015, 2016, 2017, 2018, "
Holmes Sports Center,Compliant,College/University,331 Brookline Avenue,02215,53100,56.9,,,College/University,1989,223.1,4.2,3020377.4,0.88149222,0.118544208,,18.23,,,,402012000,"2015, 2016, 2018, "
332 Congress Street,Compliant,Office,332 Congress Street,02210,36192,61.2,80,,Office,1980,169.7,4.7,2213612.9,1.000041462,,,17.07,,,,602667000,"2017, 2018, "
333 Longwood,Compliant,Mixed Use Property,333 Longwood Avenue,02115,99645,103.2,74,2011,"Financial Office, Office, Parking, Retail Store",1989,706.5,7.1,10279023.9,0.668837591,,,12.52,,,,01855-000,"2014, 2016, 2017, 2018, "
Symphony West: 333 Massachusetts Ave,Compliant,Multifamily Housing,333 Massachusetts Ave,02115,174779,71.5,54,,Multifamily Housing,1978,776.8,4.4,12490235.5,0.385300483,0.614715465,,34.06,,,,402277000,"2015, 2016, 2017, 2018, "
333 Summer,Compliant,Office,333 Summer Street,02210,117801,42,92,2017,Office,1907,377.9,3.2,4951345.6,0.985598298,0.014442473,,8.47,,,,602765015,"2017, 2018, "
333 Washington Condo Trust,Compliant,Other - Mall,333 Washington Street,02108,143954,40.8,,,Other - Mall,1930,418.6,2.9,5867731.3,0.773328988,0.226702992,,33.56,,,,304721000,"2017, 2018, "
Symphony East: 334 Massachusetts Ave,Compliant,Multifamily Housing,334 Massachusetts Ave,02115,154105,63.3,65,,Multifamily Housing,1978,616.1,4,9761826.4,0.424494047,0.575523534,,38.94,,,,402295000,"2015, 2016, 2017, 2018, "
E-13 Station,Municipal ,Police Station,3347 Washington St,02130,14750,129.9,,,Police Station,2000,119.3,8.1,1916651.4,0.386730762,0.613285247,,Not Available,,,,1102261000,"2016, 2017, 2018, "
Mass Pike Towers,Compliant,Multifamily Housing,336 Tremont St. ,02116,207734,99.9,54,,"Multifamily Housing, Parking",1973,1175.6,5.7,20745162.4,0.150810693,0.849195555,,75.46,,,,500270000,"2016, 2017, 2018, "
3368 Washington,Compliant,Other - Lodging/Residential,3368 Washington St,02130,37718,40.8,,,Other - Lodging/Residential,1988,92.5,2.5,1537829.4,0.299804762,0.700207677,,1.75,,,,1102897010,"2017, 2018, "
337 Huntington Avenue,Compliant,College/University,337 Huntington Avenue,02115,50023,76.3,,,College/University,1923,208.4,4.2,3818728.5,0.061732077,0.938270478,,35.73,,,,401679000,"2015, 2016, 2017, 2018, "
Boston Maintenance Supply,Compliant,Non-Refrigerated Warehouse,3380 Washington ST,02130,35000,21.7,73,,Non-Refrigerated Warehouse,1980,58.2,1.7,759665.2,1.000041354,,,0.85,,,,1102894003 1102896000                    ,"2016, 2017, 2018, "
Westside Crossing,Compliant,Multifamily Housing,339 D St,02127,41760,20.4,100,,Multifamily Housing,2014,56.3,1.3,852468.3,0.55062206,0.449400811,,2.82,,,,601520004,"2017, 2018, "
Vine Street Community Center,Municipal ,Other - Recreation,339 Dudley St,02119,25000,68.3,,,Other - Recreation,2000,102.5,4.1,1708534.1,0.291429225,0.708582887,,Not Available,,,,802700000,"2016, 2017, 2018, "
The Tudor Condominium Trust,Compliant,Multifamily Housing,34 1/2 Beacon Street,02108,45000,52.2,,,Multifamily Housing,1887,163.1,3.6,2349781,0.6921701,0.307858472,,20.2,,,,501604000,"2018, "
Chase Hall,Compliant,Residence Hall/Dormitory,34 Harvard Way,02163,50796,105.1,65,,"Office, Residence Hall/Dormitory",1926,364.3,7.2,5337524,0.181175244,,0.818832271,18.81,,"Until Jan 2017, water was allocated by gross square footage for this property, and did not represent actual usage. 2017 monthly readings are accurate.

 Steam usage is allocated as 81% of the meter shared with Greenhill House and Dillon House. Allocation is by GSF.",,2200530000,"2014, 2015, 2016, 2017, 2018, "
Engine 50,Municipal ,Fire Station,34 Winthrop St,02129,12000,46.3,,,Fire Station,2000,33.9,2.8,556110.9,0.329314606,0.670698937,,Not Available,,,,203321000,"2016, 2017, 2018, "
Feldberg Garage,Compliant,Parking,340 Brookline Ave,02115,159333,4.6,,,Parking,1975,92,0.6,736606.4,1.00004157,,,Not Available,,,,401862020,"2014, 2015, 2016, 2017, 2018, "
Union Wharf Condominiums,Compliant,Multifamily Housing,343 Commercial Street,02109,250000,14.5,,,"Multifamily Housing, Swimming Pool",1978,233.6,0.9,3612955.4,0.490441964,0.509578361,,13.06,,,,303038200,"2015, 2016, 2017, 2018, "
343 Congress,Compliant,Office,343 Congress Street,02210,111535,105.8,24,,"Office, Restaurant",1888,887.2,8,11796901.2,0.937878412,0.062160393,,14.97,,National grid gas says that gas accounts reside at 343 Congress and 345 Congress for restaurant gas for this proeprty... ,,602694000,"2015, 2017, 2018, "
KENNEDY PJ,Municipal ,K-12 School,343 Saratoga St.,02128,36190,42.2,99,,K-12 School,1926,89,2.5,1526522.4,0.220090747,0.779918493,,Not Available,,,,106987000,"2016, 2017, 2018, "
Tudor Wharf Hotel Tenant,Compliant,Hotel,34-44 Charles River Ave,02129,27720,Not Available,,,"Hotel, Parking, Swimming Pool",2002,Not Available,Not Available,Not Available,,,,Not Available,,,,203591000,"2017, 2018, "
Clougherty Pool,Municipal ,Fitness Center/Health Club/Gym,345 Bunker Hill St,02129,9936,18,,,"Fitness Center/Health Club/Gym, Swimming Pool",2000,13.7,1.4,179240.9,1.000041454,,,Not Available,,,,201503000,"2016, 2017, 2018, "
FP 3,Compliant,Multifamily Housing,346 Congress St,02210,93300,170.6,1,,Multifamily Housing,1996,1010.3,10.8,15918949.4,0.439414013,0.56060418,,13.61,,,,602655010,"2015, 2016, 2017, 2018, "
347 Congress Street,Compliant,Office,347 Congress Street,02210,91520,80.8,73,,Office,1883,549.1,6,7393049.6,0.898294558,0.101742641,,1511.48,,,,602695000,"2018, "
KILMER,Municipal ,K-12 School,35 Baker St.,02132,25068,44.6,98,,K-12 School,1935,65.9,2.6,1117446.8,0.250043566,0.749966785,,Not Available,,,,2009606000,"2016, 2017, 2018, "
DFCI - Jimmy Fund Building,Compliant,Other,35 Binney Street,02215,101514,628,,,Other,1952,4453.1,43.9,63752040.5,0.244228432,,0.457217097,67.06,,"Jimmy Fund Building

The Jimmy Fund Building contains a variety of space uses, including medical research laboratories, and clinic space.  DFCI has, and will continue to, reduced the buildings energy intensity through thoughtful investment in more efficient systems and practices when possible.",,401898000,"2014, 2015, 2016, 2017, 2018, "
St. Kevin's (Whole Building Tracking): 35 Bird Street (Whole Building Tracking),Compliant,Multifamily Housing,35 Bird Street,02125,13510,17.2,,,Multifamily Housing,2015,17.9,1.3,232940.7,1.000041304,,,49.01,,,,1301320010,"2017, 2018, "
WINTHROP,Municipal ,K-12 School,35 Brookford St.,02125,43456,58.3,95,,K-12 School,1911,143.9,3.3,2531586.5,0.158625806,0.841380769,,Not Available,,,,1300476000,"2016, 2017, 2018, "
35 Channel Center Condominium Trust,Compliant,Multifamily Housing,35 Channel Center,02210,60000,60.5,15,,Multifamily Housing,2004,247.2,4.1,3630788.9,0.635098315,0.364927942,,25.67,,,,602751300,"2016, 2017, 2018, "
3-5 Cummington Street (616-620 Comm. Ave.),Compliant,Laboratory,3-5 Cummington Street (616-620 Comm. Ave.),02215,149118,162.9,,,Laboratory,1913,1545.5,10.4,24289726.8,0.481705853,0.518314091,,14.08,,,,2100350000,"2014, 2015, 2016, 2017, 2018, "
Gateway Terrace Condominium,Compliant,Other - Lodging/Residential,"35 Fay Street, 40 Fay Street, 1166 Washington Street ",02118,134880,Not Available,,,Other - Lodging/Residential,2005,Not Available,Not Available,Not Available,,,,5.22,,"Condominium Building.  No Standalone parking garages.  Parking garage located under 35 Fay Street building. 

35 Fay Street & 1166 Washington Street have the same Parcel ID # (0306396010) 
40 Fay Street has it's own Parcel ID #  (0306390010 - 40 Fay St parcel #) 

",,306396010,"2015, 2017, 2018, "
DEARBORN,Municipal ,K-12 School,35 Geenville St.,02119,112128,Not Available,,,K-12 School,1913,Not Available,Not Available,Not Available,,,,Not Available,,,,1200039000,"2016, 2017, 2018, "
Hyde Park Branch,Municipal ,Library,35 Harvard Ave,02134,30000,31.6,,,Library,2000,72.6,2.4,947417.7,1.000041348,,,Not Available,,,,1808971000,"2016, 2017, 2018, "
Aldrich Hall,Compliant,College/University,35 Harvard Way,02163,105818,61.7,,,College/University,1953,466,4.4,6523722.3,0.489846073,,0.510174184,11.92,,"Until Jan 2017, water was allocated by gross square footage for this property, and did not represent actual usage. 2017 monthly readings are accurate.",,2200530000,"2014, 2015, 2016, 2017, 2018, "
CLAP,Municipal ,K-12 School,35 Harvest St.,02125,29448,48.2,99,,K-12 School,1896,80.3,2.7,1418129.5,0.148479571,0.851526606,,Not Available,,,,703154000,"2016, 2017, 2018, "
