OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,TaxParcelIdentificationNumber,Location,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),OtherFuelUse(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2),DefaultData,Comment,ComplianceStatus,Outlier,2010 Census Tracts,Seattle Police Department Micro Community Policing Plan Areas,City Council Districts,SPD Beats,Zip Codes
50,2015,SPS-District K-12,K-12 School,LAWTON ELEMENTARY SCHOOL (SPS-DISTRICT),369000400,"4017 26TH AVE W
SEATTLE, WA 98199
(47.65726207, -122.39065097)",7,MAGNOLIA / QUEEN ANNE,1990,1,2,"54,986",0,"54,986",K-12 School,K-12 School,"54,986",,,,,2016,91,30.1,33.5,80.3,91,"1,655,612","1,842,702",0,"375,707","1,281,965","3,737","373,700",0,28.78,0.42,No,,Compliant,,,33,,27,"18,235"
51,2015,SPS-District K-12,K-12 School,ECKSTEIN MIDDLE (SPS-DISTRICT),425049022,"3003 NE 75TH ST
SEATTLE, WA 98115
(47.68245037, -122.2939354)",4,NORTHEAST,1950,1,2,"175,565",0,"175,565",K-12 School,K-12 School,"182,861",,,,,,88,34.1,45.5,53.6,67.3,"6,227,419","8,317,888",0,"457,772","1,561,983","46,655","4,665,500",0,258.67,1.44,Yes,,Compliant,,,53,,48,"18,792"
52,2015,NonResidential,Small- and Mid-Sized Office,SALMON BAY CENTER 5305 & 5309,467000429,"5305 SHILSHOLE AVE NW
SEATTLE, WA 98107
(47.66580963, -122.3860321)",6,BALLARD,1961,1,2,"94,900",0,"94,900","Non-Refrigerated Warehouse, Office",Office,"55,586",Non-Refrigerated Warehouse,"39,314",,,,57,63.7,69.6,161.3,165.9,"6,043,853","6,605,535",0,"1,257,186","4,289,697","17,543","1,754,334",0,123.08,1.1,No,,Compliant,,,4,,1,"18,386"
53,2015,NonResidential,Small- and Mid-Sized Office,EL CENTRO DE LA RAZA,570000340,"2524 16TH AVE S
SEATTLE, WA 98144
(47.58002948, -122.31181286)",2,GREATER DUWAMISH,1900,1,2,"52,554",0,"52,554","Office, Other - Education",Office,"51,029",Other - Education,"7,849",,,,93,36.3,37.2,81.6,84.5,"2,137,686","2,192,109",0,"359,310","1,226,016","9,117","911,721",0,56.97,0.98,No,,Compliant,,,42,,41,"17,919"
54,2015,NonResidential,K-12 School,BLANCHET HIGH SCHOOL,625049002,"8200 WALLINGFORD AVE N
SEATTLE, WA 98103
(47.68894837, -122.33616192)",6,NORTHWEST,1954,1,3,"175,015",0,"175,015",K-12 School,K-12 School,"175,015",,,,,,95,40.5,49.1,74.6,85.8,"7,080,118","8,596,269",0,"789,588","2,694,187","43,860","4,386,042",0,251.72,1.37,No,,Compliant,,,53,,25,"18,377"
55,2015,NonResidential,"Self-Storage Facility
",MINI STG (OLD SKYWAY LUGGAGE CO),653000225,"11 VINE ST
SEATTLE, WA 98121
(47.61311034, -122.35096928)",7,DOWNTOWN,1911,1,3,"70,586",0,"70,586","Office, Self-Storage Facility, Vocational School",Self-Storage Facility,"38,439",Vocational School,"28,197",Office,"3,859",,,30.5,33.7,79.6,82,"2,147,062","2,377,595",0,"471,115","1,607,511","5,396","539,617",0,39.87,0.47,No,,Compliant,,,5,,9,"19,576"
56,2015,NonResidential,Hotel,HILTON SEATTLE,1975700040,"1301 6TH AVE
SEATTLE, WA 98101
(47.60950466, -122.3334029)",7,DOWNTOWN,1969,1,24,"332,210","205,970","126,240",Hotel,Hotel,"348,630",,,,,,68,44.9,44.9,121,121,"15,660,628","15,660,628",0,"3,607,318","12,308,680","33,525","3,352,459",0,263.85,0.63,No,,Compliant,,,14,,24,"18,081"
57,2015,NonResidential,Large Office,5th and Pine,1975700200,"1513 5TH AVE
SEATTLE, WA 98101
(47.61103976, -122.3363484)",7,DOWNTOWN,1973,1,5,"168,115",0,"168,115","Data Center, Office, Retail Store",Office,"103,501",Retail Store,"65,676",Data Center,354,2016,79,54.3,54.3,170.7,170.7,"9,213,841","9,213,841",0,"2,700,422","9,214,222",0,0,0,64.23,0.15,No,,Compliant,,,14,,24,"18,081"
58,2015,NonResidential,Retail Store,CENTURY SQUARE RETAIL,1975700365,"1525 4TH AVE
SEATTLE, WA 98101
(47.61076355, -122.337677)",7,DOWNTOWN,1920,1,2,"57,428",0,"57,428","Non-Refrigerated Warehouse, Other, Retail Store",Retail Store,"34,617",Non-Refrigerated Warehouse,"13,028",Other,"9,783",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,Compliant,,,14,,24,"18,081"
59,2015,NonResidential,Small- and Mid-Sized Office,GIBRALTAR TOWER,1975700380,"1518 3RD AVE
SEATTLE, WA 98101
(47.610466, -122.33795929)",7,DOWNTOWN,1910,1,8,"59,400",0,"59,400","Office, Retail Store",Office,"34,947",Retail Store,"4,993",,,,,98,109.4,307.9,343.5,"3,915,947","4,369,220",0,"1,147,698","3,916,108",0,0,0,27.3,0.18,No,,Compliant,,,14,,24,"18,081"
60,2015,NonResidential,Mixed Use Property,MANN BUILDING/WILD GINGER/TRIPLE DOOR,1975700525,"1401 3RD AVE
SEATTLE, WA 98101
(47.60883331, -122.3374176)",7,DOWNTOWN,1926,1,2,"52,549",0,"52,549","Office, Other - Entertainment/Public Assembly, Restaurant",Other - Entertainment/Public Assembly,"23,500",Restaurant,"23,500",Office,"5,459",,,297.1,316.4,522.8,537.1,"15,583,947","16,598,244",0,"1,551,526","5,294,026","102,901","10,290,141",0,583.41,10.67,No,,Compliant,,,14,,24,"18,081"
61,2015,Multifamily LR (1-4),Low-Rise Multifamily,GATEWOOD APTS,1975700600,"107 PINE ST
SEATTLE, WA 98101
(47.60973588, -122.3403842)",7,DOWNTOWN,1900,1,4,"48,383",0,"48,383","Multifamily Housing, Retail Store",Multifamily Housing,"38,172",Retail Store,"10,211",,,,75,61,69.9,129.6,139.4,"2,953,338","3,379,678","915,977","424,619","1,448,859","5,886","588,563",0,112.06,2.19,No,,Compliant,,,14,,30,"18,081"
62,2015,NonResidential,Hotel,ROOSEVELT HOTEL,1976700010,"1531 7TH AVE
SEATTLE, WA 98101
(47.61229324, -122.33441925)",7,DOWNTOWN,1930,1,20,"98,634","10,043","88,591","Hotel, Parking, Restaurant",Hotel,"83,591",Parking,"10,043",Restaurant,"5,000",,46,69.7,73.8,201.1,213.8,"6,175,812","6,534,220",0,"1,589,324","5,422,999","7,530","753,040",0,77.8,0.55,No,,Compliant,,,14,,24,"18,081"
63,2015,NonResidential,Hotel,SHERATON HOTEL,1976700095,"1400 6TH AVE
SEATTLE, WA 98101
(47.61101988, -122.3335344)",7,DOWNTOWN,1982,1,34,"994,212","146,694","847,518","Hotel, Parking, Swimming Pool",Hotel,"994,212",Parking,"117,668",Swimming Pool,0,,60,85.9,89.3,187.3,191.6,"85,357,952","88,771,488","16,229,832","13,200,400","45,041,634","240,884","24,088,353",0,"2,846.07",2.67,No,,Compliant,,,14,,24,"18,081"
65,2015,NonResidential,Hotel,INN AT THE MARKET,1977200050,"86 PINE ST
SEATTLE, WA 98101
(47.60989093, -122.3414255)",7,DOWNTOWN,1985,1,7,"71,150",0,"71,150","Hotel, Parking, Restaurant, Retail Store",Hotel,"41,340",Parking,"13,730",Retail Store,"9,604",,99,87.8,87.8,203.3,203.3,"5,040,382","5,040,382",0,"894,784","3,053,131","19,874","1,987,378",0,126.83,1.6,Yes,,Compliant,,,14,,30,"18,081"
66,2015,NonResidential,Hotel,MOORE HOTEL & THEATRE,1977201035,"1926 2ND AVE
SEATTLE, WA 98101
(47.61155254, -122.3408486)",7,DOWNTOWN,1908,1,7,"122,810",0,"122,810","Hotel, Other - Entertainment/Public Assembly, Retail Store",Hotel,"88,360",Other - Entertainment/Public Assembly,"26,450",Retail Store,"8,000",,99,41.4,50.8,65.7,75.6,"5,086,863","6,240,104",0,"382,671","1,305,729","37,812","3,781,188",0,209.92,1.66,No,,Compliant,,,5,,30,"18,081"
67,2015,NonResidential,Hotel,QUALITY INN & SUITES - SEATTLE,1991200730,"618 JOHN ST
SEATTLE, WA 98109
(47.62037281, -122.3441465)",7,LAKE UNION,1959,1,5,"113,173","42,546","70,627",,,,,,,,,86,70.6,73.1,166.6,174.3,"4,988,241","5,160,438",0,"915,988","3,125,480","18,629","1,862,890",0,120.73,0.95,No,,Compliant,,,56,,40,"18,390"
68,2015,NonResidential,Hotel,HOLIDAY INN - SEATTLE,1991200935,"211 DEXTER AVE N
SEATTLE, WA 98109
(47.6203118, -122.3428044)",7,LAKE UNION,2000,1,7,"150,453","34,735","115,718","Hotel, Restaurant",Hotel,"107,547",Restaurant,"3,000",,,2014,83,60.8,62.6,131.7,133.4,"6,722,886","6,921,805",0,"1,051,118","3,586,563","31,365","3,136,472",0,191.58,1.17,No,,Compliant,,,56,,7,"18,390"
69,2015,NonResidential,Hotel,HOLIDAY INN EXPRESS - DOWNTOWN SEATTLE,1991200940,"226 AURORA AVE N
SEATTLE, WA 98109
(47.62021696, -122.3432115)",7,LAKE UNION,1997,1,6,"116,300","28,200","88,100","Hotel, Parking",Hotel,"88,490",Parking,"28,300",,,,84,68,69.7,147.8,150.3,"6,014,078","6,169,676",0,"948,984","3,238,067","27,761","2,776,145",0,170.01,1.34,No,,Compliant,,,56,,7,"18,390"
70,2015,NonResidential,Hotel,HOMEWOOD SUITES HOTEL - SEATTLE,1992200235,"206 WESTERN AVE W
SEATTLE, WA 98119
(47.62050588, -122.3596901)",7,MAGNOLIA / QUEEN ANNE,1998,1,6,"155,602","36,744","118,858",Hotel,Hotel,"155,602",,,,,,81,44.4,44.1,108,106.8,"6,915,293","6,855,303",0,"1,338,290","4,566,435","23,490","2,349,046",0,156.59,0.88,No,,Compliant,,,50,,40,"19,575"
