RID,BuildingID,DataYear,BuildingType,City,State,ZipCode,YearBuilt,PropertyGFATotal,LargestPropertyUseType,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu)
13,19,2015,NonResidential,Seattle,WA,98101,1922,"67,390",,166.1,175.7,317.4,326.0,10711451.0,11329230.0,4403788.0,4089407.0,2218425.0
14,21,2015,Specialty,Seattle,WA,98154,2004,"412,000",,46.0,45.3,140.8,137.6,16849234.0,16594622.0,703184.0,16146718.0,0.0
15,22,2015,NonResidential,Seattle,WA,98104,1930,"103,911",,79.5,83.4,173.7,178.4,10340282.0,10843936.0,4398022.0,5288219.0,654260.0
16,23,2015,NonResidential,Seattle,WA,98104,1983,"416,281",,95.5,97.4,231.9,234.7,33270518.0,33922016.0,0.0,21932264.0,11339166.0
17,24,2015,NonResidential,Seattle,WA,98104,1907,"57,452",,130.2,140.2,278.7,290.2,7481768.0,8052425.0,1755365.0,3773975.0,1952583.0
18,25,2015,NonResidential,Seattle,WA,98104,1916,"104,352",,75.2,74.9,119.5,118.6,7845112.0,7816594.0,3205497.0,1790665.0,2849024.0
19,26,2015,NonResidential,Seattle,WA,98104,1916,"540,360",,99.3,103.1,208.5,210.4,53332648.0,55378956.0,0.0,26798906.0,26534856.0
20,27,2015,NonResidential,Seattle,WA,98104,1985,"385,274",,132.1,136.1,245.5,243.9,50899248.0,52435544.0,0.0,19677268.0,31222797.0
21,28,2015,Specialty,Seattle,WA,98118,1961,"56,228",,25.1,29.6,59.2,63.9,1454222.0,1716043.0,0.0,911659.0,542600.0
22,29,2015,NonResidential,Seattle,WA,98105,2001,"88,592",,66.9,66.3,151.5,149.7,3880806.0,3848493.0,0.0,2254751.0,1626149.0
23,30,2015,NonResidential,Seattle,WA,98121,1928,"126,593",,78.3,90.9,158.9,172.1,9791557.0,11360926.0,0.0,4582663.0,5209084.0
24,31,2015,NonResidential,Seattle,WA,98101,1930,"67,224",,20.7,20.7,64.9,64.9,1388717.0,1388717.0,0.0,1388775.0,0.0
25,32,2015,NonResidential,Seattle,WA,98101,1991,"158,676",,44.0,46.3,55.7,58.1,5159342.0,5421759.0,0.0,532747.0,4626617.0
26,33,2015,NonResidential,Seattle,WA,98101,2001,"171,866",,85.5,86.7,183.3,180.9,11026945.0,11178456.0,0.0,5763595.0,5263590.0
27,34,2015,Specialty,Seattle,WA,98112,1955,"126,351",,49.7,64.4,84.2,102.4,6283226.0,8131874.0,0.0,1933106.0,4350200.0
28,35,2015,NonResidential,Seattle,WA,98121,1978,"68,410",,90.5,90.5,194.1,194.1,4341706.0,4341706.0,0.0,2276244.0,2065556.0
29,36,2015,Specialty,Seattle,WA,98125,1949,"160,645",,38.9,50.9,62.6,77.2,6387710.0,8362498.0,0.0,1709681.0,4678100.0
30,37,2015,Specialty,Seattle,WA,98109,1989,"51,582",,26.7,30.5,83.8,95.8,1472548.0,1682521.0,0.0,1472609.0,0.0
31,38,2015,NonResidential,Seattle,WA,98070,1906,"87,262",,59.2,66.3,104.1,112.3,3988729.0,4470231.0,0.0,1353524.0,2635261.0
32,40,2015,NonResidential,Seattle,WA,98105,1994,"81,871",,90.6,93.8,178.5,181.8,7419765.0,7677473.0,0.0,3266270.0,4153630.0
33,41,2015,NonResidential,Seattle,WA,98105,1955,"126,394",,11.7,12.2,34.0,34.5,306721.0,319916.0,0.0,272732.0,34000.0
34,46,2015,NonResidential,Seattle,WA,98118,1961,"714,095",,66.9,64.7,210.0,203.3,47843892.0,46313516.0,0.0,47845869.0,0.0
35,50,2015,Specialty,Seattle,WA,98199,1990,"54,986",,30.1,33.5,80.3,91.0,1655612.0,1842702.0,0.0,1281965.0,373700.0
36,51,2015,Specialty,Seattle,WA,98115,1950,"175,565",,34.1,45.5,53.6,67.3,6227419.0,8317888.0,0.0,1561983.0,4665500.0
37,52,2015,NonResidential,Seattle,WA,98107,1961,"94,900",,63.7,69.6,161.3,165.9,6043853.0,6605535.0,0.0,4289697.0,1754334.0
38,53,2015,NonResidential,Seattle,WA,98144,1900,"52,554",,36.3,37.2,81.6,84.5,2137686.0,2192109.0,0.0,1226016.0,911721.0
39,54,2015,NonResidential,Seattle,WA,98103,1954,"175,015",,40.5,49.1,74.6,85.8,7080118.0,8596269.0,0.0,2694187.0,4386042.0
40,55,2015,NonResidential,Seattle,WA,98121,1911,"70,586",,30.5,33.7,79.6,82.0,2147062.0,2377595.0,0.0,1607511.0,539617.0
41,56,2015,NonResidential,Seattle,WA,98101,1969,"332,210",,44.9,44.9,121.0,121.0,15660628.0,15660628.0,0.0,12308680.0,3352459.0
42,57,2015,NonResidential,Seattle,WA,98101,1973,"168,115",,54.3,54.3,170.7,170.7,9213841.0,9213841.0,0.0,9214222.0,0.0
43,58,2015,NonResidential,Seattle,WA,98101,1920,"57,428",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,59,2015,NonResidential,Seattle,WA,98101,1910,"59,400",,98.0,109.4,307.9,343.5,3915947.0,4369220.0,0.0,3916108.0,0.0
45,60,2015,NonResidential,Seattle,WA,98101,1926,"52,549",,297.1,316.4,522.8,537.1,15583947.0,16598244.0,0.0,5294026.0,10290141.0
46,62,2015,NonResidential,Seattle,WA,98101,1930,"98,634",,69.7,73.8,201.1,213.8,6175812.0,6534220.0,0.0,5422999.0,753040.0
47,63,2015,NonResidential,Seattle,WA,98101,1982,"994,212",,85.9,89.3,187.3,191.6,85357952.0,88771488.0,16229832.0,45041634.0,24088353.0
48,65,2015,NonResidential,Seattle,WA,98101,1985,"71,150",,87.8,87.8,203.3,203.3,5040382.0,5040382.0,0.0,3053131.0,1987378.0
49,66,2015,NonResidential,Seattle,WA,98101,1908,"122,810",,41.4,50.8,65.7,75.6,5086863.0,6240104.0,0.0,1305729.0,3781188.0
50,67,2015,NonResidential,Seattle,WA,98109,1959,"113,173",,70.6,73.1,166.6,174.3,4988241.0,5160438.0,0.0,3125480.0,1862890.0
51,68,2015,NonResidential,Seattle,WA,98109,2000,"150,453",,60.8,62.6,131.7,133.4,6722886.0,6921805.0,0.0,3586563.0,3136472.0
52,69,2015,NonResidential,Seattle,WA,98109,1997,"116,300",,68.0,69.7,147.8,150.3,6014078.0,6169676.0,0.0,3238067.0,2776145.0
53,70,2015,NonResidential,Seattle,WA,98119,1998,"155,602",,44.4,44.1,108.0,106.8,6915293.0,6855303.0,0.0,4566435.0,2349046.0
54,73,2015,NonResidential,Seattle,WA,98136,1911,"56,072",,55.4,72.3,78.7,98.6,3106930.0,4055974.0,0.0,550355.0,2556597.0
55,77,2015,NonResidential,Seattle,WA,98109,1999,"122,942",,67.6,68.0,135.3,136.5,5276777.0,5306165.0,0.0,2400660.0,2876216.0
56,82,2015,NonResidential,Seattle,WA,98122,1962,"54,984",,63.7,71.3,149.8,157.8,3504957.0,3921971.0,0.0,2181293.0,1323754.0
57,84,2015,NonResidential,Seattle,WA,98126,1922,"217,603",,153.5,170.9,246.4,264.6,45494324.0,50629892.0,0.0,12080722.0,33414103.0
58,85,2015,NonResidential,Seattle,WA,98133,1970,"93,397",,175.3,180.8,313.8,320.7,16371764.0,16886622.0,0.0,5797976.0,10574028.0
59,86,2015,NonResidential,Seattle,WA,98109,2008,"84,103",,62.8,63.8,164.1,164.0,3979132.0,4045411.0,0.0,2975816.0,1003439.0
60,89,2015,NonResidential,Seattle,WA,98122,1965,"179,014",,105.4,110.9,221.6,224.0,18868768.0,19858448.0,0.0,9501003.0,9368159.0
61,95,2015,NonResidential,Seattle,WA,98104,1908,"76,631",,94.4,93.9,175.0,173.4,7231928.0,7192445.0,0.0,2784090.0,4447953.0
62,96,2015,NonResidential,Seattle,WA,98104,1983,"187,600",,201.5,203.8,509.3,502.9,15240688.0,15416397.0,4816083.0,10425038.0,0.0
63,98,2015,NonResidential,Seattle,WA,98109,1929,"58,320",,14.9,19.2,26.6,31.5,1074180.0,1383366.0,0.0,376328.0,697867.0
64,100,2015,NonResidential,Seattle,WA,98109,2010,"316,306",,46.3,46.7,139.3,139.8,13300859.0,13429220.0,0.0,12471183.0,830194.0
65,102,2015,NonResidential,Seattle,WA,98109,1990,"282,863",,79.9,85.3,178.1,186.6,18829136.0,20123722.0,0.0,10638785.0,8190794.0
66,103,2015,Specialty,Seattle,WA,98109,1962,"129,000",,79.7,78.7,167.7,167.7,29337400.0,28974828.0,8560000.0,14312992.0,0.0
67,104,2015,Specialty,Seattle,WA,98109,1962,"91,213",,78.0,85.9,201.2,216.1,5069854.0,5580583.0,1270000.0,3622005.0,0.0
68,106,2015,Specialty,Seattle,WA,98109,1938,"396,085",,97.6,96.5,166.8,167.7,27185096.0,26880068.0,10951000.0,7964427.0,0.0
69,107,2015,NonResidential,Seattle,WA,98109,2010,"571,329",,66.8,66.7,184.6,184.3,41734776.0,41683652.0,0.0,34236747.0,7499452.0
70,110,2015,Specialty,Seattle,WA,98109,1962,"49,680",,50.6,49.4,102.4,101.3,2632472.0,2568666.0,1145000.0,1149520.0,0.0
72,112,2015,Specialty,Seattle,WA,98109,1928,"262,048",,70.4,70.4,174.1,179.7,20828130.0,20845160.0,3900000.0,13983710.0,0.0
73,113,2015,NonResidential,Seattle,WA,98109,1986,"66,240",,77.8,77.8,244.4,244.4,4329966.0,4329966.0,0.0,4330148.0,0.0
74,114,2015,NonResidential,Seattle,WA,98109,2010,"920,598",,49.9,52.8,133.3,133.0,36681188.0,38835684.0,0.0,28483019.0,8199352.0
75,115,2015,NonResidential,Seattle,WA,98033,1970,"76,213",,64.8,66.8,183.3,189.4,3303553.0,3402840.0,0.0,2809470.0,494199.0
76,116,2015,NonResidential,Seattle,WA,98109,2002,"117,738",,84.4,87.5,186.9,196.8,5061274.0,5249742.0,0.0,2820414.0,2240976.0
77,117,2015,NonResidential,Seattle,WA,98105,1962,"50,017",,111.4,114.3,207.1,210.0,5570472.0,5717357.0,0.0,2156751.0,3413811.0
78,118,2015,Specialty,Seattle,WA,98106,1999,"74,468",,24.9,26.9,70.9,76.9,1857329.0,2001478.0,0.0,1591795.0,265600.0
79,119,2015,NonResidential,Seattle,WA,98112,1923,"67,743",,34.0,35.2,74.7,78.6,2303288.0,2385958.0,0.0,1265357.0,1037984.0
80,120,2015,NonResidential,Seattle,WA,98112,1908,"194,104",,30.3,38.8,51.2,61.5,5889882.0,7540875.0,0.0,1795343.0,4094613.0
81,121,2015,NonResidential,Seattle,WA,98144,2003,"99,433",,69.7,72.9,218.9,228.8,4439034.0,4640342.0,0.0,4439217.0,0.0
82,122,2015,Specialty,Seattle,WA,98144,1991,"58,933",,35.4,40.7,111.2,127.9,2150120.0,2473493.0,0.0,2150209.0,0.0
83,125,2015,Specialty,Seattle,WA,98108,1957,"130,862",,44.7,57.4,81.3,97.8,5851209.0,7508759.0,0.0,2151598.0,3699700.0
84,127,2015,Specialty,Seattle,WA,98118,1989,"59,955",,25.4,28.6,76.3,84.9,1521329.0,1711759.0,0.0,1424088.0,97300.0
85,130,2015,Specialty,Seattle,WA,98119,1964,"93,218",,33.0,39.9,66.6,73.9,3072599.0,3718511.0,0.0,1426258.0,1646400.0
86,131,2015,NonResidential,Seattle,WA,98115,1941,"56,521",,131.5,129.8,412.9,407.6,6443260.0,6361099.0,0.0,6443526.0,0.0
87,132,2015,NonResidential,Seattle,WA,98115,1929,"206,934",,37.4,38.8,76.5,76.7,4461969.0,4625346.0,0.0,2118354.0,2343703.0
88,136,2015,NonResidential,Seattle,WA,98133,2001,"51,390",,75.2,75.2,137.5,137.5,3864699.0,3864699.0,0.0,1438855.0,2425903.0
89,137,2015,Specialty,Seattle,WA,98133,1963,"131,013",,29.9,33.1,59.4,62.8,3939221.0,4362064.0,0.0,1770594.0,2168700.0
90,138,2015,Specialty,Seattle,WA,98133,1959,"245,587",,42.5,49.3,77.4,85.7,10444297.0,12104908.0,0.0,3849657.0,6594800.0
91,139,2015,NonResidential,Seattle,WA,98133,2002,"69,138",,46.7,47.1,104.7,106.0,3298570.0,3326526.0,0.0,1880991.0,1417657.0
92,140,2015,Specialty,Seattle,WA,98103,1991,"66,588",,30.5,33.9,95.9,106.3,2033074.0,2255184.0,0.0,2033159.0,0.0
93,144,2015,NonResidential,Seattle,WA,98104,1904,"190,980",,36.3,36.3,89.9,89.9,6935723.0,6935723.0,0.0,4727785.0,2208135.0
94,145,2015,Specialty,Seattle,WA,98111,1998,"284,100",,74.7,74.9,197.8,190.3,14169301.0,14212631.0,3123280.0,10609812.0,436649.0
95,147,2015,NonResidential,Seattle,WA,98107,1954,"285,333",,209.4,221.3,442.9,450.1,63362516.0,66980332.0,0.0,32311985.0,31051872.0
96,148,2015,Specialty,Seattle,WA,98107,1991,"55,513",,28.1,32.0,88.4,100.4,1612965.0,1832205.0,0.0,1613032.0,0.0
97,163,2015,Specialty,Seattle,WA,98104,2006,"61,156",,145.0,153.3,361.9,363.1,10434387.0,11034854.0,0.0,7222692.0,3211996.0
98,167,2015,NonResidential,Seattle,WA,98104,1910,"72,820",,35.8,38.0,90.2,92.5,2076630.0,2206050.0,0.0,1458801.0,617890.0
99,168,2015,NonResidential,Seattle,WA,98109,1996,"162,222",,68.2,68.2,152.8,152.8,7753080.0,7753080.0,0.0,4415922.0,3337341.0
100,169,2015,Specialty,Seattle,WA,98144,1990,"289,588",,30.2,36.0,75.9,85.2,8747819.0,10429328.0,0.0,6126773.0,2621300.0
101,170,2015,NonResidential,Seattle,WA,98122,1915,"63,330",,42.5,48.8,104.7,111.4,2755578.0,3165935.0,0.0,1863973.0,891682.0
102,172,2015,Specialty,Seattle,WA,98106,1970,"441,071",,77.5,86.6,189.1,201.9,37430780.0,41809228.0,0.0,24886028.0,12545788.0
103,173,2015,NonResidential,Seattle,WA,98115,2002,"96,300",,167.0,166.5,472.7,462.9,16238985.0,16187105.0,0.0,13835528.0,2404032.0
104,174,2015,Specialty,Seattle,WA,98134,1950,"67,356",,96.2,112.6,192.5,209.6,6577130.0,7693941.0,0.0,2990732.0,3586522.0
105,175,2015,Specialty,Seattle,WA,98122,2008,"254,523",,53.5,63.1,119.5,129.7,13609040.0,16067596.0,0.0,7719861.0,5889500.0
106,176,2015,Specialty,Seattle,WA,98118,2001,"78,804",,31.1,35.1,76.6,80.8,2447651.0,2763750.0,0.0,1659120.0,788600.0
107,177,2015,Specialty,Seattle,WA,98122,2002,"66,994",,33.8,36.7,90.4,99.2,2266570.0,2455369.0,0.0,1757543.0,509100.0
108,178,2015,Specialty,Seattle,WA,98118,2000,"98,357",,33.2,38.7,76.7,82.5,3265995.0,3804876.0,0.0,1970276.0,1295800.0
109,179,2015,NonResidential,Seattle,WA,98118,1958,"54,765",,85.0,92.6,240.7,252.4,4316654.0,4702108.0,0.0,3676968.0,639837.0
110,180,2015,NonResidential,Seattle,WA,98118,2009,"89,821",,22.7,26.3,25.3,29.3,2017694.0,2337736.0,0.0,64880.0,1952816.0
111,182,2015,NonResidential,Seattle,WA,98119,1980,"52,611",,83.6,93.7,198.3,208.9,4399828.0,4930107.0,0.0,2782111.0,1617832.0
112,183,2015,NonResidential,Seattle,WA,98119,2001,"139,600",,32.6,37.7,71.5,79.5,4418055.0,5103262.0,0.0,2419334.0,1998821.0
113,185,2015,Specialty,Seattle,WA,98125,2011,"236,758",,34.0,41.1,78.7,89.1,8050977.0,9730278.0,0.0,4868567.0,3182614.0
114,187,2015,NonResidential,Seattle,WA,98122,1971,"250,981",,64.4,65.0,161.9,162.5,13901935.0,14035072.0,3994742.0,9449227.0,458359.0
115,189,2015,Specialty,Seattle,WA,98117,2002,"62,526",,29.5,35.7,66.2,75.3,1841968.0,2234095.0,0.0,1056512.0,785500.0
116,190,2015,NonResidential,Seattle,WA,98108,2007,"64,015",,62.0,66.7,169.6,174.6,3349666.0,3603241.0,0.0,2701378.0,648399.0
117,194,2015,NonResidential,Seattle,WA,98125,1951,"530,039",,54.8,57.5,124.1,124.9,29067292.0,30468608.0,0.0,16867311.0,12200681.0
118,195,2015,NonResidential,Seattle,WA,98125,1964,"54,224",,161.9,176.4,319.7,334.9,7613116.0,8292959.0,0.0,3366679.0,4246577.0
119,197,2015,NonResidential,Seattle,WA,98125,1965,"124,342",,72.4,69.3,226.1,216.2,8835104.0,8450011.0,0.0,8758616.0,76850.0
120,198,2015,NonResidential,Seattle,WA,98105,1953,"879,000",,285.8,290.9,572.9,561.7,251191824.0,255669168.0,0.0,114748139.0,136448438.0
121,200,2015,NonResidential,Seattle,WA,98133,1996,"55,442",,82.9,86.6,188.8,192.7,3091559.0,3229387.0,0.0,1814177.0,1277457.0
122,205,2015,Specialty,Seattle,WA,98117,1999,"242,795",,36.0,40.0,102.0,111.4,8728584.0,9715644.0,0.0,7466694.0,1262200.0
123,209,2015,NonResidential,Seattle,WA,98122,1910,"84,870",,13.3,17.2,24.6,28.7,1136698.0,1471683.0,0.0,433875.0,702841.0
124,211,2015,Specialty,Seattle,WA,98103,1970,"694,072",,55.6,59.2,162.3,169.8,37117212.0,39513408.0,0.0,33183593.0,3934997.0
125,212,2015,Specialty,Seattle,WA,98118,1952,"173,185",,39.6,51.0,63.1,75.0,6863464.0,8829066.0,0.0,1781138.0,5082400.0
126,214,2015,Specialty,Seattle,WA,98106,1963,"145,341",,35.9,44.3,66.5,75.3,4998015.0,6165405.0,0.0,1914941.0,3083154.0
127,215,2015,NonResidential,Seattle,WA,98108,1904,"114,297",,15.2,18.0,31.6,35.1,1738724.0,2060926.0,0.0,854011.0,884748.0
128,216,2015,Specialty,Seattle,WA,98118,1960,"184,125",,43.7,55.9,78.5,91.4,8037287.0,10298198.0,0.0,2877207.0,5160200.0
129,217,2015,Specialty,Seattle,WA,98117,1959,"160,270",,35.4,45.9,62.4,77.6,5674450.0,7361706.0,0.0,1936530.0,3738000.0
130,220,2015,NonResidential,Seattle,WA,98134,1937,"234,144",,31.5,40.4,46.8,56.1,7370743.0,9449743.0,0.0,1541206.0,5829600.0
131,223,2015,NonResidential,Seattle,WA,98126,1966,"64,984",,41.6,42.6,121.1,120.2,2721646.0,2785857.0,0.0,2423136.0,298611.0
132,224,2015,NonResidential,Seattle,WA,98126,1965,"67,745",,141.1,152.2,241.1,250.6,9560965.0,10315565.0,0.0,3016102.0,6544988.0
133,225,2015,Specialty,Seattle,WA,98126,2010,"367,884",,33.3,39.0,81.8,90.3,12263687.0,14356216.0,0.0,8236429.0,4027600.0
134,226,2015,Specialty,Seattle,WA,98126,1958,"46,797",,40.8,52.5,81.0,99.0,1911611.0,2458535.0,0.0,852346.0,1059300.0
135,227,2015,Specialty,Seattle,WA,98144,1963,"136,188",,39.9,50.9,78.6,93.8,5436057.0,6929738.0,0.0,2388755.0,3047400.0
136,228,2015,NonResidential,Seattle,WA,98117,1973,"56,000",,31.3,38.0,65.0,72.0,1755264.0,2129536.0,0.0,858626.0,896674.0
137,229,2015,Specialty,Seattle,WA,98118,2004,"67,371",,30.8,34.2,77.7,81.3,2075833.0,2304835.0,0.0,1461994.0,613900.0
138,230,2015,NonResidential,Seattle,WA,98126,1969,"52,088",,22.8,27.7,44.4,50.9,1186800.0,1445190.0,0.0,509226.0,677596.0
139,231,2015,Specialty,Seattle,WA,98103,2010,"127,776",,33.0,34.3,93.8,97.8,4213726.0,4378534.0,0.0,3615976.0,597900.0
140,232,2015,NonResidential,Seattle,WA,98109,1998,"123,920",,72.3,75.6,144.2,148.1,8964061.0,9362176.0,0.0,4045691.0,4918538.0
141,233,2015,Specialty,Seattle,WA,98109,1900,"58,000",,170.7,192.4,356.3,378.0,7338511.0,8273346.0,0.0,3644232.0,3694428.0
142,234,2015,Specialty,Seattle,WA,98109,1926,"50,292",,13.3,13.3,41.6,41.6,715446.0,715446.0,0.0,715475.0,0.0
143,235,2015,NonResidential,Seattle,WA,98109,1998,"207,656",,75.8,81.0,161.5,169.5,10735331.0,11474804.0,0.0,5546361.0,5189200.0
144,237,2015,Specialty,Seattle,WA,98117,1999,"67,235",,35.2,38.7,91.8,95.5,2364351.0,2599890.0,0.0,1766824.0,597600.0
145,238,2015,Specialty,Seattle,WA,98103,1957,"85,017",,97.0,106.3,255.1,269.5,9146727.0,10026737.0,0.0,6915309.0,2231705.0
146,239,2015,Specialty,Seattle,WA,98136,1991,"58,118",,23.1,24.5,66.1,70.4,1362993.0,1444495.0,0.0,1181942.0,181100.0
147,241,2015,NonResidential,Seattle,WA,98133,1968,"64,893",,93.3,93.6,178.5,179.4,6056481.0,6075196.0,0.0,2500329.0,3556255.0
148,242,2015,Specialty,Seattle,WA,98115,1989,"52,792",,22.1,26.0,69.5,81.6,1227290.0,1440992.0,0.0,1227341.0,0.0
149,243,2015,Specialty,Seattle,WA,98108,1925,"70,762",,41.4,41.4,54.3,54.3,2933003.0,2933003.0,0.0,364295.0,2568723.0
150,244,2015,NonResidential,Seattle,WA,98104,1900,"56,456",,34.3,35.9,91.5,96.5,1527917.0,1599245.0,0.0,1183443.0,344523.0
151,245,2015,NonResidential,Seattle,WA,98134,1999,"1,585,960",,37.8,37.8,106.9,106.9,59991984.0,59991984.0,0.0,50980399.0,9013708.0
152,247,2015,Specialty,Seattle,WA,98134,1924,"179,161",,55.2,61.9,165.9,184.3,9974370.0,11178092.0,0.0,9337240.0,637519.0
153,248,2015,Specialty,Seattle,WA,98134,1965,"50,000",,58.5,69.0,183.8,216.8,4116805.0,4855148.0,0.0,4116974.0,0.0
154,249,2015,NonResidential,Seattle,WA,98134,1999,"1,172,127",,49.1,46.6,121.8,114.0,57514116.0,54628004.0,0.0,39396997.0,18118769.0
155,250,2015,NonResidential,Seattle,WA,98134,2005,"168,449",,90.9,93.5,188.0,188.1,13116256.0,13484454.0,0.0,6384861.0,6731660.0
156,257,2015,NonResidential,Seattle,WA,98134,1916,"79,600",,22.4,22.4,70.5,70.5,1786986.0,1786986.0,0.0,1787060.0,0.0
157,260,2015,Specialty,Seattle,WA,98103,1997,"241,066",,32.6,42.1,63.3,75.3,7870351.0,10142007.0,0.0,3348000.0,4522491.0
158,261,2015,Specialty,Seattle,WA,98108,1980,"334,368",,154.5,157.5,439.3,442.5,52273792.0,53294752.0,0.0,44866796.0,7408855.0
159,263,2015,NonResidential,Seattle,WA,98125,2008,"419,848",,111.8,111.9,298.9,291.2,9477865.0,9478424.0,0.0,7356021.0,2122149.0
160,264,2015,NonResidential,Seattle,WA,98119,2002,"110,785",,95.8,99.4,293.5,303.5,10608788.0,11015204.0,0.0,10228437.0,380776.0
161,265,2015,Residential,Seattle,WA,98121,2003,"116,947",,77.1,82.8,171.4,175.2,9689634.0,10408839.0,0.0,5441257.0,4248603.0
162,267,2015,NonResidential,Seattle,WA,98101,1999,"934,292",,115.7,115.7,271.7,271.7,63811044.0,63811044.0,0.0,39667989.0,24144689.0
163,268,2015,NonResidential,Seattle,WA,98122,1990,"597,519",,228.8,236.9,434.8,434.9,137635696.0,142494256.0,0.0,56016106.0,81621919.0
164,273,2015,Specialty,Seattle,WA,98106,1999,"71,714",,31.0,33.6,88.0,93.1,2223321.0,2407341.0,0.0,1903299.0,320100.0
165,274,2015,NonResidential,Seattle,WA,98103,1991,"75,397",,7.7,8.2,20.7,21.2,516216.0,551381.0,0.0,406533.0,109700.0
166,276,2015,NonResidential,Seattle,WA,98104,2000,"1,158,691",,219.1,220.5,508.5,498.3,295812640.0,297740960.0,122701720.0,170891586.0,2226424.0
167,278,2015,NonResidential,Seattle,WA,98104,1999,"102,796",,103.3,106.1,270.1,273.0,10620628.0,10902412.0,0.0,7949519.0,2671438.0
168,279,2015,Specialty,Seattle,WA,98116,2002,"208,981",,36.2,41.5,87.0,92.6,7564604.0,8680483.0,0.0,4895406.0,2669400.0
169,280,2015,Residential,Seattle,WA,98101,1909,"51,976",,77.8,85.1,154.0,161.7,3918038.0,4285693.0,0.0,1741632.0,2176478.0
170,281,2015,NonResidential,Seattle,WA,98105,1928,"55,653",,36.1,48.5,38.3,51.3,2003474.0,2690623.0,0.0,10580.0,1992894.0
171,282,2015,NonResidential,Seattle,WA,98105,1931,"106,860",,113.1,122.5,192.9,196.9,12087498.0,13085938.0,0.0,3788422.0,8299234.0
172,283,2015,NonResidential,Seattle,WA,98125,1972,"50,759",,60.0,60.0,168.2,168.2,3045139.0,3045139.0,0.0,2556409.0,488836.0
173,284,2015,NonResidential,Seattle,WA,98105,1952,"56,772",,41.4,50.0,78.6,87.6,2349950.0,2835789.0,0.0,954132.0,1395857.0
174,285,2015,NonResidential,Seattle,WA,98105,1952,"103,000",,47.2,55.7,99.6,108.6,4864408.0,5741732.0,0.0,2466944.0,2397565.0
175,286,2015,Specialty,Seattle,WA,98115,2006,"269,297",,38.2,42.4,99.6,104.1,10281586.0,11430634.0,0.0,7672105.0,2609800.0
176,287,2015,Specialty,Seattle,WA,98115,2001,"75,174",,35.3,42.4,80.9,91.3,2654755.0,3183918.0,0.0,1575720.0,1079100.0
177,289,2015,Specialty,Seattle,WA,98119,2003,"75,214",,30.5,30.5,82.3,82.3,2295845.0,2295845.0,0.0,1807220.0,488700.0
178,290,2015,Specialty,Seattle,WA,98116,2005,"134,918",,28.0,33.1,74.7,85.2,3773040.0,4466541.0,0.0,2927362.0,845800.0
