BUILDING ADDRESS,BUILDING ID,CARBON DIOXIDE EMISSIONS (Metric Ton CO2e),COMPLIANCE STATUS,% DIFFERENCE FROM NATIONAL MEDIAN SOURCE EUI,% DIFFERENCE FROM NATIONAL MEDIAN SITE EUI,ENERGY STAR SCORE,ENERGY STAR CERTIFICATION - ELIGIBILITY,ENERGY STAR CERTIFICATION - LAST APPROVAL DATE,ENERGY STAR CERTIFICATION - YEAR(S) CERTIFIED,ENTITY RESPONSIBLE FOR BENCHMARK,GROSS BUILDING FLOOR AREA (ft²),INDOOR WATER USE (kgal),INDOOR WATER USE INTENSITY (gal/ft²),NUMBER OF BUILDINGS,OCCUPANCY,OUTDOOR WATER USE (kgal),POSTAL CODE,PROGRAM YEAR,PROPERTY TYPE,SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),Source EUI (kBtu/ft²),TOTAL WATER USE (kgal),WEATHER NORMALIZED SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),WEATHER NORMALIZED SOURCE ENERGY USE INTENSITY (EUI) (kBtu/ft²),YEAR BUILT
16260 VENTURA BLVD,4.14E+11,299,COMPLIED,35.1,35.1,Not Available,No,Not Available,Not Available,Jade Enterprises,61153,1628.1,26.62,1,65,Not Available,91436,2016,Medical Office,61.1,166.4,1628.1,60.8,165.6,1964
467 ARNAZ DR,4.46E+11,278.7,COMPLIED,35,35,10,No,Not Available,Not Available,"LivCor, LLC",104777,Not Available,Not Available,1,100,Not Available,90048,2016,Multifamily Housing,39.3,94.1,3697.3,40,94.9,1980
8701 S ST ANDREWS PL,4.67E+11,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"City of Los Angeles, Recreation and Parks",10328,Not Available,Not Available,1,100,Not Available,90047,2016,Other - Recreation,Not Available,Not Available,341.9,Not Available,Not Available,1990
14630 W PLUMMER ST,4.25E+11,27.9,COMPLIED,-57,-57,Not Available,No,Not Available,Not Available,ece_cola_gsd,14500,Not Available,Not Available,1,80,Not Available,91402,2016,Fire Station,28.9,66.4,24736.4,Not Available,Not Available,2010
4064 DEL REY AVE,4.27E+11,21.7,COMPLIED,-78.5,-78.5,Not Available,No,Not Available,Not Available,"Stor-It Self Storage, Extra Storage, Stor-It Vault",87760,Not Available,Not Available,1,85,Not Available,90292,2016,Self-Storage Facility,3.3,10.2,146.6,3.3,10.2,1988
1600 E 4TH ST,4.94E+11,59.1,COMPLIED,-1.8,-1.8,Not Available,No,Not Available,Not Available,ece_cola_gsd,17000,Not Available,Not Available,1,80,Not Available,90033,2016,Other - Education,47.1,139,627.6,48.5,140.3,2000
2901 S SEPULVEDA BLVD,4.31E+11,347.8,COMPLIED,-10.6,-10.6,67,No,Not Available,Not Available,Moss & Company,159159,Not Available,Not Available,1,95,Not Available,90064,2016,Multifamily Housing,34.4,69.3,6399.1,35.2,70.1,1973
6033 W CENTURY BLVD,4.43E+11,61.5,COMPLIED,-95.6,-95.6,100,No,Not Available,Not Available,Los Angeles World Airports,128908,Not Available,Not Available,1,50,Not Available,90045,2016,Office,9,9.4,7571,Not Available,Not Available,1979
6181 W IMPERIAL HWY,4.42E+11,128.8,COMPLIED,58.6,58.6,19,No,Not Available,Not Available,Los Angeles World Airports,60054,Not Available,Not Available,1,95,Not Available,90045,2016,Non-Refrigerated Warehouse,28.3,88.8,543.1,Not Available,Not Available,1963
11150 SANTA MONICA BLVD,4.27E+11,1056.7,COMPLIED,-43.5,-43.5,92,No,10/10/2016,"2016, 2015, 2014, 2013, 2012",The Irvine Company,264997,Not Available,Not Available,1,100,Not Available,90025,2016,Office,46,144.3,1341.3,46,144.3,1986
3500 6TH ST,4.71E+11,526.5,COMPLIED,-27.6,-27.6,Not Available,No,Not Available,Not Available,Equitable City Center LLC,165042,Not Available,Not Available,1,90,Not Available,90020,2016,Enclosed Mall,46,123.6,19546.5,46,123.6,2007
23450 CALABASAS RD,3.69E+11,2113.6,COMPLIED,29.9,29.9,15,No,Not Available,Not Available,MPTF,324320,14249.9,43.94,22,80,Not Available,91302,2016,Senior Care Community,75.1,235.8,33623.7,75.1,235.8,1942
3201 OVERLAND AVE,4.36E+11,678.8,COMPLIED,-27.6,-27.6,89,No,Not Available,Not Available,Moss & Company,401800,Not Available,Not Available,1,95,Not Available,90034,2016,Multifamily Housing,27.1,51.4,14677.5,28.5,52.8,1973
19350 NORDHOFF ST,3.94E+11,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,The Kroenke Group,114000,Not Available,Not Available,1,60,Not Available,91324,2016,Mixed Use Property,Not Available,Not Available,Not Available,Not Available,Not Available,1990
350 S FIGUEROA ST,4.84E+11,1386.1,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,350 SOUTH FIGUEROA LLC,444158,Not Available,Not Available,1,70,Not Available,90071,2016,Office,36,112.9,3842.2,35.9,112.7,1974
2828 E 12TH ST,4.95E+11,32.7,COMPLIED,-77.9,-77.9,Not Available,No,Not Available,Not Available,DIBAS LLC,102000,120,1.18,4,100,Not Available,90023,2016,Distribution Center,4.2,13.3,120,Not Available,Not Available,1941
22400 S HALLDALE AVE,4.70E+11,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"City of Los Angeles, Recreation and Parks",15306,Not Available,Not Available,1,100,Not Available,90501,2016,Other - Recreation,Not Available,Not Available,4886.3,Not Available,Not Available,1978
400 S BURNSIDE AVE,4.55E+11,174.8,COMPLIED,-58.3,-58.3,100,No,Not Available,Not Available,AUM,192306,Not Available,Not Available,1,95,Not Available,90036,2016,Multifamily Housing,12,37.6,10570.8,12,37.6,1951
1005 W CHICK HEARN CT,4.80E+11,682.7,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"LA LIVE Properties, LLC",917123,Not Available,Not Available,1,100,Not Available,90015,2016,Parking,8.6,26.9,947.8,Not Available,Not Available,2007
433 E TEMPLE ST,4.90E+11,227.7,COMPLIED,4.1,4.1,46,No,Not Available,Not Available,Los Angeles Department of Water and Power,36200,Not Available,Not Available,1,100,Not Available,90012,2016,Office,85.7,250,59.9,Not Available,Not Available,1987
1331 W 253RD ST,4.70E+11,49.8,COMPLIED,4.2,4.2,Not Available,No,Not Available,Not Available,ece_cola_gsd,10454,Not Available,Not Available,1,100,Not Available,90710,2016,Fire Station,72.3,160.9,423.8,76.4,163,1980
6500 CANOGA AVE,3.81E+11,1.7,COMPLIED,-99.6,-99.6,Not Available,No,Not Available,Not Available,RiverRock Real Estate Group,160127,Not Available,Not Available,1,100,Not Available,91303,2016,Other - Mall,0.1,0.4,4284,0.1,0.4,1999
4920 VAN NUYS BLVD,4.26E+11,347.6,COMPLIED,-28.5,-28.5,95,No,Not Available,Not Available,equity residential,148890,Not Available,Not Available,1,95,Not Available,91403,2016,Multifamily Housing,35.1,80.2,6340.5,35.7,80.8,1988
5200 W WILSHIRE BLVD,4.58E+11,1022.6,COMPLIED,-37.1,-37.1,96,No,Not Available,Not Available,AUM,390289,Not Available,Not Available,1,95,Not Available,90036,2016,Multifamily Housing,39.3,90.2,11372.6,39.6,90.5,2014
3650 W MARTIN LUTHER KING JR BLVD,4.60E+11,0,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Capri Retail Services,345918,Not Available,Not Available,1,95,Not Available,90008,2016,Enclosed Mall,Not Available,Not Available,Not Available,Not Available,Not Available,1988
23001 W ROSCOE BLVD,3.72E+11,632.8,COMPLIED,127.3,127.3,2,No,Not Available,Not Available,ece_cola_gsd,57723,Not Available,Not Available,1,100,Not Available,91304,2016,Office,144.6,453.9,531,144.6,453.9,2001
1950 TAMARIND AVE,4.65E+11,43.8,COMPLIED,-85.9,-85.9,Not Available,No,Not Available,Not Available,"M G Enterprises, LLC",100682,0,0,1,95,Not Available,90068,2016,Multifamily Housing,5.7,18,5082.5,Not Available,Not Available,1974
311 S SPRING ST,4.87E+11,415.7,COMPLIED,-46.1,-46.1,90,No,04/19/2017,2017,Downtown Properties,114254,1417.6,12.41,1,75,Not Available,90013,2016,Office,43,129.2,1417.6,43.4,129.7,1913
947 N ORANGE DR,4.58E+11,101.9,COMPLIED,-61.8,-61.8,93,No,Not Available,Not Available,"Producers Film Center, Inc.",60000,338,5.63,1,95,Not Available,90038,2016,Refrigerated Warehouse,22.4,70.3,338,22.4,70.3,1936
5520 ARBOR VITAE ST,4.48E+11,12.4,COMPLIED,-85.7,-85.7,Not Available,No,Not Available,Not Available,Los Angeles World Airports,23288,Not Available,Not Available,1,100,Not Available,90045,2016,Police Station,7,22.1,510.9,Not Available,Not Available,1956
9301 N TAMPA AVE,3.94E+11,3085,COMPLIED,6,6,Not Available,No,Not Available,Not Available,GGP Inc.,511340,22934.3,44.85,1,95,Not Available,91324,2016,Enclosed Mall,79.6,249.8,22934.3,78,245,1971
11980 SAN VICENTE BLVD,4.19E+11,336.4,COMPLIED,-30.6,-30.6,73,No,03/26/2002,2002,650186,98234,1154.5,11.75,1,100,Not Available,90049,2016,Medical Office,45.2,141.8,1154.5,45.6,143.3,1974
17055 SAN FERNANDO MISSION BLVD,4.09E+11,702,COMPLIED,-30.6,-30.6,77,No,05/05/2017,2017,Target,151500,6576,43.41,1,100,Not Available,91344,2016,Retail Store,62.4,187,6576,60.3,180.5,2007
1701 N GAFFEY ST,T00000000291,503.4,COMPLIED,-41.7,-41.7,86,No,06/12/2014,2014,Target,132354,2299,17.37,1,100,Not Available,90731,2016,Retail Store,50.6,155.8,2299,51.2,157.6,2008
1331 N EUBANK AVE,4.84E+11,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"City of Los Angeles, Recreation and Parks",11750,Not Available,Not Available,1,100,Not Available,90744,2016,Other - Recreation,Not Available,Not Available,275.3,Not Available,Not Available,2001
1240 S WEST BLVD,4.61E+11,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"City of Los Angeles, Recreation and Parks",11675,Not Available,Not Available,1,100,Not Available,90019,2016,Other - Recreation,Not Available,Not Available,240.1,Not Available,Not Available,2001
11430 W WOODBINE ST,4.32E+11,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"City of Los Angeles, Recreation and Parks",8545,Not Available,Not Available,1,100,Not Available,90066,2016,Other - Recreation,Not Available,Not Available,Not Available,Not Available,Not Available,2012
6411 W IMPERIAL HWY,4.41E+11,30.9,COMPLIED,-2.8,-2.8,Not Available,No,Not Available,Not Available,Los Angeles World Airports,9684,Not Available,Not Available,1,50,Not Available,90045,2016,Other,45.2,119.7,80.8,Not Available,Not Available,2006
1941 SANTA CLARA ST,4.91E+11,30.5,COMPLIED,-97.2,-97.2,100,No,Not Available,Not Available,Multiple Properties,152529,391.2,2.56,1,90,Not Available,90021,2016,Office,2.8,6.2,391.2,2.8,6.2,1929
7000 W MANCHESTER AVE,4.36E+11,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"City of Los Angeles, Recreation and Parks",8697,Not Available,Not Available,1,100,Not Available,90045,2016,Other - Recreation,Not Available,Not Available,Not Available,Not Available,Not Available,1953
16813 W STAGG ST,4.11E+11,45.4,COMPLIED,30.7,30.7,Not Available,No,Not Available,Not Available,Los Angeles World Airports,11682,180.3,15.43,1,95,Not Available,91406,2016,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",51.2,160.9,180.3,Not Available,Not Available,2001
504 S HARBOR BLVD,4.77E+11,100.2,COMPLIED,21.7,21.7,Not Available,No,Not Available,Not Available,ece_cola_gsd,20117,Not Available,Not Available,1,100,Not Available,90731,2016,Fire Station,70.4,187.8,382.5,70.9,188.3,1990
10250 N ETIWANDA AVE,4.01E+11,16,COMPLIED,-50.1,-50.1,Not Available,No,Not Available,Not Available,ece_cola_gsd,10766,Not Available,Not Available,1,100,Not Available,91325,2016,Other - Services,22.7,50.1,717.6,Not Available,Not Available,1990
3675 WILSHIRE BLVD,4.69E+11,434.9,COMPLIED,-15.3,-15.3,Not Available,No,Not Available,Not Available,Greystar Investment Group,144530,Not Available,Not Available,1,100,Not Available,90005,2016,Multifamily Housing,45,104.2,6592.6,45.4,104.7,2008
6030 CANOGA AVE,3.81E+11,68.8,COMPLIED,-44.1,-44.1,Not Available,No,Not Available,Not Available,Storage Etc.,107133,9,0.08,1,90,Not Available,91367,2016,Self-Storage Facility,8.5,26.6,9,8.4,26.3,2002
10730 W PICO BLVD,4.33E+11,1284.3,COMPLIED,-39.6,-39.6,82,No,Not Available,Not Available,Macy's,243220,Not Available,Not Available,1,100,Not Available,90064,2016,Retail Store,34.5,108.4,1948.6,33.5,105.2,1965
10671 LANARK ST,4.52E+11,167.8,COMPLIED,3.9,3.9,47,No,Not Available,Not Available,Ratner Property Management,119600,Not Available,Not Available,1,50,Not Available,91352,2016,Non-Refrigerated Warehouse,20.3,51.4,181.3,22.1,53.6,1978
6830 JORDAN AVE,3.80E+11,26.6,COMPLIED,-91.1,-91.1,100,No,Not Available,Not Available,USA Properties Fund,92270,Not Available,Not Available,1,95,Not Available,91303,2016,Multifamily Housing,3.3,10.4,4121,3.4,10.7,2002
7001 W IMPERIAL HWY,4.36E+11,93.4,COMPLIED,-32,-32,80,No,Not Available,Not Available,Los Angeles World Airports,35000,Not Available,Not Available,1,95,Not Available,90045,2016,Office,35.5,109.5,291,Not Available,Not Available,1963
2311 S FAIRFAX AVE,4.50E+11,57.3,COMPLIED,-6.3,-6.3,55,No,Not Available,Not Available,Los Angeles Department of Water and Power,8800,Not Available,Not Available,1,100,Not Available,90016,2016,Office,85.8,269.5,98.5,85.8,269.5,1955
14724 VENTURA BLVD,4.24E+11,550.7,COMPLIED,-52.2,-52.2,96,No,Not Available,Not Available,"Tower at Sherman Oaks, LLC",167438,2307.7,13.78,1,80,Not Available,91403,2016,Office,37.9,119,2307.7,37.9,119,1966
626 WILSHIRE BLVD,4.84E+11,1529.9,COMPLIED,-3.3,-3.3,53,No,Not Available,Not Available,Barker Pacific Group,207515,Not Available,Not Available,1,90,Not Available,90017,2016,Office,85.7,265.1,3215.3,85.8,265.1,1967
3303 WILSHIRE BLVD,4.72E+11,564.2,COMPLIED,-59.1,-59.1,98,No,Not Available,Not Available,Cushman and Wakefield of CA,222775,Not Available,Not Available,1,100,Not Available,90010,2016,Office,34.7,99.9,1850.8,34.7,99.8,1971
12760 W OSBORNE ST,4.38E+11,343.7,COMPLIED,208.7,208.7,Not Available,No,Not Available,Not Available,ece_cola_gsd,25676,Not Available,Not Available,1,100,Not Available,91331,2016,Police Station,196.8,476.5,884,194.7,469.8,1990
515 KELTON AVE,4.24E+11,94,COMPLIED,-72.3,-72.3,Not Available,No,Not Available,Not Available,Kelton Associates. LP,110000,Not Available,Not Available,1,90,Not Available,90024,2016,Multifamily Housing,11.3,35.4,3828.5,11.3,35.4,1973
11761 W ROSCOE BLVD,4.44E+11,82.7,COMPLIED,156,156,3,No,Not Available,Not Available,Los Angeles Department of Water and Power,22000,Not Available,Not Available,1,100,Not Available,91352,2016,Non-Refrigerated Warehouse,49.5,155.6,142.8,47.8,150,1970
5600 W SUNSET BLVD,T00000000378,638.9,COMPLIED,-35.5,-35.5,79,No,Not Available,Not Available,Home Depot,124869,2132.6,17.08,1,100,Not Available,90028,2016,Retail Store,59.7,183.5,2132.6,59.7,183,1996
6550 VAN NUYS BLVD,4.26E+11,110.7,COMPLIED,34.4,34.4,23,No,Not Available,Not Available,Los Angeles Department of Water and Power,20140,Not Available,Not Available,1,100,Not Available,91401,2016,Office,63.3,198.9,76.1,63.3,198.9,1954
6701 W IMPERIAL HWY,4.38E+11,2865.5,COMPLIED,119.6,119.6,Not Available,No,Not Available,Not Available,Los Angeles World Airports,104930,Not Available,Not Available,1,95,Not Available,90045,2016,Restaurant,407.5,948.9,42585.1,Not Available,Not Available,1963
7080 HOLLYWOOD BLVD,4.57E+11,511.1,COMPLIED,-24.2,-24.2,Not Available,No,Not Available,Not Available,"Jamison Services, Inc.",164898,Not Available,Not Available,1,70,Not Available,90028,2016,Office,35.7,112.2,3790.4,Not Available,Not Available,1966
200 WORLD WAY TERMINAL 2,4.39E+11,3177.9,COMPLIED,195.2,195.2,Not Available,No,Not Available,Not Available,Los Angeles World Airports,501396,Not Available,Not Available,1,50,Not Available,90045,2016,Transportation Terminal/Station,86.5,251.2,4175.6,Not Available,Not Available,1962
20221 PRAIRIE ST,3.88E+11,18.3,COMPLIED,-81.1,-81.1,99,No,Not Available,Not Available,Extra Space Storage,104448,658,6.3,1,100,Not Available,91311,2016,Non-Refrigerated Warehouse,2.1,6.2,658,2.1,6.2,2009
12180 W MILLENNIUM,T00000000301,550.9,COMPLIED,-47.2,-47.2,91,No,Not Available,Not Available,Lincoln Property Company,132431,1804.9,13.63,1,100,246.4,90094,2016,Office,54.4,136,2051.3,54.4,136,2010
1201 S FIGUEROA ST,4.80E+11,7538.3,COMPLIED,86.7,86.7,Not Available,No,Not Available,Not Available,City of Los Angeles Department of Convention and Tourism Development,2023966,Not Available,Not Available,5,100,Not Available,90015,2016,Convention Center,44.9,130.4,28906.6,45,130.1,1972
6060 WILSHIRE BLVD,4.52E+11,0,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Petersen Automotive Museum,204230,Not Available,Not Available,1,100,Not Available,90036,2016,Museum,Not Available,Not Available,Not Available,Not Available,Not Available,1961
10556 W PICO BLVD,4.34E+11,40.5,COMPLIED,-7.6,-7.6,Not Available,No,Not Available,Not Available,ece_cola_gsd,9700,Not Available,Not Available,1,100,Not Available,90064,2016,Fire Station,63,142.7,255.2,62,134.9,2001
6121 W SUNSET BLVD,4.64E+11,1839.7,COMPLIED,-57.8,-57.8,Not Available,No,Not Available,Not Available,Kilroy Realty Corporation,1201448,5540.8,4.61,6,100,Not Available,90028,2016,Office,20.4,62.4,5540.8,Not Available,Not Available,2015
1641 PREUSS RD,4.45E+11,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"City of Los Angeles, Recreation and Parks",8668,Not Available,Not Available,1,100,Not Available,90035,2016,Other - Recreation,Not Available,Not Available,484,Not Available,Not Available,1967
2500 WILSHIRE BLVD UNIT RM 00610,4.77E+11,569.2,NOT COMPLIED,-57.3,-57.3,96,No,Not Available,Not Available,Jamison Services,233983,Not Available,Not Available,1,5,Not Available,90057,2016,Office,32.9,97.6,Not Available,32.7,97,1973
5399 PLAYA VISTA DR,4.32E+11,1430.7,COMPLIED,-27.6,-27.6,94,No,Not Available,Not Available,AUM,627043,Not Available,Not Available,5,95,Not Available,90094,2016,Multifamily Housing,35.1,75.1,19195,35.1,75.1,2002
1430 W E ST,4.76E+11,0,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,CertainTeed,97007,Not Available,Not Available,1,50,Not Available,90744,2016,Manufacturing/Industrial Plant,Not Available,Not Available,Not Available,Not Available,Not Available,1954
6220 W 3RD ST,4.54E+11,225.8,COMPLIED,-75.4,-75.4,100,No,Not Available,Not Available,AIMCO,134530,Not Available,Not Available,1,100,Not Available,90036,2016,Multifamily Housing,23.1,65.6,3807.1,Not Available,Not Available,2002
9301 TAMPA AVE,3.94E+11,634.3,COMPLIED,-36.8,-36.8,80,No,06/19/2014,2014,JCPenney,230787,1729.7,7.49,1,100,Not Available,91324,2016,Retail Store,36.3,113.7,2611.8,36.3,113.7,1995
501 W OLYMPIC BLVD,4.83E+11,679.6,COMPLIED,26.8,26.8,14,No,Not Available,Not Available,GID,148707,Not Available,Not Available,1,95,Not Available,90015,2016,Multifamily Housing,58.8,151.6,5341.8,58.8,151.6,1994
11611 SAN VICENTE BLVD,4.22E+11,439.8,COMPLIED,-31.3,-31.3,80,No,Not Available,Not Available,"Vintage Real Estate, LLC",105000,1744.6,16.62,1,95,Not Available,90049,2016,Office,50.2,147.2,1744.6,51.3,147.8,1977
