Kansas City Building Reporting ID,Property Name,Zip Code,Parent Property Name,Year Ending,Square Feet,Primary Property Type,All Property Use Types,Year Built,ENERGY STAR Score,Site Energy Use (kBtu),Site EUI (kBtu/ft²),National Median Site Energy Use (kBtu),National Median Site EUI (kBtu/ft²),% Difference from National Median Site EUI,Source Energy Use (kBtu),Source EUI (kBtu/ft²),National Median Source Energy Use (kBtu),National Median Source EUI (kBtu/ft²),% Difference from National Median Source EUI,Weather Normalized Site Energy Use (kBtu),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Source Energy Use (kBtu),Weather Normalized Source EUI (kBtu/ft²),Energy Cost ($),Energy Cost Intensity ($/ft²),Water Use (kgal),Direct GHG Emissions (Metric Tons CO2e),Direct GHG Emissions Intensity (kgCO2e/ft²),Indirect GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions Intensity (kgCO2e/ft²),eGRID Subregion,eGRID Output Emissions Rate (kgCO2e/MBtu),Location,Neighborhood Census,Council Districts,County Boundary,Zip Codes
06-IS-01128,Municipal Courts Building,64106,Not Applicable: Standalone Property,12/31/2016 12:00:00 AM,"100,952",Courthouse,Courthouse,1960,94,"6,082,619",60.3,"12,986,606.2",128.6,-53.2,"11,303,002.5",112,"24,132,308.3",239,-53.2,"6,068,619.5",60.1,"11,348,405.8",112.4,"180,214.64",1.79,893.4,0,0,704.4,7,(SPNO) SPNO (KS-Western MO),210.9,"1101 Locust St
Kansas City, Missouri 64106
(39.100368, -94.57736)",5,4,7,75
06-IS-01230,City Hall,64106,Not Applicable: Standalone Property,12/31/2016 12:00:00 AM,"413,901",Office,Office,1937,96,"25,684,932.3",62.1,"57,284,855.3",138.4,-55.2,"48,188,043.8",116.4,"107,473,332.5",259.7,-55.2,"26,182,994.3",63.3,"49,000,377.8",118.4,"728,737.19",1.76,"13,519.5",0,0,"3,006.2",7.3,(SPNO) SPNO (KS-Western MO),210.9,"414 E 12th St
Kansas City, Missouri 64106
(39.100581, -94.57786)",5,4,7,75
08-IS-02412,Health Facility,64108,Not Applicable: Standalone Property,12/31/2016 12:00:00 AM,"103,935",Office,Medical Office,1960,65,"7,573,052",72.9,"9,665,150.3",93,-21.6,"23,779,383.2",228.8,"30,348,575.5",292,-21.6,"7,896,693.1",76,"24,795,616.3",238.6,"275,394.14",2.65,"1,817.2",0,0,"1,597.1",15.4,(SPNO) SPNO (KS-Western MO),210.9,"2400 Troost Ave
Kansas City, Missouri 64108
(39.083685, -94.570658)",11,3,7,92
30-IS-06120,Water Services Department Main Complex,64130,Not Applicable: Standalone Property,12/31/2016 12:00:00 AM,"44,336",Office,Office,1960,69,"10,993,547.4",102.7,"13,708,412.2",128.1,-19.8,"34,201,247.2",319.6,"42,647,275.3",398.6,-19.8,"11,004,402.7",102.8,"34,212,645.3",319.7,"315,119.74",2.95,824.3,8.1,0.1,"2,286.4",21.4,(SPNO) SPNO (KS-Western MO),210.9,"4800 E 63rd St
Kansas City, Missouri 64130",,,,
05-IS-00320,City Market CM-2C,64105,Not Applicable: Standalone Property,12/31/2016 12:00:00 AM,"18,385",Other - Restaurant/Bar,Supermarket/Grocery Store,1960,100,"653,601.1",35.6,"8,535,772.4",464.3,-92.3,"686,471.8",37.3,"8,965,051.4",487.6,-92.3,"836,091.3",45.5,"878,086.5",47.8,"3,361.68",0.18,838.5,34.7,1.9,0,0,(SPNO) SPNO (KS-Western MO),210.9,"305 - 313 Main St
Kansas City, Missouri 64105
(39.109836, -94.58334)",71,4,7,75
05-IS-01210,Garage-1220 Wyandotte (APG),64105,Not Applicable: Standalone Property,12/31/2016 12:00:00 AM,"450,000",Parking,Parking,1955,,"678,217.6",1.5,,,,"2,129,603.1",4.7,,,,"715,358.2",1.6,"2,246,224.6",5,"32,929.96",0.07,333.8,0,0,143,0.3,(SPNO) SPNO (KS-Western MO),210.9,"1220 Wyandotte
Kansas City, Missouri 64105
(39.09936, -94.585597)",5,4,7,72
05-IS-00310,Garage-300 Wyandotte,64105,Not Applicable: Standalone Property,12/31/2016 12:00:00 AM,"93,825",Parking,Parking,1960,,"996,038.5",10.6,,,,"3,127,561",33.3,,,,"1,007,545.5",10.7,"3,163,692.7",33.7,"28,515.94",0.30,,0,0,210.1,2.2,(SPNO) SPNO (KS-Western MO),210.9,"300 Wyandotte St
Kansas City, Missouri 64105
(39.109368, -94.585808)",71,4,7,72
05-IS-01710,Garage-1621 Broadway,64108,Not Applicable: Standalone Property,12/31/2016 12:00:00 AM,"332,200",Parking,Parking,2011,,"2,907,472.6",8.8,,,,"9,129,464.1",27.5,,,,"2,907,472.6",8.8,"9,129,464.1",27.5,"90,809.77",0.27,"5,846.2",0,0,613.2,1.8,(SPNO) SPNO (KS-Western MO),210.9,"1621 Broadway
Kansas City, Missouri 64108
(39.093743, -94.588709)",149,4,7,92
06-IS-01240,Garage-1220 Walnut,64106,Not Applicable: Standalone Property,12/31/2016 12:00:00 AM,"224,865",Parking,Parking,1960,,"2,775,496.1",12.3,,,,"8,715,057.8",38.8,,,,"2,775,496.1",12.3,"8,715,057.8",38.8,"81,226.93",0.36,,0,0,585.3,2.6,(SPNO) SPNO (KS-Western MO),210.9,"1220 Walnut St
Kansas City, Missouri 64106
(39.09919, -94.582122)",5,4,7,75
61-IS-02810,Birmingham Water Treatment Complex,64161,Not Applicable: Standalone Property,12/31/2016 12:00:00 AM,"150,000",Wastewater Treatment Plant,Wastewater Treatment Plant,1960,,"11,325,660.7",75.5,,,,"35,562,574.5",237.1,,,,"11,325,660.7",75.5,"35,562,574.5",237.1,"326,698.31",2.18,"2,558.3",0,0,"2,388.5",15.9,(SPNO) SPNO (KS-Western MO),210.9,"10801 NE 28th St
Kansas City, Missouri 64161
(39.143876, -94.454411)",138,6,4,89
32-IS-07610,Police Dept. Metro Patrol Garage 1,64132,PD Metro Patrol Campus,12/31/2016 12:00:00 AM,"7,604",Parking,Parking,1960,,"100,139.1",13.2,,,,"314,436.8",41.4,,,,"96,501.5",12.7,"303,014.8",39.8,"3,464.13",0.46,,0,0,21.1,2.8,(SPNO) SPNO (KS-Western MO),210.9,"7601 Prospect Ave
Kansas City, Missouri 64132
(38.987189, -94.557459)",154,2,7,151
05-IS-00410,Westside Water Treatment Complex,64105,Not Applicable: Standalone Property,12/31/2016 12:00:00 AM,"150,000",Wastewater Treatment Plant,Wastewater Treatment Plant,1977,,"13,113,257.7",87.4,,,,"40,381,101.2",269.2,,,,"13,195,331.2",88,"40,467,278.3",269.8,"402,552.10",2.68,488.2,20.2,0.1,"2,685.4",17.9,(SPNO) SPNO (KS-Western MO),210.9,"1849 Woodsweather Rd
Kansas City, Missouri 64105
(39.10989, -94.607314)",,,5,73
32-IS-07620,Police Dept. Metro Patrol Garage 2,64132,PD Metro Patrol Campus,12/31/2016 12:00:00 AM,"7,604",Parking,Parking,1960,,"174,375.9",22.9,,,,"547,540.5",72,,,,"166,909.7",22,"524,096.5",69,"8,301.54",1.09,,0,0,36.8,4.8,(SPNO) SPNO (KS-Western MO),210.9,"7601 Prospect Ave
Kansas City, Missouri 64132
(38.987189, -94.557459)",154,2,7,151
60-IS-11810,Fishing River Water Treatment Plant,64060,Not Applicable: Standalone Property,12/31/2016 12:00:00 AM,"150,000",Wastewater Treatment Plant,Wastewater Treatment Plant,2000,,"5,442,784.4",36.3,,,,"17,090,343.2",113.9,,,,"5,442,784.4",36.3,"17,090,343.2",113.9,"137,634.09",0.92,,0,0,"1,292.1",8.6,(SRMW) SRMW (Middle Mississippi),237.4,"10600 NE 118th St
Kansas City, Missouri 64060",,,,
53-IS-11215,KCI-Overhaul Base/CUP/Manufacturing Plant/Narrow Body Hanger/Super Hanger,64153,Not Applicable: Standalone Property,12/31/2016 12:00:00 AM,"15,163",Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,1960,,"77,147,836.2","5,087.9",,,,"166,481,475.6","10,979.4",,,,"77,147,836.2","5,087.9","166,481,475.6","10,979.4","986,650.18",65.07,,"1,925.4",127,"9,708.9",640.3,(SRMW) SRMW (Middle Mississippi),237.4,"9200 NW 112th St
Kansas City, Missouri 64153
(39.296068, -94.686757)",203,5,3,130
63-IS-07610,Todd Creek Water Treatment Complex,64163,Not Applicable: Standalone Property,12/31/2016 12:00:00 AM,"150,000",Wastewater Treatment Plant,Wastewater Treatment Plant,1977,,"7,530,358.3",50.2,,,,"23,645,325",157.6,,,,"7,530,358.3",50.2,"23,645,325.0",157.6,"179,407.42",1.20,,0,0,"1,787.7",11.9,(SRMW) SRMW (Middle Mississippi),237.4,"7600 NW 144th St
Kansas City, Missouri 64163",,,,
06-IS-01130,Garage-560 E. 11th St.,64106,Not Applicable: Standalone Property,12/31/2016 12:00:00 AM,"271,824",Parking,Parking,2009,,"2,575,786.5",9.5,,,,"8,087,969.6",29.8,,,,"2,575,786.5",9.5,"8,087,969.6",29.8,"82,665.89",0.30,36,0,0,543.2,2,(SPNO) SPNO (KS-Western MO),210.9,"560 E 11th St
Kansas City, Missouri 64106
(39.100888, -94.576496)",5,4,7,75
20-IS-01315,Blue River Water Treatment Complex,64120,Not Applicable: Standalone Property,12/31/2016 12:00:00 AM,"405,446",Wastewater Treatment Plant,Wastewater Treatment Plant,1964,,"23,757,822.2",58.6,,,,"74,599,561.6",184,,,,"23,757,822.2",58.6,"74,599,561.6",184,"927,323.46",2.29,"23,984.3",0,0,"5,010.4",12.4,(SPNO) SPNO (KS-Western MO),210.9,"7300 Rochester Ave
Kansas City, Missouri 64120
(39.119543, -94.498197)",53,4,7,144
05-IS-01340,Garage-151 E. 13th St.,64106,Not Applicable: Standalone Property,12/31/2016 12:00:00 AM,"268,248",Parking,Parking,1960,,"1,646,466.9",6.1,,,,"5,169,906",19.3,,,,"1,646,466.9",6.1,"5,169,906.0",19.3,"51,157.59",0.19,,0,0,347.2,1.3,(SPNO) SPNO (KS-Western MO),210.9,"151 E 13th St
Kansas City, Missouri 64106
(39.098565, -94.581631)",5,4,7,75
02-IS-01610,Kemper Garage - West Bottoms,64102,Not Applicable: Standalone Property,12/31/2016 12:00:00 AM,"359,100",Parking,Parking,1960,,"1,608,993.5",4.5,,,,"5,052,239.5",14.1,,,,"1,631,123.2",4.5,"5,121,726.9",14.3,"46,044.71",0.13,6.8,0,0,339.3,0.9,(SPNO) SPNO (KS-Western MO),210.9,"1601 Stateline
Kansas City, Missouri 64102
(39.095491, -94.607003)",241,4,7,20
05-IS-01415,Garage-1398 Main St.,64105,Not Applicable: Standalone Property,12/31/2016 12:00:00 AM,"41,770",Parking,Parking,1960,,"815,193.7",19.5,,,,"2,559,708.2",61.3,,,,"815,193.7",19.5,"2,559,708.2",61.3,"24,439.61",0.59,,0,0,171.9,4.1,(SPNO) SPNO (KS-Western MO),210.9,"1398 Main St
Kansas City, Missouri 64105
(39.097246, -94.583315)",5,4,7,75
06-IS-01125,Garage-1100 Oak St.,64106,Not Applicable: Standalone Property,12/31/2016 12:00:00 AM,"441,200",Parking,Parking,2002,,"4,192,463.2",9.5,,,,"13,164,334.5",29.8,,,,"4,192,463.2",9.5,"13,164,334.5",29.8,"128,702.02",0.29,654.7,0,0,884.2,2,(SPNO) SPNO (KS-Western MO),210.9,"1100 Oak St
Kansas City, Missouri 64106
(39.100377, -94.578521)",5,4,7,75
16-IS-03500,Briarcliff Water Treatment Plant,64116,Not Applicable: Standalone Property,12/31/2016 12:00:00 AM,"150,000",Wastewater Treatment Plant,Wastewater Treatment Plant,1960,,"5,824,943.3",1.8,,,,"6,116,190.5",1.9,,,,"6,292,090.0",2,"6,606,694.5",2.1,"37,112.99",0.01,183,309.4,0.1,0,0,(SPNO) SPNO (KS-Western MO),210.9,"1 NW Briarcliff Rd
Kansas City, Missouri 64116
(39.170368, -94.58148)",62,4,4,167
