Kansas City Building Reporting ID,Portfolio Manager Property Id,Property Name,Parent Property Id,Parent Property Name,Year,Square Feet,Postal Code,Primary Property Type,All Property Use Types,Year Built,ENERGY STAR Score,Site Energy Use (kBtu) (ACTUAL),National Median Site Energy Use (kBtu),% Difference from National Median Site EUI,Site EUI (kBtu/ft²) (ACTUAL & ESTIMATE),National Median Site EUI (kBtu/ft²),Source Energy Use (kBtu) (ACTUAL),National Median Source Energy Use (kBtu),% Difference from National Median Source EUI,Source EUI (kBtu/ft²) (ACTUAL & ESTIMATE),National Median Source EUI (kBtu/ft²),Weather Normalized Site Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Energy Cost ($) (ESTIMATE),National Median Energy Cost ($),Energy Cost Intensity ($/ft²) (ESTIMATE),Water Use (kgal) (ACTUAL),Total Greenhouse Gas Emissions (Metric Tons CO2e),National Median Total GHG Emissions (Metric Tons CO2e),Total Greenhouse Gas Emissions Intensity (kgCO2e/ft²),Direct Greenhouse Gas Emissions (Metric Tons CO2e),Direct Greenhouse Gas Emissions Intensity (kgCO2e/ft²),Indirect Greenhouse Gas Emissions (Metric Tons CO2e),Indirect Greenhouse Gas Emissions Intensity (kgCO2e/ft²),eGRID Output Emissions Rate (kgCO2e/MBtu),eGRID Subregion,Location,Neighborhood Census,Council Districts,County Boundary,Zip Codes
05-IS-01320,4472731,Bartle Hall Expansion and Conference Center,4940016,Convention Center Complex,2015,"75,568",64105,Convention Center,Convention Center,1960,,"10,644,548","3,604,589.2",195.3,140.9,47.7,"15,584,894","5,277,550.5",195.3,206.2,69.8,,,,,"190,160.44","64,394.49",2.52,"1,247.3",956.5,323.89999999999998,12.7,,,956.5,12.7,240.4,(SPNO) KS-Western MO,"301 West 13th Street
Kansas City, Missouri 64105
(39.0988, -94.58697)",5,4,7,72
30-IS-06120,4923210,Water Services Department Main Complex,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"44,336",64130,Office,Office,1960,77,"9,769,597.0999999996","13,703,063.1",-28.7,91.3,128.1,"30,292,847.600000001","42,489,446.200000003",-28.7,283.10000000000002,397.1,"9,779,173","30,302,902.300000001",91.4,283.2,"261,898.37","367,344.67",2.4500000000000002,"1,143.8","2,314.4","3,246.3",21.6,9.8000000000000007,0.1,"2,304.6999999999998",21.5,240.4,(SPNO) KS-Western MO,"4800 E. 63rd Street, Dp01
Kansas City, Missouri 64130",,,,
06-IS-01120,4472727,Municipal Courts Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"100,952",64106,Office,Courthouse,1960,93,"6,191,560.2999999998","12,677,697.300000001",-51.2,61.3,125.6,"11,713,063.199999999","23,983,400.199999999",-51.2,116,237.6,"6,214,811","11,771,671.9",61.6,116.6,"170,029.44","348,148.37",1.68,"1,080.8",803.5,"1,645.3",8,,,803.5,8,240.4,(SPNO) KS-Western MO,"1101 Locust Street
Kansas City, Missouri 64106
(39.100368, -94.57736)",5,4,7,75
05-IS-01330,4472729,Municipal Auditorium,4940016,Convention Center Complex,2015,"570,440",64105,Social/Meeting Hall,Indoor Arena,1960,,"19,612,430.100000001","28,320,425.600000001",-30.7,34.4,49.6,"33,620,991.100000001","48,548,846",-30.7,58.9,85.1,"21,156,733.800000001","35,478,852",37.1,62.2,"392,921.8","567,380.65",0.69,999,"2,203","3,181.2",3.9,,,"2,203",3.9,240.4,(SPNO) KS-Western MO,"1300 Wyandotte
Kansas City, Missouri 64105
(39.098741, -94.585616)",5,4,7,72
53-IS-11750,4905984,Park Air Express Facility,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"25,000",64153,Mixed Use Property,Other,2004,,"3,576,422.1","1,768,115",102.3,143.1,70.7,"6,226,019.7999999998","3,078,025.9",102.3,249,123.1,"3,782,267.7","6,442,157.5999999996",151.30000000000001,257.7,,,,787.5,413.2,204.3,16.5,127.2,5.0999999999999996,286.10000000000002,11.4,242,(SRMW) Middle Mississippi,"11500 NW Prairie View Rd.
Kansas City, Missouri 64153
(39.301977, -94.686507)",203,5,3,130
53-IS-11710,4905981,KCI-Storeroom-Mexico City Ave. Central Warehouse,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"79,600",64153,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,1960,5,"6,130,383","2,601,764.9",135.6,77,32.700000000000003,"14,542,608.9","6,171,955.2999999998",135.6,182.7,77.5,"6,279,852.9000000004","14,601,438.1",78.900000000000006,183.4,,,,650.20000000000005,"1,058.0999999999999",449,13.3,119.6,1.5,938.4,11.8,242,(SRMW) Middle Mississippi,"533 Mexico City Avenue
Kansas City, Missouri 64153
(39.304159, -94.718786)",203,5,3,130
30-IS-04520,4933245,PW District 3 Office - Coal Mine Rd.,4950660,Public Works District 3,2015,"48,000",64130,Office,Office,1973,,,"3,232,064",,,67.3,,"7,106,413.9000000004",,,148.1,,,,,,"53,989.599999999999",,618.79999999999995,,508.5,,,,125.2,2.6,240.4,(SPNO) KS-Western MO,"4725 Coal Mine Road
Kansas City, Missouri 64130
(39.043357, -94.51788)",20,3,7,157
30-IS-04720,4950660,Public Works District 3,4950660,Public Works District 3,2015,"73,848",64130,Public Services,Public Services,1960,,,"5,820,687.0999999996",,,78.8,,"9,092,242.3000000007",,,123.1,,,,,,"87,369.37",,618.79999999999995,,784.6,,,,274.2,3.7,240.4,(SPNO) KS-Western MO,"4725 Coal Mine Rd.
Kansas City, Missouri 64130
(39.043357, -94.51788)",20,3,7,157
32-IS-07600,4472928,Police Dept. Metro Patrol Main,4939991,PD Metro Patrol Campus,2015,"28,093",64132,Police Station,Police Station,1960,,"3,772,159.9","1,612,200",134,134.30000000000001,57.4,"10,145,782.6","4,336,251.2",134,361.1,154.4,"3,880,416.8","10,259,452.4",138.1,365.2,"84,310.61","36,033.879999999997",3,601.5,754.7,322.5,26.9,43.2,1.5,711.5,25.3,240.4,(SPNO) KS-Western MO,"7601 Prospect Ave.
Kansas City, Missouri 64132
(38.987189, -94.557459)",154,2,7,151
57-IS-06840,4939991,PD Metro Patrol Campus,4939991,PD Metro Patrol Campus,2015,"43,301",64132,Police Station,Police Station,1960,,"4,041,923.6","2,457,493.6",64.5,93.3,56.8,"10,992,840.800000001","6,683,658.4000000004",64.5,253.9,154.4,"4,180,016.7","11,200,196.300000001",96.5,258.7,"94,248.41","57,303.13",2.1800000000000002,601.5,819.5,498.3,18.899999999999999,43.2,1,776.3,17.899999999999999,240.4,(SPNO) KS-Western MO,"7601 Prospect Ave.
Kansas City, Missouri 64132
(38.987189, -94.557459)",154,2,7,151
20-IS-01620,4905840,PACCAR,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"244,740",64120,Office,Other,1960,,"11,593,821.800000001","12,411,979",-6.6,47.4,50.7,"28,146,396.199999999","30,132,642.5",-6.6,115,123.1,"12,008,738.800000001","28,470,571.199999999",49.1,116.3,"308,537.92","330,310.82",1.26,557.29999999999995,"2,047.3","2,191.8000000000002",8.4,209.9,0.9,"1,837.4",7.5,240.4,(SPNO) KS-Western MO,"1301 Chouteau Trafficway
Kansas City, Missouri 64120
(39.135438, -94.526851)",53,4,7,144
02-IS-01810,4472763,Kemper Arena,4947959,American Royal Complex,2015,"283,856",64102,Indoor Arena,Indoor Arena,1974,,"5,162,502.5","9,079,144.8000000007",-43.1,18.2,32,"13,736,698.9","24,158,336.100000001",-43.1,48.4,85.1,"5,281,680.9000000004","13,861,836.199999999",18.600000000000001,48.8,"186,800.24","328,520.15999999997",0.66,549.70000000000005,"1,019.5","1,793",3.6,62.9,0.2,956.6,3.4,240.4,(SPNO) KS-Western MO,"1800 Genessee St.
Kansas City, Missouri 64102
(39.093352, -94.605201)",241,4,7,20
24-IS-00510,4472747,Fire Station 23,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"16,042",64124,Fire Station,Fire Station,1977,,"2,076,537.7","1,277,972.7",62.5,129.4,79.7,"4,023,398.7","2,476,137.9",62.5,250.8,154.4,"2,130,638.5","4,052,193.2",132.80000000000001,252.6,"37,349.57","22,986.21",2.33,545.29999999999995,275.5,169.5,17.2,63.5,4,212,13.2,240.4,(SPNO) KS-Western MO,"4777 Independence Avenue
Kansas City, Missouri 64124
(39.105472, -94.526683)",215,3,7,70
27-IS-01910,4923468,Fleet Operations Building - Brooklyn Ave.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"67,000",64127,Public Services,Public Services,1960,,"2,005,711.2","2,627,104.6",-23.7,29.9,39.200000000000003,"6,297,933","8,249,109.5",-23.7,94,123.1,"2,005,711.2","6,297,933",29.9,94,"72,743.289999999994","95,280.04",1.0900000000000001,539.29999999999995,482.2,631.6,7.2,,,482.2,7.2,240.4,(SPNO) KS-Western MO,"2301 East 19th St.
Kansas City, Missouri 64127
(39.089904, -94.555402)",234,3,7,95
26-IS-01810,4923501,Police Athletic League,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"13,400",64126,Recreation,Recreation,1960,,"1,703,198.1","753,193.3",126.1,127.1,56.2,"2,933,713.2","1,297,355.3999999999",126.1,218.9,96.8,"1,816,701.3","3,052,891.5",135.6,227.8,"31,993.95","14,148.46",2.39,519.70000000000005,193.1,85.4,14.4,61.4,4.5999999999999996,131.80000000000001,9.8000000000000007,240.4,(SPNO) KS-Western MO,"1801 White Ave.
Kansas City, Missouri 64126
(39.089094, -94.512695)",6,3,7,94
05-IS-01210,4923461,Garage-1220 Wyandotte (APG),Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"450,000",64105,Parking,Parking,1955,,"1,296,338.5",,,2.9,,"4,070,502.9",,,9,,"1,339,709.7","4,206,688.5",3,9.3000000000000007,"44,594.36",,0.1,470.2,311.7,,0.7,,,311.7,0.7,240.4,(SPNO) KS-Western MO,"1220 Wyandotte
Kansas City, Missouri 64105
(39.09936, -94.585597)",5,4,7,72
20-IS-01710,4905827,Fire Station 47 / Fire Academy,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"11,259",64120,Fire Station,Fire Station,1965,,"4,467,824.8","989,627.8",351.5,396.8,87.9,"7,845,857.5","1,737,865.4",351.5,696.9,154.4,"4,912,929.0999999996","8,326,140.7000000002",436.4,739.5,"76,263.8","16,892.509999999998",6.77,456.7,520,115.2,46.2,157.1,14,362.9,32.200000000000003,240.4,(SPNO) KS-Western MO,"5130 Deramus Street
Kansas City, Missouri 64120
(39.139629, -94.520181)",53,4,7,144
30-IS-04710,4472783,Fire Station 35,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"18,196",64130,Fire Station,Fire Station,1960,,"1,950,051.4","1,164,385.3",67.5,107.2,64,"4,703,721.8","2,808,615.2",67.5,258.5,154.4,"2,006,883.4","4,777,128.2",110.3,262.5,"41,289.01","24,653.87",2.27,441.7,341.6,204,18.8,36.1,2,305.60000000000002,16.8,240.4,(SPNO) KS-Western MO,"3200 E. Emanuel Cleaver II Blvd.
Kansas City, Missouri 64130",,,,
53-IS-11230,4905980,Aviation Administration Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"41,500",64153,Office,Office,1995,10,"4,639,153.5","2,772,843.9",67.3,111.8,66.8,"14,566,942","8,706,731",67.3,351,209.8,"4,660,479.5","14,633,905.5",112.3,352.6,"110,035.53","65,768.75",2.65,420,"1,122.5",670.9,27,,,"1,122.5",27,242,(SRMW) Middle Mississippi,"601 Brasilia Avenue
Kansas City, Missouri 64153
(39.30537, -94.716649)",203,5,3,130
31-IS-09910,4472781,Fire Station 36,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"16,120",64131,Fire Station,Fire Station,1960,,"1,945,948","1,216,426.7",60,120.7,75.5,"3,980,399.2","2,488,177.5",60,246.9,154.4,"2,044,856.1","4,084,252.7",126.9,253.4,"39,371.980000000003","24,611.72",2.44,388.5,277,173.1,17.2,54.1,3.4,222.8,13.8,240.4,(SPNO) KS-Western MO,"9903 Holmes Road
Kansas City, Missouri 64131
(38.947617, -94.582391)",162,1,7,163
28-IS-03210,4472744,Fire Station 18,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"12,202",64120,Fire Station,Fire Station,1978,,"1,300,022","1,046,321.6",24.2,106.5,85.8,"2,340,091.4","1,883,420.7",24.2,191.8,154.4,"1,389,182.4","2,418,722.2999999998",113.8,198.2,"21,034.48","16,929.580000000002",1.72,381,156.4,125.9,12.8,44.3,3.6,112.2,9.1999999999999993,240.4,(SPNO) KS-Western MO,"3211 Indiana Avenue
Kansas City, Missouri 64120
(39.068425, -94.543699)",77,3,7,36
10-IS-06310,4472749,Fire Station 29,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"11,339",64110,Fire Station,Fire Station,1968,,"998,640.8","821,674.2",21.5,88.1,72.5,"2,127,163","1,750,213.7",21.5,187.6,154.4,"1,038,415.9","2,160,049.9",91.6,190.5,"20,740.25","17,064.919999999998",1.83,353.2,149.69999999999999,123.2,13.2,25.6,2.2999999999999998,124.1,10.9,240.4,(SPNO) KS-Western MO,"1414 East 63rd Street
Kansas City, Missouri 64110
(39.013043, -94.56913)",64,2,7,165
09-IS-03410,4472743,Fire Station 17,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"11,586",64120,Fire Station,Fire Station,1979,,"1,115,065","842,191.2",32.4,96.2,72.7,"2,367,769","1,788,339",32.4,204.4,154.4,"1,162,260.3999999999","2,403,895.2000000002",100.3,207.5,"21,463.360000000001","16,210.94",1.85,340.5,166.5,125.8,14.4,28.8,2.5,137.69999999999999,11.9,240.4,(SPNO) KS-Western MO,"3401 Paseo Boulevard
Kansas City, Missouri 64120
(39.064793, -94.566976)",78,3,7,19
11-IS-04310,4472764,Fire Station 19,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"18,453",64111,Fire Station,Fire Station,1960,,"1,893,912.7","1,582,075.7",19.7,102.6,85.7,"3,409,698.6","2,848,284.1",19.7,184.8,154.4,"1,973,784","3,466,030.9",107,187.8,"33,448.79","27,941.37",1.81,338.2,228,190.4,12.4,64.5,3.5,163.5,8.9,240.4,(SPNO) KS-Western MO,"550 West 43rd Street
Kansas City, Missouri 64111
(39.049525, -94.593275)",42,4,7,50
06-IS-00910,4472780,Fire Station 10,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"12,244",64410,Fire Station,Fire Station,1977,,"988,958.9","1,091,311.2",-9.4,80.8,89.1,"1,712,652.7","1,889,903.5",-9.4,139.9,154.4,"1,035,780.9","1,755,418.8",84.6,143.4,"16,404.2","18,101.96",1.34,331.5,88.5,97.7,7.2,35.4,2.9,53.1,4.3,,,"1505 East 9th Street
Kansas City, Missouri 64410
(39.102975, -94.562515)",134,3,7,75
19-IS-08310,4472741,Fire Station 14,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"17,152",64110,Fire Station,Fire Station,1960,,"1,873,660.1","1,475,573.9",27,109.2,86,"3,361,715.5","2,647,470.2000000002",27,196,154.4,"1,960,496.6","3,434,188",114.3,200.2,"31,615.79","24,898.560000000001",1.84,299.2,224.5,176.8,13.1,64.099999999999994,3.7,160.4,9.4,240.4,(SPNO) KS-Western MO,"8300 N. Brighton Street
Kansas City, Missouri 64110
(39.244071, -94.520569)",244,6,4,135
01-IS-09000,4923212,Parks Dist. 2 - 9th St. Maintenance Facility,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"37,000",64101,Mixed Use Property,Other,1960,,"2,475,105.2999999998","2,310,396",7.1,66.900000000000006,62.4,"4,880,240.5999999996","4,555,478.4000000004",7.1,131.9,123.1,"2,657,746.7000000002","5,104,712.5",71.8,138,"43,996.79","41,068.959999999999",1.19,288.8,335.9,313.60000000000002,9.1,73.5,2,262.39999999999998,7.1,240.4,(SPNO) KS-Western MO,"1526 W. 9th St.
Kansas City, Missouri 64101
(39.104329, -94.603331)",241,4,7,56
55-IS-11110,4472777,Fire Station 03,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"10,700",64155,Fire Station,Fire Station,1960,,"1,083,133.8","899,306.3",20.399999999999999,101.2,84,"1,989,182.3","1,651,581.8",20.399999999999999,185.9,154.4,"1,127,620.5","2,023,415.5",105.4,189.1,"19,287.810000000001","16,014.32",1.8,261.8,134.5,111.7,12.6,35.9,3.4,98.6,9.1999999999999993,242,(SRMW) Middle Mississippi,"11101 N. Oak Trafficway
Kansas City, Missouri 64155
(39.295042, -94.575413)",104,5,4,82
53-IS-12010,4927967,KCI-Sand & De-Ice Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"17,415",64153,Other Services,Other Services,1960,,"1,215,107.6000000001","1,014,395.9",19.8,69.8,58.2,"2,094,244.1","1,748,316.4",19.8,120.3,100.4,,,,,,,,247.5,94.7,79.099999999999994,5.4,,,94.7,5.4,242,(SRMW) Middle Mississippi,"1 N. Manila Square
Kansas City, Missouri 64153",,,,
16-IS-03910,4472740,Fire Station 06,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"15,562",64110,Fire Station,Fire Station,1964,,"1,291,153.6000000001","1,507,284.1",-14.3,83,96.9,"2,057,617","2,402,048.2999999998",-14.3,132.19999999999999,154.4,"1,394,597.1","2,166,232.7000000002",89.6,139.19999999999999,"20,802.79","24,285.03",1.34,243,131.5,153.5,8.4,50.7,3.3,80.7,5.2,240.4,(SPNO) KS-Western MO,"2600 NE Parvin Road
Kansas City, Missouri 64110
(39.165123, -94.55071)",86,6,4,167
33-IS-04710,4472745,Fire Station 39,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"11,584",64133,Fire Station,Fire Station,1960,,"830,076","1,023,437.2",-18.899999999999999,71.7,88.3,"1,450,211.9","1,788,030.3",-18.899999999999999,125.2,154.4,"886,169.4","1,509,110.1",76.5,130.30000000000001,"14,286.95","17,615.009999999998",1.23,243,95.9,118.3,8.3000000000000007,29.4,2.5,66.599999999999994,5.7,240.4,(SPNO) KS-Western MO,"10003 East 47th Street
Kansas City, Missouri 64133
(39.037512, -94.462016)",165,3,7,37
16-IS-03900,4933244,PW Streets District 1 Main Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"25,848",64116,Office,Office,1960,,,"1,740,466.5",,,67.3,,"3,826,803.9",,,148.1,,,,,,"29,073.4",,242.3,0,273.8,0,,,,,240.4,(SPNO) KS-Western MO,"2400 NE Russell Rd.
Kansas City, Missouri 64116
(39.166555, -94.550205)",86,6,4,167
,4472933,Fire Station 44,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"3,856",64410,Fire Station,Fire Station,1964,,"500,507.8","325,139.3",53.9,129.80000000000001,84.3,"916,209.4","595,186.9",53.9,237.6,154.4,,,,,"9,500.02","6,171.39",2.46,240,30.8,20,8,,,30.8,8,,,"7511 NW Barry Road
Kansas City, Missouri 64410
(39.246898, -94.666998)",69,5,3,77
30-IS-04910,4472736,4900 Swope Parkway,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"53,444",64130,Office,Office,1960,56,"3,460,223","3,717,201.3",-6.9,64.7,69.599999999999994,"10,865,100.199999999","11,672,013.5",-6.9,203.3,218.4,"3,545,307.5","11,132,265.6",66.3,208.3,"106,794.25","114,725.43",2,237.8,831.9,893.7,15.6,,,831.9,15.6,240.4,(SPNO) KS-Western MO,"4900 Swope Parkway Building
Kansas City, Missouri 64130
(39.037256, -94.544699)",175,3,7,157
26-IS-01410,4472766,Fire Station 27/HazMat Facility 17,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"17,036",64126,Fire Station,Fire Station,1960,,"887,868.8","1,035,194.1",-14.2,52.1,60.8,"2,255,334.2999999998","2,629,565.2000000002",-14.2,132.4,154.4,,,,,"21,534.67","25,107.94",1.26,234,152.19999999999999,177.5,8.9,,,152.19999999999999,8.9,240.4,(SPNO) KS-Western MO,"6600 East Truman Road
Kansas City, Missouri 64126
(39.093762, -94.505345)",83,3,7,94
,4472778,Fire Station 07,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"9,615",64110,Fire Station,Fire Station,1978,,"816,348.2","701,566.4",16.399999999999999,84.9,73,"1,726,920.3","1,484,108.3",16.399999999999999,179.6,154.4,"845,969.2","1,745,096.8",88,181.5,"15,457.72","13,284.3",1.61,233.3,121.3,104.3,12.6,21.3,2.2000000000000002,100.1,10.4,240.4,(SPNO) KS-Western MO,"616 West Pennway Road
Kansas City, Missouri 64110
(39.087481, -94.592217)",149,4,7,92
