natural_gas_use_kbtu,portfolio_manager_id,postal_code,property_name,source_eui_kbtu_ft,total_ghg_emissions_mtco2e,district_steam_use_kbtu,site_eui_kbtu_ft,primary_property_type_epa_calculated,number_of_buildings,energy_star_score,location_1_address,year_built,fuel_oil_2_use_kbtu,property_floor_area_buildings_and_parking_ft,water_use_all_water_sources_kgal,electricity_use_kbtu,notes,philadelphia_building_id
"74,958.60",3762539,19104,"15,16,90-Haggerty/General Service/Law",191.8,1946.40,"13,907.10",61.3,College/University,3,Not Available,3300-3350 Market Street,1971,Not Available,237906,3777.70,14503064.30,,774530700
Not Available,3762549,19104,"27,27A-LeBow / CAT Engineering",297.8,1708.50,"5,238,777.30",120,College/University,2,Not Available,3100-16 Market Street,1989,Not Available,128347,8542.40,10164228.60,,774525000
"776,157.30",3762582,19104,81-3201 Arch Street,182.3,569.8,Not Available,65.2,College/University,1,Not Available,3201-21 Arch Street,1920,Not Available,72479,1119.40,3948813.40,,774513500
"2,277,897.10",3954726,19149,Roosevelt Mall-Macy's Building,81.2,1102.90,Not Available,30.7,Retail Store,1,96,2327-83 Cottman Ave,1960,Not Available,313000,1309.30,7335097.10,,882065510
"8,044,315.00",3820168,19103,Moore College of Art and Design Peter Hall,126,427.3,Not Available,122.3,College/University,2,Not Available,1920-1934 Race Street,1957,Not Available,110000,3081.10,5411520.70,,772521000
"675,182.70",3696901,19104,Griffith Hall,261.3,1268.30,Not Available,87.2,College/University,1,Not Available,4247 Woodland Ave,1928,Not Available,113332,1861.90,9206609.80,,773500500
Not Available,3956647,19121,IBC REC CTR,199.8,651.3,Not Available,100.7,College/University,1,Not Available,1449 C.B. MOORE,2000,Not Available,69093,4430.30,2805083.70,,777572705
"559,476.30",3958445,19122,Pearson/Mcgonigle,155.6,3161.70,"11,481,504.10",66.1,College/University,1,Not Available,1800-38 N. Broad St.,1969,Not Available,449750,4330.80,17701790.40,,777508500
"2,014.90",3958446,19122,RITTER HALL,291.1,1669.40,"13,906,708.90",218.9,College/University,1,Not Available,1301 C.B. MOORE,2000,Not Available,111090,1393.10,2428883.40,,777570000
-,3958447,19122,RITTER ANNEX,298.4,2280.10,"15,635,274.60",200.9,College/University,1,Not Available,1301 C.B. MOORE,2000,Not Available,153050,1065.70,5484991.30,,777540000
"31,008.30",3956649,19140,PNAH,840.8,7124.30,"68,240,068.80",515.5,College/University,1,Not Available,3307 N. Broad St.,2000,Not Available,169976,8915.90,19360015.60,,777528500
"52,994,072.80",3893235,19144,La Salle #4,220.2,7553.00,Not Available,116.7,College/University,16,Not Available,1924 W Olney Ave.,1899,Not Available,757521,19134.10,35395371.50,,776515000
"4,533.80",3956098,19122,BARTON,287.6,2236.50,"17,719,951.10",210.2,College/University,1,Not Available,1900 N. 13TH,2000,Not Available,152006,5696.50,3812657.50,,777512040
"4,453.20",3958448,19140,MERB,571.8,11712.50,"12,602,682.30",208.1,College/University,1,Not Available,3500 N Broad Street,2000,Not Available,485000,4645.50,88316371.80,,777532000
Not Available,3956655,19121,Liacouras Center Forum,139.5,1750.20,Not Available,65.9,College/University,1,Not Available,1776 N. Broad St.,2000,Not Available,270316,17292.80,8407676.40,,777508005
"51,155.00",3965855,19122,ANDERSON,314.1,3060.80,"12,230,631.80",166.8,College/University,1,Not Available,1114 W. POLETT WALK,2000,Not Available,207802,927,13146538.40,,777568800
"13,178.10",3966438,19122,ECEC,420.1,1069.20,Not Available,155,College/University,1,Not Available,1710-50 N. 15th Street,2000,Not Available,58020,57.7,6997537.70,,777573005
Not Available,3966439,19122,TUTTLEMAN LEARNING CENTER,368.4,2101.70,"11,240,781.60",228.5,College/University,1,Not Available,12TH STREET,2000,Not Available,117253,1314.20,6598033.50,,777570200
Not Available,3979390,19122,STUDENT CTR II,459.6,1946.50,"9,397,807.10",304.5,College/University,1,Not Available,"13th St., 1800 block",2000,Not Available,86182,929.2,5353933.00,,777569000
"6,463.20",3979396,19122,CONWELL HALL,342.4,1133.10,"6,528,016.20",215.6,College/University,1,Not Available,NE CORNER BROAD AND MONTGOMERY,2000,Not Available,67644,11683.40,3389706.00,,777509000
Not Available,3979397,19122,CARNELL HALL,301,1098.30,"4,718,652.30",181.1,College/University,1,Not Available,NE CORNER BROAD AND MONTGOMERY,2000,Not Available,75931,1018.90,3804977.10,,777509000
"4,609.30",3983811,19122,GLADFELTER,279.8,2585.20,"23,690,536.20",192.4,College/University,1,Not Available,1115 W. POLETT WALK,2000,Not Available,181566,3379.90,5168217.80,,777568800
"1,562,561.50",3594039,19134,2045 Wheatsheef Lain,48.1,397,Not Available,20.9,Distribution Center,1,84,2045 Wheatsheef Lain,1960,Not Available,187238,452.9,2345368.50,,884203500
"2,981,508.20",3637826,19154,Almo Corporation,63.8,458.1,Not Available,32.8,Distribution Center,1,89,2709 Commerce Way,2001,Not Available,159200,667.4,2239184.00,,884292580
"16,549,377.80",4319461,19107,Criminal Justice Center (CJC),272.5,7149.70,"2,731,434.30",107.9,Courthouse,1,41,1301 Filbert Street,1994,Not Available,600000,18028.50,45488374.60,,781092450
"612,522.00",3830422,19124,"Barsky-Fleming Marketing, Inc.",18,84.7,Not Available,9.6,Distribution Center,2,Not Available,2070-80 Wheatsheaf Lane,1920,Not Available,104000,165.3,389824.40,,884202100
"778,025.10",4092042,19132,"American Metal && Rubber, Inc.",22.3,54.1,Not Available,17.5,Distribution Center,1,68,2527-37 N Broad St,1900,Not Available,50000,35,95664.80,,884766800
Not Available,4104348,19134,500 Erie Ave,24.4,135.1,Not Available,7.8,Distribution Center,1,87,500-50 E Erie Ave,1930,Not Available,130000,178.7,1009199.00,,884048000
"904,525.70",4136009,19143,ABW Supply,32.2,165.6,Not Available,15.5,Distribution Center,1,92,5601 Paschall Avw,1910,Not Available,115000,270.6,877800.50,,884890600
Not Available,4489635,19134,2135 West Moreland Part,,,Not Available,,Distribution Center,1,100,2136 Onterio Street Pump,1970,Not Available,100240,,,,884201500
Not Available,3430362,19107,Gallery I,304.7,5621.80,Not Available,97,Enclosed Mall,1,Not Available,907-37 Market Street,1977,Not Available,432762,14288.50,41995953.70,,882506502
"12,695,434.10",3769081,19106,Reading Terminal Market,1276.50,4078.70,Not Available,522.3,Enclosed Mall,1,Not Available,12th and Arch Street,1892,Not Available,77452,16826.00,25431464.80,,781005760
"1,836,428.70",3959844,19102,Bellevue Associates,259.5,1044.10,Not Available,95.8,Fitness Center/Health Club/Gym,0,Not Available,220-24 S Broad St,1989,Not Available,93000,7103.80,7071240.30,,883427500
"159,115,212.00",1066282,19104,Philadelphia,381.1,23574.70,Not Available,198.7,Hospital (General Medical & Surgical),21,54,University and Woodland Avenues,1966,-,1691520,51883.00,112973742.50,,783531800
Not Available,3681741,19103,The Shops at Liberty Place,786.7,4851.50,Not Available,250.5,Enclosed Mall,1,Not Available,1625 Chestnut St.,1990,Not Available,144660,10466.00,36241513.40,,882862100
"70,948.90",3957537,19154,Franklin Mills Mall,304.7,20004.50,Not Available,97.1,Enclosed Mall,1,Not Available,1455 Franklin Mills Circle,1989,Not Available,1540168,24.3,149408852.80,,882693016
"2,474,933.70",4580141,,8350 Executive Drive Associates,280.2,821.5,Not Available,113.8,Food Service,1,Not Available,8350 Executive Avenue,1998,Not Available,67050,557.3,5154952.00,,884170400
"764,722.50",2561862,19104,Pennsylvania Hospital,515.3,20967.20,"117,730,325.00",247.8,Hospital (General Medical & Surgical),9,37,800 Spruce St,1756,Not Available,873226,69205.50,97929756.80,,771002000
Not Available,3969865,19140,BOYER PAVILION,314.5,5115.80,"33,313,890.80",159.9,Hospital (General Medical & Surgical),1,93,BROAD && VENANGO,2000,Not Available,344000,3678.70,21692066.40,,777533001
"418,754.50",3997483,19140,TEMPLE UNIVERSITY HOSPITAL SUPERBLOCK,782.7,31550.40,"199,356,665.90",393.4,Hospital (General Medical & Surgical),1,2,"Rock, Park Ave, Parkinson",2000,Not Available,1043288,39369.60,136638555.60,,777014000
"17,839,860.30",1059528,19153,33737-Philadelphia Airport,312.2,3558.70,Not Available,145.8,Hotel,1,21,One Arrivals Road,1995,Not Available,256162,15064.50,19505963.90,,
"563,632.50",3117180,19146,Penn Medicine At Rittenhouse,377.4,4600.40,"14,322,538.80",154,Hospital (General Medical & Surgical),1,61,1800 Lombard St,1980,Not Available,272165,10009.80,27037916.30,,772032010
"2,189,142.80",2848103,19104,Hospital of the University of Pennsylvania,646.7,54042.60,"311,901,319.80",314.4,Hospital (General Medical & Surgical),9,7,3400 Spruce St,1913,Not Available,1788504,143055.60,248133537.40,,773009000
"15,342,906.50",3890837,19111,Jeanes Hospital,368.9,8800.90,Not Available,136,Hospital (General Medical & Surgical),12,Not Available,7600 Central Avenue,1926,Not Available,930111,67559.00,59656534.00,,778024500
"2,257.20",3641686,19107,JHN Building,565.4,6232.20,"28,085,268.30",290.2,Hospital (General Medical & Surgical),1,50,900 WALNUT STREET,1980,Not Available,329142,8974.40,27641304.60,,771006900
"239,878.80",3635424,19107,Gibbon Building,656.1,24506.20,"108,299,384.70",389.4,Hospital (General Medical & Surgical),1,12,111 South11th Street,1978,Not Available,722268,54705.00,86770708.50,,771013000
"12,358,563.00",3240346,19106,Sheraton Hotel-Philadelphia Society Hill,215.7,3018.90,Not Available,94.7,Hotel,1,34,One Dock Street,1986,Not Available,317000,11727.30,17648290.20,,883710000
"2,067,202.90",3688012,19104,Philadelphia Ronald McDonald House,139.1,403.9,Not Available,65.4,Hotel,1,90,3921-3925 Chestnut St,1885,Not Available,79641,1611.10,2196782.10,,773080515
"39,960,235.00",3161456,19103,Sonesta - Philadelphia,286.3,3800.20,Not Available,184.8,Hotel,1,21,1800 Market Street,1980,Not Available,414000,17147.60,12533030.10,,883700600
"8,443,299.60",3408943,19153,PHI Philadelphia Airport Embassy Suites,204,1905.20,Not Available,91.6,Hotel,1,46,9000 Bartram Ave,2006,Not Available,211000,13742.00,10882229.40,,883743500
"3,908,162.00",3877095,19116,RAMADA,194.9,571,Not Available,102.2,Hotel,1,1,11550-11580 ROOSEVELT BLVD,1964,Not Available,64796,10290.00,2715164.50,,883763500
"26,234,186.80",3330734,19132,Dobbins CTE,126.8,1907.30,Not Available,96.3,K-12 School,1,74,2100-50 W LEHIGH AVE,1938,Not Available,312395,5722.40,3838875.30,,785314800
"3,339,657.50",3330725,19116,Loesche,89.1,362.1,Not Available,53.6,K-12 School,1,73,595 TOMLINSON RD,1967,Not Available,88000,1319.20,1379973.50,,786056400
"16,531,227.10",1567464,19144,William Penn Charter School,171.3,2389.40,Not Available,90.2,K-12 School,6,62,3000 West School House Lane,1925,Not Available,308325,4043.70,11290376.20,,775533000
"228,860.50",3330749,19120,Franklin ES,179.9,764.3,Not Available,108.1,K-12 School,1,46,5735 RISING SUN AVE,1916,"5,531,454.20",76930,821.8,2552478.60,,786458400
"17,325,802.00",3330775,19139,Sayre,144.6,1377.20,Not Available,103.7,K-12 School,1,50,5800 WALNUT ST,1950,Not Available,200000,2160.60,3413583.20,,783568200
"92,980.70",3330748,19120,Finletter,158.4,621.7,Not Available,119.8,K-12 School,1,21,6101 N FRONT ST,1930,"6,330,611.90",62760,21.3,1097708.00,,785202400
"4,276,221.60",3330769,19152,Pollock,117.4,401,Not Available,76.4,K-12 School,1,56,2850 WELSH RD,1962,Not Available,73000,1072.90,1298914.30,,786569600
"182,461.20",3330767,19152,Farrell,107.1,378.9,Not Available,60.3,K-12 School,1,35,8300 CASTOR AVE,1958,"2,381,880.00",66382,86.3,1437642.40,,786066400
"3,857,915.20",3330790,19139,Hamilton,119.6,488.7,Not Available,66.8,K-12 School,1,38,5640 SPRUCE ST,1968,Not Available,89500,425,2120277.50,,783499600
"2,709,841.40",3330791,19143,Harrington,76.6,239.7,Not Available,51.5,K-12 School,1,63,5300-34 BALTIMORE AVE,1926,Not Available,66500,382.3,715764.60,,783029800
"3,134,776.10",3330802,19104,Miller,287.3,849.3,Not Available,122.5,K-12 School,1,1,4300 WESTMINISTER AVE,1967,Not Available,67200,142.5,5100534.00,,783364400
"152,696.50",3330803,19143,Anderson,85.6,334.3,Not Available,55.6,K-12 School,1,60,1034 SOUTH 6OTH ST,1963,"2,697,758.80",68235,844.3,941410.40,,783782600
"13,075,489.90",3330807,19130,Franklin HS,123.8,1387.70,Not Available,75.3,K-12 School,1,54,550 NORTH BROAD ST,1958,Not Available,242293,4022.60,5178392.40,,782025600
"164,874.90",3330804,19104,Locke,135.6,577,Not Available,81.5,K-12 School,1,25,4550 HAVERFORD AVE,1965,"4,188,990.00",77000,637.8,1922661.30,,783206951
"8,654,294.10",3330827,19145,GAMP,232.9,900.8,Not Available,143.2,K-12 School,1,12,22ND & RITNER ST,1914,Not Available,83460,487.3,3295594.80,,782462200
"5,331,808.00",3330854,19121,Blaine,108,451,Not Available,74.6,K-12 School,1,19,3001-29 WEST BERKS ST,1967,Not Available,88317,926.2,1253818.60,,784035900
"159,121.50",3330855,19151,Cassidy,136.7,517.6,Not Available,108.5,K-12 School,1,20,6523 LANDSDOWNE AVE,1924,"5,507,856.10",59123,2050.30,749765.20,,783262200
"5,643,207.40",3330840,19148,Sharswood,113,398.9,Not Available,87.4,K-12 School,1,38,2300 S 2ND ST,1906,Not Available,73000,462.9,740542.90,,781432200
"277,549.30",3330858,19140,Kenderton,108.4,533.4,Not Available,63,K-12 School,1,56,1500 W ONTARIO ST,1962,"3,548,393.80",91008,798.4,1907346.90,,785657200
"495,420.40",3330829,19147,Palumbo,113,1290.40,Not Available,84.1,K-12 School,1,73,1122 CATHARINE ST,1980,"12,654,737.80",185206,1085.70,2427816.80,,781043800
"4,579,027.90",3330853,19139,Daroff,148.7,577.7,Not Available,83.2,K-12 School,1,57,5630 VINE ST,1972,Not Available,85080,1502.50,2498589.20,,783541800
"10,019.40",3330876,19134,Stetson,141.4,1043.30,Not Available,76.1,K-12 School,1,13,3200 B ST,1917,"6,397,265.10",140000,5463.00,4243518.00,,786010400
"99,138.30",3330883,19122,Dunbar,119.2,378.1,Not Available,82.9,K-12 School,1,47,1720-58 N 12 TH ST,1932,"3,429,851.90",53200,1646.10,883828.40,,781641600
"4,249,101.20",3330885,19122,Elverson (Military),95.4,338.6,Not Available,68.3,K-12 School,1,38,2118-60 N 13TH ST,1930,Not Available,74557,288.8,843787.60,,781654210
"2,359,433.00",3330905,19120,Marshall T,97.7,494.7,Not Available,44.9,K-12 School,1,86,5118-50 N 6TH ST,1997,Not Available,114000,876.7,2759288.50,,786687225
"5,750,747.70",3330903,19123,Kearny,214.4,495.9,Not Available,146.4,K-12 School,1,1,601 FAIRMOUNT AVE,1922,Not Available,49000,461.6,1422487.00,,781088800
"1,697,410.60",3330867,19151,Overbrook Education Center,125.5,309.1,Not Available,60.5,K-12 School,1,79,6722 LANSDOWNE AVE,1915,Not Available,55128,213.5,1635493.40,,783262225
"5,162,088.00",3330910,19140,Munoz Marin,174.6,930.6,Not Available,84.4,K-12 School,1,13,3300 N 3RD ST,1997,Not Available,119250,817.2,4903299.90,,786636550
"3,227,752.70",3330892,19122,McKinley,142.1,477.1,Not Available,74.2,K-12 School,1,29,2101 ORKNEY ST,1970,Not Available,74314,2673.70,2283644.40,,786525600
"4,807,254.50",3330879,19133,deBurgos,109.1,651.7,Not Available,59.1,K-12 School,1,67,401 W LEHIGH AV,2002,Not Available,131500,1189.50,2960700.20,,786272100
"202,866.60",3330880,19134,Conwell,126.1,442.4,Not Available,98.1,K-12 School,1,77,1849 E CLEARFIELD AVE,1926,"4,553,309.90",55600,377,700178.90,,786072800
"5,274,281.10",3330911,19133,Hunter,188.2,834.4,Not Available,95.6,K-12 School,1,20,2400-54 N FRONT ST,2004,Not Available,98500,3260.30,4140663.30,,786154910
"2,461.40",3330934,19140,Steel,120.6,505.7,Not Available,55.5,K-12 School,1,50,4301 WAYNE AVE,1973,"2,146,313.90",85350,1105.80,2587155.50,,785508805
"4,456,291.90",3330941,19144,Kelly John,111.8,523.2,Not Available,64.7,K-12 School,1,73,5116 PULASKI AVE,1970,Not Available,101976,1872.60,2140274.60,,785401600
"147,163.50",3330928,19141,Logan,133.7,564.3,Not Available,108.6,K-12 School,1,8,1700 LINDLEY AVE,1924,"6,184,056.20",65000,882.2,729234.50,,785689600
"5,191,604.70",3330924,19119,Henry,132.3,412.3,Not Available,95,K-12 School,1,55,601 CARPENTER LN,1908,Not Available,65400,523.4,1020382.80,,784048800
"187,563.00",3330937,19144,Wister,83.5,462.4,Not Available,57.5,K-12 School,1,83,67 E BRINGHURST ST,1958,"4,085,628.40",93715,1148.40,1114634.50,,785046000
"6,784,026.40",3330950,19141,Birney,210.3,587.3,Not Available,143.2,K-12 School,1,28,900 WEST LINDLEY AVE,1913,Not Available,59200,1050.30,1695720.00,,785317200
"148,776.30",3330966,19141,Prince Hall,145.3,578.7,Not Available,71.8,K-12 School,1,26,6101-6167 N GRATZ,1973,"2,824,583.80",79000,1144.10,2697972.10,,785259000
"120,445.40",3330977,19154,LaBrum,202.5,385.2,Not Available,66.3,K-12 School,1,29,10800 HAWLEY ST,1974,Not Available,44500,648.3,2829760.60,,786442000
"5,295,980.70",3330981,19116,Comly,262.6,436.6,Not Available,184.2,K-12 School,1,6,1001 BYBERRY RD,1928,Not Available,35045,933.1,1160083.80,,786057000
"7,131,395.50",3337457,19131,Blankenburg,164.6,508.7,Not Available,126.6,K-12 School,1,18,4612-72 W GIRARD AVE,1925,Not Available,64000,760.9,970252.40,,783175200
"12,851,202.30",3408313,19111,Fels HS,219.8,2448.10,Not Available,104.2,K-12 School,1,12,1001 DEVEREUX AVE,2009,Not Available,249787,3552.70,13188717.50,,786264650
"234,787.10",3333128,19142,Patterson,103.4,494.8,Not Available,86.3,K-12 School,1,65,7001 BUIST AVE,1921,"5,507,027.90",72876,581.2,550512.20,,783072600
949.2,3330982,19154,Fitzpatrick,130,596.5,Not Available,72.6,K-12 School,1,21,11061 KNIGHTS RD,1959,"3,927,618.10",94466,1138.40,2278659.20,,786249100
"3,757,571.40",3337456,19125,Adaire,135.7,320,Not Available,93.4,K-12 School,1,50,1300 E PALMER ST,1957,Not Available,49890,482.1,899739.60,,781352000
"5,355,641.20",3498628,19145,McDaniel,220.8,618.9,Not Available,128.7,K-12 School,1,2,2100 Moore St,1937,Not Available,61000,364.6,2497976.00,,782791400
"321,757.80",3404349,19144,Roosevelt MS,104.2,860.4,Not Available,76.1,K-12 School,1,14,430 E WASHINGTON LANE,1924,"8,233,769.80",135315,1887.20,1735538.00,,784471600
"4,592,513.00",3337468,19140,Clemente,96.1,992.3,Not Available,43.7,K-12 School,1,68,122 W ERIE AVE,1994,Not Available,232815,1407.90,5590196.90,,786125000
"2,973,310.20",3599558,19121,Boone,125.3,325.4,Not Available,75.1,K-12 School,1,36,W Jefferson St,1963,Not Available,56265,303.8,1250807.10,,782813600
"922,569.30",3657578,19144,Imani Education Charter School,122.6,329.7,Not Available,49,K-12 School,7,Not Available,5612 Green St,1927,Not Available,61592,1533.60,2096802.60,,775095805
Not Available,3736431,19150,St. Raymond of Penafort,24.2,64,Not Available,7.7,K-12 School,2,100,1350 E Vernon Road,1950,Not Available,61900,854,477840.70,,775329000
"4,242,920.10",3687689,19124,First Philadelphia Charter School,182.7,644.2,Not Available,94.3,K-12 School,1,70,4300 Tacony St.,2002,Not Available,78150,683,3128565.20,,778531800
"2,091,988.90",3695833,19136,Father Judge High School,93.6,750.5,Not Available,55.6,K-12 School,3,93,3301 Solly Avenue,1954,"3,809,214.10",153961,1233.70,2664635.50,,778508000
"1,827,849.20",3773891,19140,Esperanza Academy,251.4,780.9,Not Available,97.1,K-12 School,1,13,301 W Hunting Park Ave,1930,Not Available,71440,485.6,5108221.20,,777577905
"1,712,461.70",3782240,19116,Mast Charter School,203.7,1264.90,Not Available,72.8,K-12 School,2,41,1800 Byberry Rd,2001,Not Available,169148,849.1,8769536.00,,778500305
"6,525,402.10",3891486,19103,Friends Select School,172.3,960.2,Not Available,90.1,K-12 School,1,39,17th and The Benjamin Franklin Parkway,1969,Not Available,123306,1038.10,4583830.90,,772199000
"2,891,810.60",3892939,19116,Philadelphia Academy High School,131.6,500.9,Not Available,64.5,K-12 School,1,36,1700 Tomlinson Road,1950,Not Available,85000,432.2,2594211.80,,778299100
"2,302,630.90",4123955,19125,Brown HA,93.5,289.5,Not Available,52.4,K-12 School,1,57,1900 E SERGEANT ST,1959,Not Available,67795,1003.80,1249091.20,,786491000
Not Available,3892825,19120,401 East Roosevelt Blvd,,,Not Available,,K-12 School,1,Not Available,401 East Roosevelt Blvd,1950,Not Available,73983,,525012.30,,776251000
"5,204,578.90",4123946,19123,Bodine,141.7,400,Not Available,103.9,K-12 School,1,39,1101 NORTH 4TH ST,1935,Not Available,59000,637,922866.80,,781462800
Not Available,3977128,19114,Nazareth Grade School and High School,76.6,244.9,Not Available,24.4,K-12 School,1,97,4001 Grand Ave,1932,Not Available,75000,,1829084.10,,778501500
"5,805,031.30",3680639,19134,Active Radiator,214.9,644,Not Available,127.9,Manufacturing/Industrial Plant,1,Not Available,2251-71 E Tioga Street,1947,Not Available,62000,504.3,2507371.70,,884839110
"1,807,154.70",3975948,19116,"fmi direct mail advertising, inc",117.4,315.4,Not Available,57.4,Mailing Center/Post Office,1,Not Available,2100 Kubach Road,2000,Not Available,60000,232.6,1638925.50,,884233850
"5,395,308.40",3697969,19124,401-425 E Hunting Park Ave,190.5,954.8,Not Available,92.7,Manufacturing/Industrial Plant,1,Not Available,401-425 E Hunting Park Ave,1978,Not Available,112000,1431.20,4991605.90,,884184000
"5,101,779.80",3862942,19114,"KRG Enterprises, Inc.",93.7,905.2,Not Available,45.6,Manufacturing/Industrial Plant,1,Not Available,9901 Blue Grass Road,1965,Not Available,216000,357.6,4737944.10,,884274000
"1,131,883.20",3641728,19107,Medical Office Building,357.2,1276.00,"191,040.00",124.3,Medical Office,1,14,1100-04 Walnut Street,1985,Not Available,82972,8727.50,8988159.90,,771020500
Not Available,3856432,19106,Walnut Towers,471.7,4731.40,"7,144,114.40",169.4,Medical Office,1,9,834 Walnut St,1987,Not Available,401018,16044.20,31800761.20,,883400500
"1,425,709.60",3979549,19124,Churchville,47,159.9,Not Available,27.8,Manufacturing/Industrial Plant,1,Not Available,1299 Unity Street,1919,Not Available,73918,826.9,629152.70,,884344940
"9,210,814.80",3980474,19107,Masonic Temple,155.7,1372.00,Not Available,81,Museum,1,Not Available,One N.Broad Street,1868,Not Available,195058,1618.60,6594665.80,,771032200
"14,137,691.40",4035747,19107,"834 Chestnut Street, Philadelphia",226.8,4749.20,Not Available,91.9,Multifamily Housing,1,20,"834 Chestnut Street, Philadelphia, PA 19107",1925,Not Available,478920,22359.40,29867518.60,,888054315
Not Available,3960078,19103,The Chatham,85.3,310.4,Not Available,27.2,Multifamily Housing,1,95,135 S. 20th Street,1927,Not Available,85328,4.5,2318645.10,,881026300
"2,454,356.80",4138565,19146,The Landreth,66.4,209,Not Available,45.7,Multifamily Housing,1,94,1201 S 23rd St,1930,Not Available,66619,1995.70,587564.80,,886650200
"5,889,733.60",3780992,19103,Watermark at Logan Square,192.3,3779.50,Not Available,69.9,Multifamily Housing,1,7,2 Franklin Town Blvd,1984,Not Available,508400,20945.00,25896523.80,,881435700
Not Available,3569547,19123,900-58 N. 9TH STREET,0.2,3.8,Not Available,0.1,Non-Refrigerated Warehouse,1,100,900-58 N. 9TH STREET,1929,Not Available,360000,,28026.80,,884072000
"939,987.00",3696620,19129,"4250 Wissahickon Avenue, Inc.",62.1,213.1,Not Available,27.9,Non-Refrigerated Warehouse,1,48,4250 Wissahickon Ave.,1938,Not Available,77456,149.4,1218726.10,,884131060
"175,200.00",3663490,19144,0542-Philadelphia - Wayne Ave.,38.2,177.7,Not Available,13.2,Non-Refrigerated Warehouse,1,40,4433 Wayne Ave.,2009,Not Available,108210,30,1257571.10,,884071500
"584,241.90",3782942,19114,2501 Grant Ave,19,102.8,Not Available,9.2,Non-Refrigerated Warehouse,1,99,2501 Grant Ave,1960,Not Available,121200,85,536456.80,,884286000
