electricity_use_kbtu,objectid,street_address,property_name,opa_account_num,postal_code,num_of_buildings,year_built,primary_prop_type_epa_calc,total_floor_area_bld_pk_ft2,portfolio_manager_id,natural_gas_use_kbtu,fuel_oil_o2_use_kbtu,steam_use_kbtu,energy_star_score,site_eui_kbtuft2,source_eui_kbtuft2,water_use_all_kgal,total_ghg_emissions_mtco2e,notes
3532644.9,2671,215 S BROAD ST,215 S. Broad,883026005,19107,1,1930,Office,50456,3597476,60742.3,,822268,47,87.5,240.7,1476.4,530.7,
27654376,2453,3 BENJAMIN FRANKLIN PKWY,Three Parkway,883060510,19102,1,1970,Office,610065,1238832,87004.8,,8967663,88,60.2,160.2,8255.2,4302,
116006294,2473,1701 JOHN F KENNEDY BLVD,L61864 - 1701 JFK Blvd,883056605,19103,1,2008,Office,1538959,1767519,2709896.8,,22286758.8,82,91.6,256,33684.8,17153,
35824055.2,2476,1200 MARKET ST,Loews Philadelphia Hotel,883705320,19107,1,1932,Hotel,735000,1946616,5529130.1,,19316064.7,51,93.3,217.7,22082.1,6371.8,
102457173.8,2501,801-49 PINE ST,Pennsylvania Hospital,771002000,19104,9,1756,Hospital (General Medical & Surgical),873226,2561862,1177246.9,,112971658.2,37,248.1,525.5,91248,21279.2,
53173461,2502,101 N INDEPENDENCE MALL E,140399 Plaza,883014510,19106,1,1970,Office,595902,2669173,222900,,25638490.6,73,149,373.4,16099,8832.3,
260544994.4,2506,3400 SPRUCE ST,Hospital of the University of Pennsylvania,773009000,19104,9,1913,Hospital (General Medical & Surgical),1788504,2848103,2085250,,299687851,7,313.8,659,154594.3,54887.6,
490990.2,3469,4123 G ST,Juniata,884114205,19124,1,2005,Self-Storage Facility,59850,3989966,296071.7,,,,13.2,31,8.2,81.5,
100630866.6,2514,3800 POWELTON AVE,Penn Presbyterian Medical Center,774002001,19104,10,1922,Hospital (General Medical & Surgical),959580,2867268,92806629.2,,8372928.8,62,196.3,412,45742.1,18956.4,
4534715.2,2520,233-55 S 8TH ST,Hall Mercer at PAH,771004000,19106,1,1980,Medical Office,70902,3107955,54.4,,2796656.2,59,103.4,248.3,1996.7,792.7,
27222570.3,2523,1801 SOUTH ST,Penn Medicine At Rittenhouse,772032010,19146,1,1980,Hospital (General Medical & Surgical),272165,3117180,581702.9,,14296640.2,64,154.7,379.5,12007.1,4624.3,
67741063.2,2531,1301-25 CHESTNUT ST,The Wanamaker Building,882497505,19107,1,1902,Office,1706638,1619606,866834.2,,17264196.1,83,61.8,168.6,23838.8,10260.6,
94151990.4,2535,1735 MARKET ST,"1735 MARKET STREET - OFFICE, Site # 602850",883053525,19103,1,1990,Office,1503469,1750728,176138.6,,375190.6,68,67,209.6,21115.3,12638,
1450866.3,2539,1645 SPRING GARDEN ST,Masterman,782513600,19130,1,1933,K-12 School,105000,3330813,178352.8,,6083231.4,67,73.5,114.9,501,607.6,
2138953.1,2542,620-34 N 15TH ST,Franklin Learning Center,782640200,19130,1,1909,K-12 School,150000,3330819,236181,,10464502.6,57,85.6,130.4,593,993.7,
3215468.8,2606,2213-21 CHESTNUT ST,American Red Cross - Humanitarian Services,883324100,19103,1,1972,Office,80679,3591160,205.2,,1989291.9,77,68.9,165.4,1153.9,562.5,
3806239.5,2609,1429-33 WALNUT ST,1429-1433 Walnut St.,882020850,19102,1,1916,Office,76989,3596562,2170.2,,995541.4,70,62,169.8,1083,575.7,
19736130.5,2610,1500-06 WALNUT ST,1500-1506 Walnut St.,883040500,19102,1,1930,Office,329425,3596612,2721935.6,,9204064.7,49,114.9,275.5,8320.8,3397.7,
87773870.6,2690,111 SOUTH11TH ST,Gibbon Building,771013000,19107,1,1978,Hospital (General Medical & Surgical),722268,3635424,234338.4,,97364728.7,14,383.6,650.2,51935.7,24202.8,
10493998.4,2692,1001-41 WALNUT ST,Main Building,771020000,19107,1,1906,Hospital (General Medical & Surgical),169807,3635906,2154.6,,17526725.8,76,252.3,405.5,20869.9,3349.8,
29379875.6,2712,900-10 WALNUT ST,JHN Building,771006900,19107,1,1980,Hospital (General Medical & Surgical),329142,3641686,1744.2,,30925796.9,39,315.4,608.8,501.9,6724.5,
19758857.9,2713,1000-32 CHESTNUT ST,Foerderer Pavilion,771013000,19107,1,1954,Hospital (General Medical & Surgical),233930,3641702,3078,,38431276.5,26,368.1,582.2,11444.4,6668.5,
71992756.4,2852,1201 MARKET ST,33703-Philadelphia,883704500,19107,1,1993,Hotel,1299546,3351512,78000000.2,,8317141.8,38,122.3,245.7,57731,14332.6,
13644164.9,2854,1319-25 MARKET ST,57164- Residence Inn Philadelphia - Center City,883704600,19107,1,1990,Hotel,243058,3351611,641000,,9256210.6,29,96.9,224.8,9561,2475.1,
10572829.2,2914,230-34 W WASHINGTON SQ,Farm Journal,771005500,19107,1,1910,Medical Office,102855,3673215,9420.1,,11275556.9,9,212.5,454.8,9133.6,2164.5,
12237639.6,2936,17 S 17TH ST,Westin Philadelphia Hotel,883704000,19103,1,1990,Hotel,240000,3687917,1352061.5,,7804126.8,47,89.1,205.1,21276,2228.2,
19728897.1,2937,23-31 N JUNIPER ST,Philadelphia Downtown Courtyard,883704700,19107,1,1926,Hotel,424000,3687925,1042888.8,,21634502.8,36,100,210.1,18384.8,4132.9,
2586296,2975,1207-09 CHESTNUT ST,1207 Chestnut,883311000,19107,1,1925,Office,51676,3759390,282327.8,,631770.7,59,67.7,177.6,1290,403.2,
16417383.9,2863,116-22 S 17TH ST,Sofitel Philadelphia,883703600,19103,1,2000,Hotel,290966,3410522,3898400.1,,5814517.4,48,89.8,215.3,11802,2790.9,
20536497,2880,1400 S PENN SQ,73R49-Philadelphia Ritz Carlton,883702100,19102,2,1999,Hotel,350000,3505342,3328693.5,,21447860.5,21,129.5,267.9,21218.7,4350,
22498693.9,3050,1701-15 LOCUST ST,RD - PLPH Warwick,883703900,19103,1,1926,Hotel,426999,4504913,2939293.8,,22610774.4,12,112.5,236.4,21064.5,4669.2,
42750892.8,3071,1301-19 FILBERT ST,Criminal Justice Center (CJC),781092450,19107,1,1994,Courthouse,600000,4830342,9393858.1,,3719966.5,51,93.3,247.8,18279.8,6477.7,
5293438.2,3104,1501-11 RACE ST,Bellet,772027000,19102,1,1960,Office,129532,3790349,366153.5,,3127048.4,82,67.8,160.3,2306.5,935.7,
5356652.3,3018,1305-11 WALNUT ST,Holiday Inn Express Midtown,883700000,19107,1,1964,Hotel,110000,3727278,157202.3,,3603.5,48,50.2,154.4,7608.4,622.9,
17040189.9,3187,3501 CHESTNUT ST,Sheraton University City Hotel,883730000,19104,1,1976,Hotel,252880,3876329,6003205.3,,11206537.5,9,168.8,361.3,31256.7,3344.1,
13242504.3,3388,1313-17 WALNUT ST,The Philadelphia Building,883021000,19107,1,1927,Office,207778,4991740,192595.2,,2842876.8,81,66.1,183.5,2960.1,1971.7,
39454252.6,3275,2000-24 MARKET ST,2000 Market Street,883320500,19103,1,1972,Office,661669,3894669,10778.4,,47435074.2,44,130.5,271.9,222.4,8431.8,
3674713.8,3286,1516-18 WALNUT ST,1518 Walnut Street,883334010,19102,1,1929,Office,103560,3938855,3068.1,,4150300.2,86,75.6,159.7,1088,767.7,
12255593.5,3303,201 N 17TH ST,Sheraton Philadelphia Downtown,883720000,19103,1,1980,Hotel,800562,3954641,2674829.9,,30006874,97,56.5,97.3,49036.3,3775.1,
26535987.2,3421,100 S INDEPENDENCE MALL W,100 Independence- DOW Building,883013010,19106,1,1965,Office,415479,5705392,6074946.1,,3517374.9,94,87,226.1,6628.5,3599.4,
140124459.6,3486,3401-41 N BROAD ST,TEMPLE UNIVERSITY HOSPITAL SUPERBLOCK,777014000,19140,1,2000,Hospital (General Medical & Surgical),1043288,3997483,206711.2,,179495437.4,3,374,767.3,87754.2,30687.1,
76746013.6,2452,1717 ARCH ST,Three Logan Square,883059004,19103,1,1990,Office,1377698,1218039,,,23145963.2,76,82,220.6,17733.1,11810.5,
2426317.6,2660,201 S 11TH ST,Martin Building,881008255,19107,1,1959,Residence Hall/Dormitory,81525,3641704,,,3414840,46,128.4,200.6,1970.4,795.5,
19914506.5,2662,917-33 CHESTNUT ST,925 Chestnut Street,883313700,19107,1,1931,Medical Office,262308,3641781,,,11452848.1,62,119.6,290.9,7175.3,3426.3,
6550047.1,2665,1420-24 WALNUT ST,1420 Walnut,883039500,19102,1,1927,Office,108000,3642348,,,1990421.8,64,79.1,212.6,2319.7,1009,
3155956.7,2670,1211-15 CHESTNUT ST,1211 Chestnut St.,883311500,19107,1,1919,Office,100366,3597401,,,2106127.8,92,52.3,123.7,1702.4,562.3,
26568008.9,2436,150 S INDEPENDENCE MALL W,Public Ledger,883003510,19106,1,1904,Office,535382,1516957,,,16761852.5,73,80.9,193.5,11001.8,4669.5,
38249407.1,2443,1835 MARKET ST,1835 Market Street,883104005,19103,1,1986,Office,751503,19331,,,14048013.1,83,76.2,199.6,14597.6,6053,
36820563.9,2444,1801-21 MARKET ST,12589 Ten Penn Center,883054000,19103,1,1981,Office,718644,26081,,,10062310.8,92,65,177,10122.3,5597.1,
36502531.4,2445,1818-28 MARKET ST,1818 Market St,883033001,19103,1,1973,Office,1375871,29230,,,21886722.2,92,59.1,142.6,17650.5,6339.7,
53252585.3,2447,1700-40 MARKET ST,1700 Market Street,883032000,19103,1,1968,Office,925698,1060573,,,21099386.6,78,80.3,208.1,12194.1,8529.7,
10196843.9,2463,901-15 CHESTNUT ST,PA0143ZZ - RN NIX FED BLDG & USPO,781051010,19107,1,1937,Office,405240,1299442,,,6765512.2,94,42.9,101.5,2175,1814.2,
22841043.7,2465,3521-35 MARKET ST,3535 Market,883073000,19104,1,1973,Medical Office,494608,1339876,,,6892044.8,87,60.1,161.8,5506.4,3515.3,
31992536.1,2466,1622-50 ARCH ST,Arch 1650 Partners LP,883058000,19103,1,1974,Office,663328,1439909,,,19953255.8,79,78.3,187.6,8356.6,5607.6,
44056358.2,2467,22-34 S 17TH ST,"United Plaza Lease, L.P.",883051500,19103,1,1975,Office,699896,1440658,,,11889822.2,85,77.9,212.5,10307.3,6687.1,
30535670.1,2470,1501-39 MARKET ST,1515 Market Street,883337500,19102,1,1958,Office,564078,1476210,,,10989755.5,72,73.6,193.4,9076.6,4817.4,
4664077.8,2478,2100-12 ARCH ST,Jewish Federation,772636525,19103,1,1913,Office,120943,1973738,,,2901957.1,88,62.6,150,1578.6,817,
8465612.1,2488,1832-44 SOUTH ST,Tuttleman Building,772036205,19146,1,1989,Medical Office,74460,3306120,,,5681233.1,9,190,448.8,6916.7,1510.5,
63274652.9,2495,1234 MARKET ST,SEPTA Headquarters,883309050,19107,1,1973,Office,759793,2363717,,,14122037.4,73,108.4,302,14096.3,9408,
73714861.1,2524,900-22 RACE ST,GLC 16200/900 RACE ST/PHILADELPHIA/PA,771618000,19107,1,1905,Office,977314,3120916,,,4536686.5,2,160.1,484.8,8107,10169.1,
28910660.8,2533,1600 JOHN F KENNEDY BLVD,Four Penn Center,883056000,19103,1,1964,Office,543134,1650661,,,14994740.7,77,80.8,200.4,4937.9,9702.3,
113855642.2,2534,1500-42 MARKET ST,Centre Square - 1500 Market Street,883320000,19102,1,1974,Office,2260778,1750694,,,37282816.8,75,73.6,195.9,27087,17716.9,
5080628.4,2772,919-21 WALNUT ST,Nevil Building,771695000,19107,1,1906,Office,135825,3642429,,,4107360,80,67.6,153.8,1644.2,952.8,
6993163.5,2702,1628-36 CHESTNUT ST,Club Quarters Hotel,883704900,19103,1,1927,Hotel,255000,3637500,,,2698.4,97,27.4,86.1,6937.4,936.3,
9498240.3,2714,1001 LOCUST ST,Hamilton Building,771016000,19107,1,2007,Office,232213,3643275,,,5837465.9,68,105.5,253.5,3957.2,1659.1,
3889048.8,2716,901-03 WALNUT ST,901 Walnut Street Building,771017500,19107,1,2010,Office,85000,3643346,,,7135343.7,36,205.8,320.8,501.9,1335.3,
9559110.4,2734,1524-30 WALNUT ST,1528 Walnut,883041500,19102,1,1927,Office,206625,3663168,,,7116163.1,78,80.7,186.7,6212.9,1752.1,
25506679,2858,3020-52 MARKET ST,178-3020 MARKET,883071700,19104,1,1959,Office,254750,3365000,,,9092421.8,21,167.1,439.8,4443.8,4018.2,
3819392.8,2867,1709 BENJAMIN FRANKLIN PKWY,United Way,772687010,19103,1,1970,Office,75400,3479871,,,1771418.5,83,74.1,187.3,813.3,628.9,
29014924.7,2873,801 MARKET ST,801 Market Street,882506315,19107,1,1909,Office,616379,3498314,,,30682716.1,83,96.9,207.7,7359.4,5921.4,
39987479.9,2883,1631-37 ARCH ST,GLC 11310/1631 ARCH ST/PHILADELPHIA/PA,772614000,19103,1,1905,Office,160661,3512076,,,4753934.6,1,278.5,817.1,3786,5668.6,
11973854.4,2827,1628 JOHN F KENNEDY BLVD,8 Penn,883056500,19103,1,1981,Office,235000,3679860,,,6370774.1,81,78.1,192.6,10372.8,2025.9,
25629988.6,2830,1500 JOHN F KENNEDY BLVD,2 Penn,883055500,19103,1,1956,Office,500000,3681289,,,6739985.6,82,64.7,177.2,15410.5,3878.5,
28119213.2,3016,1701 MARKET ST,1701 Market Street,883053530,19103,1,1957,Office,414598,3715845,,,3972119.8,45,105.2,305,6076.3,4027.9,
17511271.1,3020,700-34 RACE ST,Police Administration Building,781379300,19106,1,1956,Office,126000,4830355,,,6169441.7,5,187.9,495.3,5270.4,2753.8,
42402322.9,3033,1601-23 MARKET ST,APF - 1601 Market Street,883338000,19103,1,1968,Office,781516,4179755,,,15242552.9,82,80.8,212.4,10202.1,6688.3,
29679445.8,3129,1 S BROAD ST,One South Broad,883318500,19107,1,1932,Office,526472,3820092,,,13634816.9,58,82.3,208.2,4871.9,4878.4,
3853519.6,3186,112 N BROAD ST,centralized comprehensive human services,883023400,19102,1,1896,Medical Office,106218,3876067,,,3158469.3,68,66,149.7,2075.4,725.6,
4523015.4,3212,1216-20 ARCH ST,Young Smyth Field Condominium Association,Multiple,19107,1,1902,Office,125000,3884289,,,2397671.2,85,55.4,136.7,1738.4,764.7,
3411243.2,3221,1420-22 CHESTNUT ST,1420-22 Chestnut Street,883035500,19103,1,1948,Office,122000,3890976,,,2748150.2,94,50.5,114.9,1425.9,639.1,
5662643.9,3222,1015-19 CHESTNUT ST,1015 Chestnut Street,883310000,19107,1,1940,Office,135000,3890983,,,5375743,76,81.8,179.6,2252.5,1115,
31389069.3,3164,800-34 WALNUT ST 3,Walnut Towers,883400500,19106,1,1987,Medical Office,401018,3856432,,,6923605.7,11,166.6,464.9,13944,4661.6,
19949124.6,3166,625 E WISTARIA ST,GT Penn & LTSR,"776008020; 776008030",19144,2,1980,Senior Care Community,182687,3857967,,,14605388.5,1,189.1,439.1,6376.6,3640.3,
3404915.3,3352,18-28 S 7TH ST,Balch Building,771752000,19107,1,1975,Office,84000,3964571,,,1539.2,90,40.6,127.3,352.1,455.9,
6830428.2,3357,3334-56 N PARK AVE,JONES HALL,777557000,19140,1,2000,Medical Office,103361,3965683,,,13762796.3,58,199.2,367.7,1995,1828.2,
23632139.8,3371,3519-33 N BROAD ST,BOYER PAVILION,777533001,19140,1,2000,Hospital (General Medical & Surgical),344000,3969865,,,29068180.4,94,153.2,317.4,23875.2,5093.6,
1559170.4,3424,3205-51 LANCASTER AVE,Philadelphia-Lancaster Ave RC,774520500,19104,1,1916,Non-Refrigerated Warehouse,84798,3883583,,,2814696.7,57,51.6,97.7,318.4,359.9,
1889874.4,3501,301 S 8TH ST,301 Duncan,883102000,19107,1,1959,Medical Office,43739,4051987,,,6250325.3,26,186.1,307.6,3208.5,668,
4350416,2583,4201 SPRUCE ST,Penn Alexander,773151500,19104,1,2002,K-12 School,84357,3330789,3493312.1,,,11,93,205.4,970,767.9,
3920852,2808,201 E OLNEY AVE,Washington Grover,785373150,19120,1,2000,K-12 School,149500,3330961,4309101.6,,,76,55,112.6,2249.4,753.7,
3367234.2,2966,8660 BARTRAM AVE,Hampton Inn PHLAT,883744600,19153,1,1997,Hotel,133831,3774178,1821150,,,85,65.1,156.7,4916.7,547.5,
927154.4,3477,1500 S 32ND ST,Alcorn,782843800,19146,1,1932,K-12 School,63000,4126297,5735946,,,42,105.8,141.8,313.9,428.8,
1978730.7,2613,2922 MEMPHIS ST,Jones,786324800,19134,1,1924,K-12 School,118000,3330873,346352.5,6229320.3,,80,72.5,109.1,505.1,745.6,
2145391.2,2614,600 E THOMPSON ST,Penn Treaty,781401800,19125,1,1928,K-12 School,144000,3330875,11570702.3,414690,,30,98.1,134.1,2632.9,932.5,
4299389.5,2615,243-57 E ALLEGHENY AVE,Stetson,786010400,19134,1,1917,K-12 School,140000,3330876,104448,6695207.8,,11,79.3,145.5,4442.7,1077.9,
1529855.2,2616,528-44 N 13TH ST,Stoddart-Fleisher,781646000,19123,1,1926,K-12 School,108393,3330877,900246.7,14160594.4,,12,153.1,185,1470.5,1303.5,
687930.5,2618,1829 E CLEARFIELD ST,Conwell,786072800,19134,1,1926,K-12 School,55600,3330880,210114.8,4903554,,73,104.3,131.9,514.1,467.1,
864312.5,2619,1720-58 N 12TH ST,Dunbar,781641600,19122,1,1932,K-12 School,53200,3330883,86095.4,3049937.9,,55,75.2,110.6,693.2,346.6,
991970.8,2621,2000-46 N 7TH ST,Ferguson,781551800,19122,1,1922,K-12 School,99864,3330887,254969.2,6727776.5,,48,79.9,101.9,1882.3,645.6,
34491771.5,2650,100 E LEHIGH AVE,Temple Episcopal Hospital,777012000,19124,5,1928,Hospital (General Medical & Surgical),399596,3584304,51400547,1863303.5,,55,219.6,410.8,21071.6,7485.7,
2459553.5,2651,500 E ALLEGHENY AVE,Elkin,885747300,19134,1,1973,K-12 School,53200,3589770,3472.1,3846473.7,,23,118.6,218.3,1420.5,614.9,
2202242.6,2653,5700 LANCASTER AVE,Overbrook HS,783258200,19131,1,1926,K-12 School,323316,3330846,617362,17979606.4,,98,64.3,79.6,1582,1661.8,
3359155.3,2654,3133 RIDGE AVE,Strawberry Mansion & Hill,784374200,19132,1,1964,K-12 School,320920,3330851,665562.7,28470366.3,,42,130.5,160.6,3122.7,2597.8,
814158.1,2657,6523-43 LANSDOWNE AVE,Cassidy,783262200,19151,1,1924,K-12 School,59123,3330855,145743.5,5131806.1,,22,103,133.5,906.4,497.6,
1750695.2,2659,3400 N 15TH ST,Kenderton,785657200,19140,1,1962,K-12 School,91008,3330858,161216.9,4040364.2,,57,65.4,107.1,920.5,542.8,
54917392.2,2449,601 MARKET ST,PA0000BG - BYRNE GREEN COMPLEX,781208400,19106,1,1970,Other,1834559,1134770,41516236.9,270204,,90,56.6,126.1,19845.8,9576.7,
19815302.6,2462,200-32 CHESTNUT ST,PA0144ZZ - PHILADELPHIA CUSTOMHOUSE,781049800,19106,1,1934,Office,567710,1297698,11909811.1,2346,,89,56.5,133.1,4846.8,3285.3,
47702779.3,2497,5000 WISSAHICKON AVE,PA0000AT - WISSAHICKON FED BLDG,784484000,19144,1,1998,Office,449021,2474727,3164155.5,100878,,41,113.5,331.9,11461.2,6561.3,
1847901.3,2538,2101 S 24TH ST,Vare EH,782808000,19139,1,1980,K-12 School,123019,3330811,409192.5,4410204.2,,84,55.6,89.1,519.3,596.4,
801689.3,2543,2100 S 18TH ST,Girard,782720400,19145,1,1957,K-12 School,66685,3330821,77711.5,3495677.8,,50,65.6,91.9,1019.7,370.9,
930360.6,2545,2501 S 5TH ST,Taggart,781490600,19148,1,1916,K-12 School,66000,3330842,108375.9,3906642.2,,70,74.9,105.8,13723.7,420.2,
1537391.6,2550,8901 ALICIA ST,Greenberg,786010200,19115,1,1965,K-12 School,90000,3330724,18310.6,3837779.7,,87,59.9,96.9,538.8,491.6,
1275889.1,2588,700 N 35TH ST,McMichael,783631400,19104,1,1916,K-12 School,100000,3330796,162441,5682149.7,,24,71.2,99.2,947.3,601.1,
1232076.6,2554,2400-56 DIAMOND ST,Dick,784108400,19121,1,1954,K-12 School,71000,3330735,261345.8,4541441.7,,23,85,123,757.6,515.8,
933143.4,2555,2400 N 57TH ST,Gompers,783766600,19131,1,1949,K-12 School,56000,3330736,233719,5645028.6,,27,121.6,158.5,53.2,556.2,
2755118,2557,7100 HENRY AVE,Saul CTE,784190100,19128,1,1980,K-12 School,104018,3330742,2219181.1,2624622.1,,67,73.1,131.1,1478.5,681.5,
1150375.6,2560,1800-56 W NEDRO AVE,Pennell,785356200,19141,1,1927,K-12 School,70498,3330745,118685.9,4113090.3,,22,76.3,111.9,673.9,465.5,
1023805.7,2562,6101 N FRONT ST,Finletter,785202400,19120,1,1930,K-12 School,62760,3330748,142387.7,7107000.3,,16,131.8,168,121.1,672,
2818002.2,2563,5741 RISING SUN AVE,Franklin ES,786458400,19120,1,1916,K-12 School,76930,3330749,277126.2,5653445.2,,38,113.7,193,475.7,811.5,
700911.8,2564,1501 SELLERS ST,Marshall J,786487800,19124,1,1909,K-12 School,58450,3330751,95574,3412464.1,,54,72,98.3,506.9,352.1,
834994.2,2567,6801 COTTAGE ST,Disston,786081400,19135,1,1923,K-12 School,67842,3330760,135071.7,4302287.8,,56,77.7,104.8,618.9,438.2,
1089008.4,2568,4300 BLEIGH AVE,Forrest,786039800,19136,1,1928,K-12 School,63250,3330761,1377089.3,3299304,,49,91.2,129.6,538.1,463.8,
1875790.7,2569,700 RHAWN ST,Fox Chase,786455000,19111,1,1949,K-12 School,52500,3330762,292392,4843800.2,,19,133.6,211.2,956.7,626.1,
1368400.7,2573,8300 CASTOR AVE,Farrell,786066400,19152,1,1958,K-12 School,66382,3330767,164212.3,2424660,,37,59.6,104.2,229,371.8,
2510230.2,2576,3500 ACADEMY RD,Decatur,786001800,19154,1,1965,K-12 School,89247,3330770,218803.9,3687773.8,,9,71.9,132.6,1063.9,621.3,
975603.1,2586,400-16 S 52ND ST,Huey,783732400,19143,1,1963,K-12 School,88183,3330793,2116.5,3969294.1,,64,56.1,80.2,869.1,425.3,
988111.8,2590,4901-57 PARRISH ST,Rhoads J,783394400,19139,1,1960,K-12 School,70000,3330799,178997.4,4152557.9,,20,76,106.9,989.2,449.9,
2281078.6,2593,4420 HAVERFORD AVE,Locke,783206951,19104,1,1965,K-12 School,77000,3330804,166444,4450638,,15,89.6,153.7,1102.8,644.5,
588148.6,2597,2200-26 N 22ND ST,Pratt,785727200,19132,1,1952,K-12 School,59000,3330862,117639.3,3080021.6,,79,64.2,86.1,452,313.5,
863597.3,2602,2801-37 W GLENWOOD AVE,Gideon,784168800,19121,1,1952,K-12 School,67000,3330869,356867.4,4152971.8,,64,80.2,108.7,4257.2,442.7,
830253.2,2604,1850 E WASHINGTON LN,Pennypacker,784472600,19146,1,1930,K-12 School,173000,3589772,4752283.7,184230,,93,33.3,45,344.9,377.2,
13954073.5,2746,801 W GIRARD AVE,Girard Medical Center,771032100,19122,1,1989,Hospital (General Medical & Surgical),279137,3668258,8593961.1,5860444.6,,100,102.1,210.8,23538.7,2765.9,
2427214.9,2750,1100 CATHARINE ST,Palumbo,781043800,19147,1,1980,K-12 School,185206,3330829,340604.4,11111208.4,,80,74.9,103.7,1053,1167.6,
797704.8,2752,626 DICKINSON ST,Kirkbride,781082800,19147,1,1926,K-12 School,57000,3330838,148338,5129735.8,,19,106.6,137.6,811.3,495.3,
903584.6,2753,601 CARPENTER ST,Nebinger,781042400,19147,1,1925,K-12 School,59000,3330839,84450,4833174.2,,24,98.7,132.3,982.9,484.1,
1445884.8,2755,1821 S 9TH ST,Southwark,781609000,19148,1,1909,K-12 School,138000,3330841,603501.3,3621062.2,,91,41.1,64,2268.5,494.3,
2624624,2766,3400-42 FRANKFORD AVE,Webster,786146001,19134,1,1968,K-12 School,92275,3330908,347000.4,3243828,,33,67.4,128.8,2733.5,610.5,
766668.6,2786,5950 RIDGE AVE,Levering,784378000,19128,1,1929,K-12 School,69475,3330927,68814,4196165.9,,76,72.4,96.7,131.8,417.7,
631494.3,2787,5000 N 17TH ST,Logan,785689600,19141,1,1924,K-12 School,65000,3330928,200046.4,5090268.2,,19,91.1,112.8,647.7,472.9,
2857226.5,2789,4301 WAYNE AVE,Steel,785508805,19140,1,1973,K-12 School,85350,3330934,1395.5,2469096.1,,38,62.4,134.4,1892.1,565.8,
983534.9,2791,67 E BRINGHURST ST,Wister,785046000,19144,1,1958,K-12 School,93715,3330937,271421.6,3903054.1,,87,55,78.1,928.1,435.7,
1508633.5,2797,4735 OLD YORK RD,Cooke,785372800,19141,1,1923,K-12 School,117600,3330944,291359,7543080.3,,46,79.4,107.7,812.8,777.2,
1313870.1,2799,1701-47 CHELTEN AVE,Wagner,785097400,19126,1,1929,K-12 School,81589,3330947,304717.2,6790704.1,,29,103.1,138.5,1075.6,696,
1210928.7,2801,1001 DEVEREAUX AVE,Carnell,786106800,19111,1,1931,K-12 School,74885,3330951,191480.3,6270857.9,,54,102.5,138,607,637.6,
1443926.3,2802,5401 TABOR AVE,Creighton,786529200,19120,1,1930,K-12 School,63232,3330952,235098.8,3957149.9,,70,89.1,138.8,1117.2,499.4,
1190808.8,2544,308-32 S 6TH ST,McCall,781518600,19106,1,1909,K-12 School,68076,3330822,3515835.3,,,59,69.1,109.2,2975,346.2,
806382.5,2803,1201-51 OAK LN,Ellwood,785360600,19126,1,1957,K-12 School,55621,3330954,190903.5,2987010,,58,71.6,103.4,729.8,339.7,
1084182.1,2811,5300 DITMAN ST,Sullivan,786112400,19124,1,1929,K-12 School,65000,3330964,137245.8,5299889.8,,52,100.3,136.9,1686.1,545.7,
1042865.2,2812,3630 N RANDOLPH ST,Taylor,785405400,19140,1,1908,K-12 School,56600,3330965,121839,2653049.9,,75,67.5,107.5,470.5,343,
