the_geom,lng,year_built,electricity_use_grid_purchase_and_generated_from_onsite_renewab,energy_star_score,portfolio_manager_id,water_use_all_water_sources_kgal,district_steam_use_kbtu,site_eui_kbtu_ft2,philadelphia_building_id,property_name,the_geom_webmercator,geom_address,fuel_oil_2_use_kbtu,number_of_buildings,property_floor_area_buildings_and_parking_ft,postal_code,natural_gas_use_kbtu,notes,total_ghg_emissions_mtco2e,primary_property_type_epa_calculated,lat,source_eui_kbtu_ft2
0101000020E6100000142BFADB4FC152C0C8BD3D98AC0C4440,-75.0204992239999,1987,10212470.8,18,3772838,458.9,Not Available,144.3,882070140,BJ's Wholesale Club,0101000020110F0000D07873F182DB5FC1D7D0A568F59D5241,2054 Red Lion Road,Not Available,1,104710,19115,4897483.3,,1553.2,Wholesale Club/Supercenter,40.0990171720001,355.4
0101000020E6100000DC3B9214B6CA52C0A0B8B0C9F5F94340,-75.1673633029999,1983,42355749.1,85,1750750,11870.7,Not Available,59.9,883031500,"1600 MARKET STREET, Site #602760",0101000020110F0000FFC1DB267AEB5FC13E6A23E733895241,1600 MARKET ST,Not Available,1,930550,19103,12855809.1,,6046.1,Office,39.95281335,159
0101000020E610000038F291AB50C852C0005CEE0BE9004440,-75.129923718,1905,2594682.7,88,3512112,1084,Not Available,43.1,777634005,20660,0101000020110F00002C07813668E75FC1492246F5E7905241,160 W ERIE AVE,Not Available,1,60158,19140,Not Available,,328.6,Office,40.007112018,135.4
0101000020E6100000D033075273CE52C0E80FF7728EF44340,-75.2257886,2012,403298.4,Not Available,3877972,76.6,Not Available,29.4,884163400,Simeone Foundation Automotive Museum,0101000020110F00002E7AD01ED4F15FC11CBC0DC037835241,6825 Norwitch Drive,Not Available,1,33000,19153,568192.5,,81.3,Museum,39.910597201,56.5
0101000020E6100000D0CE5EEDD0C952C0907773FDEAF84340,-75.1533769059999,1909,1336724,55,3330822,576.1,Not Available,68.7,781518600,McCall,0101000020110F0000702F82E9F4E95FC1464B9B540C885241,325 SOUTH 7TH ST,0,1,68076,19106,3340074.8,,346.6,K-12 School,39.944671327,113.2
0101000020E6100000EC97F69DE4CA52C0C073AA7A8EFC4340,-75.170203677,1848,13071914.5,Not Available,3994744,8063.5,Not Available,73.8,772510000,Girard College,0101000020110F00005F20F432C9EB5FC19721706F148C5241,2035 South College Avenue,2760,30,950825,19121,56873614.2,,4692.4,K-12 School,39.973098119,106.2
0101000020E6100000947D24135AC952C0C8E2DF83F1F44340,-75.146122728,1967,13456996.2,53,3876347,2355.9,Not Available,81.7,884136200,UPS Oregon Ave,0101000020110F0000C0B57F072BE95FC1D56D2571A5835241,15 E Oregon Ave,Not Available,0,409119,19148,19975458.1,,2764.3,Distribution Center,39.913620457,154.5
0101000020E6100000E82C3B433FCA52C0B83F6050ACFA4340,-75.1601112439999,1910,1501681.3,Not Available,3830539,58.8,Not Available,40.5,884033000,U-Haul Moving and Storage of Philadelphia,0101000020110F0000E909F253B0EA5FC1F1059022FE895241,314-22 N 13th ST,Not Available,1,97540,19107,2452571.4,,320.4,Self-Storage Facility,39.9583836050001,74.7
0101000020E6100000E4A3DBFE74CB52C0B820CAA025FA4340,-75.179015841,1921,42540440.7,Not Available,4014168,3301,Not Available,123.7,884054000,MARKETPLACE DESIGN CENTER,0101000020110F000030ABC070BEEC5FC126410FE868895241,2400 MARKET STREET,Not Available,1,356000,19103,1510879.2,,5467.4,Other,39.954273318,379.7
0101000020E6100000F8F78D6D41C952C028AD62D87EFC4340,-75.144618405,1927,723051.6,40,3330891,772.1,Not Available,70.6,781497200,Ludlow,0101000020110F0000205D072A01E95FC1FFE5F01B038C5241,500 W MASTER ST,Not Available,1,70230,19122,4236965.3,,316.5,K-12 School,39.9726210100001,95.7
0101000020E61000007475E5B815CA52C0102E0A465B024440,-75.157575821,1973,2613397.2,48,3330934,3829.1,Not Available,56.8,785508805,Steel,0101000020110F0000A52775C469EA5FC19795C77F82925241,4301 WAYNE AVE,2231684.7,1,85350,19140,2995,,496.8,K-12 School,40.018410449,122.6
0101000020E610000080BD984CE6C852C00014F636BB044440,-75.1390563479999,1962,9821155.4,Not Available,3875829,859.7,Not Available,241.2,776012000,Grata Data Center,0101000020110F00005A38725F66E85FC1721E57C924955241,1000 W Tabor Rd,Not Available,1,41740,19141,247888.2,,1256.9,Data Center,40.0369633390001,745.1
0101000020E6100000A85B3A6F8ECA52C0A8CA0826B9F94340,-75.1649435109999,1984,1076756.6,Not Available,3773802,12,Not Available,12.9,883421500,MidTown Garage,0101000020110F0000DF752DCF36EB5FC1199770B8F0885241,1416 Chestnut St.,Not Available,1,97778,19102,186945.2,,146.3,Parking,39.950962786,36.6
0101000020E6100000E43955D04AC652C0F8C7BD5EF9FE4340,-75.098316272,1983,118427.8,Not Available,3635022,1.5,Not Available,2.3,882059600,Kawin LLC,0101000020110F00009CCDEA94F8E35FC1ED45E769C28E5241,3501 Cedar Street,Not Available,2,52261,19134,Not Available,,15,Strip Mall,39.9919851710001,7.1
0101000020E61000007403DC5EF8C852C0881976BF5AF34340,-75.140159335,1955,6768043.2,Not Available,3707307,0.4,Not Available,43.4,771601000,PECO Oregon Shops,0101000020110F0000FB799E1185E85FC16DF68113E3815241,2610 S DELAWARE AVE,Not Available,1,155863,19148,Not Available,,857.1,Other - Utility,39.901206906,136.3
0101000020E6100000945ED28030BF52C020C1F1758C0E4440,-74.9873354009999,1975,4286475.1,57,3885144,971.7,Not Available,68.2,786503420,Philadelphia-Southampton Road RC,0101000020110F0000C6C489FFE7D75FC105B33D420AA05241,2700 Southampton Road,Not Available,1,135162,,4935829.8,,804.8,Office,40.113661521,137.9
0101000020E610000030A11470D9CD52C0F04FAC3710FB4340,-75.216396351,2013,11612666.9,Not Available,4066717,4.5,Not Available,179.5,783707500,Juvenile Justice Center,0101000020110F000099F43ABCCEF05FC1B3C4D2D46C8A5241,91 N. 48th St.,Not Available,1,160000,19139,17106948.4,,2378.5,Prison/Incarceration,39.9614324180001,340.2
0101000020E6100000F0724061BCCD52C098E9732FDCF54340,-75.214622796,1955,2709085,Not Available,3957443,1179.9,Not Available,71.9,882089000,"3265 S 61ST ST ""Jerry's Corner""",0101000020110F00001087A1609DF05FC17F884F4DA9845241,3265 S 61ST ST,Not Available,1,55200,19153,1261536.7,,410.1,Other - Mall,39.9207820240001,178.1
0101000020E610000030713613EFCB52C080528A1613FA4340,-75.1864669829999,1891,25909281.3,Not Available,3862659,16192.5,13008298.9,116.8,774516000,"1,2,3,4-Main,Randell,Curtis,Alumni",0101000020110F0000EF9D05CE8DED5FC19423845D54895241,3101 Chestnut Street,Not Available,4,333089,19104,3102.7,,4433,College/University,39.9537075210001,291.2
0101000020E6100000D4D807547DCC52C0509476D0D0FC4340,-75.195149429,2013,1236796.4,Not Available,3604321,,Not Available,63.9,783172300,Hamilton Family Children's Zoo and Faris Family Education Center,0101000020110F0000A1E0A66F7FEE5FC1642BBBF35D8C5241,3400 W Girard Avenue,Not Available,3,23683,19104,277258.2,,171.3,Zoo,39.975122507,176.3
0101000020E61000006C0E26B1E3CA52C0F0AFCBAE03FA4340,-75.170147216,1981,27417272.7,99,26081,8167.7,9161858.8,50.9,883054000,12589 Ten Penn Center,0101000020110F0000E73FB3A0C7EB5FC1444B214C43895241,1801 Market Street,Not Available,1,718644,19103,Not Available,,4283.2,Office,39.95323739,135.1
0101000020E6100000F82601F59CCB52C09000C93C7EFA4340,-75.181454898,2004,3079049.2,Not Available,4104223,,Not Available,6.5,883410400,Amtrak Parking Garage,0101000020110F0000CC99AF5102ED5FC1E2171715CB895241,2931L Arch Street,Not Available,1,475200,19104,Not Available,,389.9,Parking,39.9569774610001,20.3
0101000020E6100000B0EE8436B7CF52C01805C552CEFA4340,-75.2455574319999,1972,10159410.8,Not Available,3882111,15965.8,Not Available,161.1,881446200,Care Pavilion Nursing,0101000020110F0000707DD148FAF35FC1095163D1238A5241,6212 Walnut Street,Not Available,1,98723,19139,5749757.1,,1591.8,Senior Care Community,39.959421488,384.3
0101000020E61000006C79706D64CD52C0A068ED3C05024440,-75.209254608,2000,147828.7,Not Available,3959542,,Not Available,8.5,884083010,Riverside Mr. Storage,0101000020110F0000C70342FB07F05FC16A83CC1623925241,5026 Ridge Ave,Not Available,2,18000,19128,5478.2,,19,Self-Storage Facility,40.015784851,26.1
0101000020E6100000D47D6A36DBC152C07049360D400A4440,-75.029004673,1973,10250576.1,37,3831435,5597,Not Available,82,883760000,Four Points Hotel/Richfield Hosipitality,0101000020110F0000363E13A66FDC5FC1A6A7DF84449B5241,9461 Roosevelt Blvd,Not Available,1,179000,19114,4430885.6,,1533.3,Hotel,40.0800797000001,205.8
0101000020E6100000C4A9ED5E82CA52C0F880149D2EFA4340,-75.164207203,1906,11481154.8,9,3823128,6146.5,Not Available,95.6,883057105,Le Meridien Philadelphia Hotel,0101000020110F00002BD4635122EB5FC1B5C1A6DC72895241,1419 arch St,Not Available,0,163000,19102,Not Available,,1671.3,Hotel,39.954547534,247.6
0101000020E61000000CA3998729C052C080BB391D470D4440,-75.0025347709999,1969,32702866.7,Not Available,3681375,81210.9,Not Available,242.4,884269000,Pepsi Bottling Group,0101000020110F0000A880A6FE8ED95FC16AB112FAA09E5241,11701 Roosevelt Blvd,Not Available,2,228920,19154,22776757.7,,5350.2,Manufacturing/Industrial Plant,40.103732732,553
0101000020E6100000106546AA95CA52C0D027DFF7E5F84340,-75.1653848349999,1959,7872712.3,22,3267049,1826.7,Not Available,131.3,782026200,Health Administration Building,0101000020110F000068015E1743EB5FC1E03776C406885241,500 South Broad Street,Not Available,1,77688,19146,2327391.8,,1120.5,Office,39.944518074,349.7
0101000020E6100000F890DB22F5CA52C0A864088607054440,-75.171211924,1930,3819826.1,Not Available,3569461,848.2,Not Available,48.4,883550200,301 E. CHELTEN AVENUE,0101000020110F000066062842E5EB5FC18AC6A46F79955241,301 E. CHELTEN AVENUE,Not Available,1,85000,19144,291552.2,,499.2,Other,40.0392921010001,144.7
0101000020E6100000C07CAFAA89C152C07022E83F96044440,-75.024027511,1999,3234958.5,11,3962712,294,Not Available,86.5,778512302,New Foundations Charter Elementary School,0101000020110F0000A9D68B22E5DB5FC1227137C8FB945241,8001 Torresdale Avenue,Not Available,1,50000,19136,1089498.6,,467.5,K-12 School,40.0358352550001,226
0101000020E6100000784513CFC9CA52C0203676FB3FFA4340,-75.168567437,1990,67375160.4,85,1218039,15393.8,23197225.2,74.3,883059004,Three Logan Square,0101000020110F00006AD5A5A99BEB5FC1540F051B86895241,1717 Arch Street,Not Available,1,1377698,19103,Not Available,,10586,Office,39.955077584,196.5
0101000020E610000084B2690543C152C088AA049DE60A4440,-75.019715646,1965,5318393.6,Not Available,3862942,525.1,Not Available,24.7,884274000,"KRG Enterprises, Inc.",0101000020110F0000110CE4226DDB5FC157CA3668FD9B5241,9901 Blue Grass Road,Not Available,1,216000,19114,Not Available,,674.8,Manufacturing/Industrial Plant,40.085162761,77.4
0101000020E6100000A824DB8EC3CC52C04833197292FA4340,-75.199435915,1922,91429180.3,50,2867268,36534.4,7258922.8,199.8,774002001,Penn Presbyterian Medical Center,0101000020110F000087F67EBAF6EE5FC167D81179E1895241,51 North 39th St,Not Available,10,959580,19104,73090356.7,,16100.1,Hospital (General Medical & Surgical),39.9575941680001,433.4
0101000020E61000001C35F68AC6CA52C00068053A1EFA4340,-75.168368092,2008,129168459.3,74,1767519,38103.8,27253707,101.7,883056605,61864 - 1701 JFK Blvd,0101000020110F0000E9C06C1D96EB5FC1E55FC5B460895241,1701 JFK Blvd,Not Available,1,1538959,19103,17304.2,,18771.4,Office,39.954047444,284.9
0101000020E6100000106159EF2BC952C098A5115EBB014440,-75.143306577,1939,1678954.8,100,3773988,1601.9,Not Available,30.1,777247000,Little Flower Catholic High School,0101000020110F0000ADAAFAA7DCE85FC1CB16272CD1915241,1000 W. Lycoming Avenue,2843352,2,184000,19140,1022906.7,,477.9,K-12 School,40.013530501,50.1
0101000020E6100000FCE47D8909CF52C0E89653F82FF24340,-75.2349570969999,1985,10290308.8,51,3687911,10776.4,Not Available,99.3,883742000,Sheraton Suites Philadelphia Airport,0101000020110F0000E9004A47D3F25FC1CC708E5398805241,4101 Island ave,Not Available,1,192000,19153,8751420.8,,1769.4,Hotel,39.8920889290001,216.3
0101000020E6100000CCE7431ACCCC52C0F894FEF36E014440,-75.1999574339999,2006,1617202.7,Not Available,3698115,1593.5,Not Available,29.1,784377500,Legacy Youth Tennis and Education Center,0101000020110F0000E7D7073E05EF5FC1849A16707C915241,4600 Ridge Avenue,Not Available,1,77000,19129,626108.4,,238,Other - Recreation,40.0111985200001,74.5
0101000020E6100000C0296B8265CA52C068E0C369E4F94340,-75.1624456449999,1950,148284.2,96,3958558,32.1,Not Available,2.6,884219050,Warehouse,0101000020110F00004E3B434BF1EA5FC1111639A720895241,884219050,Not Available,1,56976,19131,301.8,,18.8,Non-Refrigerated Warehouse,39.952283116,8.2
0101000020E6100000EC63791501CE52C078DAD3A89C004440,-75.218816155,1972,26890773.8,Not Available,3675619,17056.6,Not Available,253.6,774010040,Philadelphia College of Osteopathic Medicine,0101000020110F00009C23FF1312F15FC1226FFA4293905241,4190 City Ave,Not Available,4,409268,19131,76905834.1,,7486.9,College/University,40.0047808680001,403.6
0101000020E610000040BFFB527BCF52C08874C9BCFEF84340,-75.241902109,1971,4314914.1,24,3330779,3308.6,Not Available,51.9,783030800,Turner,0101000020110F0000316EA98E94F35FC1D131DC3422885241,5900 BALTIMORE AVE,Not Available,1,190000,19143,5538627.6,,840.3,K-12 School,39.9452739700001,101.9
0101000020E610000094FC016F9EC152C0105DDB3E180A4440,-75.025295021,2001,7631074.5,90,2958969,7750.7,Not Available,137.5,882069750,6468 Philadelphia,0101000020110F0000DFC5DA6808DC5FC1048FD355189B5241,Unit D 2550 Grant Ave.,Not Available,1,79898,19103,3351243.2,,1144.3,Supermarket/Grocery Store,40.0788649150001,343.9
0101000020E6100000A4692C6ED7C852C028931645C7034440,-75.138148826,1913,1714344.7,25,3330950,2878.6,Not Available,147.7,785317200,Birney,0101000020110F00000A79DA1D4DE85FC1D540813216945241,900 WEST LINDLEY AVE,Not Available,1,59200,19141,7032162.4,,590.3,K-12 School,40.0295187340001,215.7
0101000020E6100000D0C6B8B229C852C06897D81731074440,-75.127545052,1977,4804355.3,37,3796514,15297.2,Not Available,160.5,881447900,AHF/MONTGOMERY INC,0101000020110F0000A1BCD20326E75FC16FDB4A99DF975241,600 w cheltenham av,Not Available,1,73382,19126,6970372.8,,978.3,Senior Care Community,40.056185704,305.3
0101000020E610000008AA5F4C07C252C0704ADD8EE30B4440,-75.031695455,1980,7748344.9,Not Available,3875830,1405.2,Not Available,97.5,778025205,Center One,0101000020110F000021F76888BADC5FC1CB4E7F35169D5241,9880 Bustleton Ave,Not Available,1,79485,19115,Not Available,,981.2,Ambulatory Surgical Center,40.092882021,306.1
0101000020E61000009C469E47ECC352C0C80D8FCF34064440,-75.061296372,1962,4052091.2,Not Available,3237331,1311.3,Not Available,136.4,786082700,NE Reg Library/ Health Center #10,0101000020110F0000B9249652F2DF5FC1504DD9AEC7965241,2230 Cottman Street,Not Available,2,58009,19149,3862195.8,,718.1,Library,40.0484866570001,289.2
0101000020E6100000441EE69DD3CB52C01835CA2D3FFA4340,-75.184791064,1956,29709628.3,Not Available,3776439,5377.6,7585023.5,64.5,774524700,Academic Properties,0101000020110F0000F470062A5FED5FC10E0F253785895241,3025-53 Market Street,Not Available,2,625368,19104,Not Available,,4433.9,Office,39.9550530660001,177.1
0101000020E6100000DCA2DA7A02C152C0001542FF6B044440,-75.015776361,1979,20291505.2,Not Available,3281373,90611.5,Not Available,240.3,786504751,Philadelphia Industrial Correction Center,0101000020110F00003778A981FFDA5FC1CA55CCE9CC945241,8203 State Road,Not Available,1,200000,19136,27767307.9,,4043.4,Prison/Incarceration,40.0345458100001,464.4
0101000020E6100000F023132A77C152C098BA3F0C24044440,-75.0228982149999,2012,4716376.9,1,3960550,244.7,Not Available,119.3,884253450,New Foundations Charter High School,0101000020110F000018B0EFB4C5DB5FC16298F21A7D945241,4850 Rhawn Street,Not Available,1,50000,19136,1250850.5,,663.7,K-12 School,40.032350093,322.5
0101000020E6100000D4704F5F68C152C0E04CD4BEB8044440,-75.02199538,1896,5210656.3,Not Available,3289919,2771.5,Not Available,17.9,786537201,Holmesburg Complex,0101000020110F0000925DBC94ACDB5FC1E18B200C22955241,8215 Torresdale Avenue,243971.6,3,716651,19136,7351227.5,,1068.1,Other - Public Services,40.036887983,33.9
0101000020E61000004800964600CA52C0E0243FE297F94340,-75.1562668289999,1931,20273390.9,56,3641781,,14335164,131.9,883313700,925 Chestnut Street,0101000020110F0000ABEB9C5645EA5FC14F6AF9DDCB885241,925 Chestnut Street,Not Available,1,262308,19107,Not Available,,3836.6,Medical Office,39.949947625,308.4
0101000020E61000004C00793ACDCE52C07012C49255F14340,-75.2312761479999,1959,2331351.4,Not Available,3820208,145,Not Available,10.5,884171500,PreFlight Airport Parking PHL,0101000020110F0000BBBE8FD66CF25FC1B0AB4A96A67F5241,4700 Island Ave,Not Available,1,221000,19153,Not Available,,295.2,Parking,39.88542399,33.1
0101000020E61000001C2F445157BE52C078D52719760B4440,-74.974079434,1929,2377969.2,9,3819916,3701.5,Not Available,144.8,786590000,Shallcross,0101000020110F0000FE2F191677D65FC1042EB7B09C9C5241,3901 Woodhaven Rd,770592,1,67938,19154,6691775.2,,713.4,K-12 School,40.0895415730001,224.8
0101000020E6100000D8E04BAED0CA52C048832C8F9E014440,-75.1689868679999,2010,13366052.8,Not Available,3830390,2544.6,Not Available,202.3,776293510,Salvation Army Kroc Center,0101000020110F0000C8A4DC55A7EB5FC10C482A3AB1915241,4200 Wissahickon Ave,Not Available,1,130620,19129,13058898.9,,2385.7,Other,40.0126513450001,426.3
0101000020E6100000D4E2CDC67CC952C09819DD7E4FFD4340,-75.148240758,1900,8619670.8,Not Available,3960818,19431.1,Not Available,46.1,781293900,800 Building,0101000020110F0000B6CE4AF965E95FC1B92AAF5AEA8C5241,800-16 W Mongomery Avenue,Not Available,1,222640,19122,255371.4,,1167.5,Office,39.9789885120001,141.9
0101000020E610000098AFCFF215C952C09058A3A29A064440,-75.141964629,1905,8667824.3,1,3512108,2505,Not Available,151.3,776614005,20642,0101000020110F0000B959574FB7E85FC1B57B2DA838975241,6468 N BROAD ST,89651.7,1,57899,19126,Not Available,,1104.4,Office,40.051594095,471.6
0101000020E610000084D7326FAECA52C038F181FC70004440,-75.166896629,1915,1161103.6,Not Available,3965468,5.6,Not Available,22.1,884558100,Allegheny Business Center,0101000020110F00001B66102A6DEB5FC1CF76CDD662905241,2233 West Allegheny Avenue,Not Available,1,87756,19132,774906.4,,188.1,Adult Education,40.00344807,50.8
