electricity_use_kbtu,objectid,street_address,property_name,opa_account_num,postal_code,num_of_buildings,year_built,primary_prop_type_epa_calc,total_floor_area_bld_pk_ft2,portfolio_manager_id,natural_gas_use_kbtu,fuel_oil_o2_use_kbtu,steam_use_kbtu,energy_star_score,site_eui_kbtuft2,source_eui_kbtuft2,water_use_all_kgal,total_ghg_emissions_mtco2e,notes
70804527.4,5000,1201 MARKET ST,33703-Philadelphia,883704500,19107,2,1995,Hotel,1294004,3351512,78720207.4,,6640562.1,38,120.7,241.9,63051,12742,
14227589.6,5002,1319-25 MARKET ST,57164- Residence Inn Philadelphia - Center City,883704600,19107,1,1990,Hotel,243058,3351611,594800,,8182350.7,27,94.6,226.9,9520,2206.5,
20279904.4,5003,1400 S PENN SQ,73R49-Philadelphia Ritz Carlton,883702100,19102,1,1990,Hotel,350000,3351793,2616100,,19789738.2,1,122,257.8,21622,3778.7,
3007872.8,5025,2213-21 CHESTNUT ST,American Red Cross - Humanitarian Services,883324100,19103,1,1972,Office,80679,3591160,0,,1649815.8,82,61.7,151.4,343.6,454.5,
4012399.4,5028,1429-33 WALNUT ST,1429 Walnut,882020850,19102,1,1916,Office,77472,3596562,3146.7,,1264516.3,67,68.2,182.3,1073.6,544.3,
18743699.2,5029,1500-06 WALNUT ST,1500 Walnut,883040500,19102,1,1930,Office,329468,3596612,2470879.3,,9700812.5,53,112.2,265.4,7943.1,2924.9,
3627092.5,5034,215 S BROAD ST,215 S. Broad,883026005,19107,1,1930,Office,50456,3597476,53199.3,,969038.1,43,92.1,249.9,1620,483.1,
89235093.7,5055,111 SOUTH11TH ST,Gibbon Building,771013000,19107,1,1978,Hospital (General Medical & Surgical),778752,3635424,314058.6,,96872799.1,13,388.5,659,50557.1,22801.8,
10505356.9,5057,1001-41 WALNUT ST,Main Building,771020000,19107,1,1906,Hospital (General Medical & Surgical),169807,3635906,2872.8,,21477672,71,262,420.1,28239,3290.1,
3585056.6,4950,119 S 31ST ST,30th St.,773717200,19104,1,1917,Office,79200,3443035,113334.9,,1100059.4,79,60.6,160.3,2343.1,490.2,
2356912,4962,2200-24 CHESTNUT ST,Greenfield,782092400,19103,1,1968,K-12 School,96000,3583475,5388.8,,1811363,77,43.5,99.8,500.3,390.8,
20219225.4,5084,1000-32 CHESTNUT ST,Foerderer Pavilion,771013000,19107,1,1954,Hospital (General Medical & Surgical),233930,3641702,307.8,,32857685.4,33,346,559.4,10348.6,5968.3,
9066311.8,5086,1100-04 WALNUT ST,Medical Office Building,771020500,19107,1,1985,Medical Office,82972,3641728,736770.6,,469242,16,123.8,359.2,5282,1110,
12980565,5088,122-30 S 9TH ST,Edison Building,771021000,19107,1,1930,Office,244109,3641814,307.8,,8828435.8,54,89.3,210.5,7283.8,2074.8,
15164337.2,5089,1025 WALNUT ST,College Building,771020000,19107,1,1928,Office,191783,3641868,16826.4,,18514164.2,10,238.9,427.7,2951.8,3608,
12627822.2,5164,17 S 17TH ST,Westin Philadelphia Hotel,883704000,19103,1,1990,Hotel,240000,3687917,1534554.7,,7942495.5,42,92.1,211.7,22391,2057,
2871539.2,5216,1207-09 CHESTNUT ST,1207 Chestnut,883311000,19107,1,1925,Office,51676,3759390,184955.4,,568105.2,52,70.1,191.5,1165.4,376.9,
11429828.1,5124,230-34 W WASHINGTON SQ,Farm Journal,771005500,19107,1,1910,Medical Office,102855,3673215,7289.8,,13507076.5,6,242.5,507,9106.4,2208,
28134099.8,5083,900-10 WALNUT ST,JHN Building,771006900,19107,1,1980,Hospital (General Medical & Surgical),329142,3641686,2770.2,,25953976.5,52,289.9,567.8,8455.2,5699.4,
5528501.1,5300,1501-11 RACE ST,Bellet,772027000,19102,1,1960,Office,129532,3790349,238276.8,,3584421.5,79,72.2,169.2,1954.1,884.7,
18071494.2,5317,3501 CHESTNUT ST,Sheraton University City Hotel,883730000,19104,1,1976,Hotel,252880,3876329,6348520.6,,8904813.2,8,164.3,365.4,20220.9,3000.9,
4067902.4,4972,4501 BENNER ST,Lawton,786033600,19135,1,1973,K-12 School,79856,3330959,242113.2,,,40,54,163.1,986.6,479.4,
4685068.4,5232,201 N 34TH ST,19-Kelly Hall,881822870,19104,1,1967,Residence Hall/Dormitory,89931,3762542,594898.4,,4083733.9,39,104.1,225.2,4451.8,840,
17754864,5435,700-34 RACE ST,Police Administration Building,781379300,19106,1,1956,Office,126000,4830355,0,,5478361,5,184.4,494.8,4708.4,2399.9,
38502918.7,5460,2000-24 MARKET ST,2000 Market Street,883320500,19103,1,1972,Office,665649,3894669,50632.1,,45838762.3,46,126.8,264.6,230.2,7461.8,
28693596.1,5628,100 S INDEPENDENCE MALL W,100 Independence- DOW Building,883013010,19106,1,1965,Office,466085,5705392,11338562.1,,3421574.9,81,104.6,255.4,8011.6,4120,
3571033.3,5506,1516-18 WALNUT ST,1518 Walnut Street,883334010,19102,1,1929,Office,103560,3938855,4525.2,,3976003.1,87,72.9,154.5,1592.4,673.8,
19564257.9,5522,201 N 17TH ST,Sheraton Philadelphia Downtown,883720000,19103,1,1980,Hotel,894290,3954641,2136627.3,,28973141.1,88,63.7,123.9,47599.7,4280.9,
9809912.9,5746,1616-26 WALNUT ST,Icon 1616,881012260,19103,1,1929,Multifamily Housing,303560,5021678,219675.6,,800814.5,70,39.5,116.7,5831.7,1189.8,
7269.3,5685,20 S 36TH ST,The Axis,881601401,19104,1,1900,Residence Hall/Dormitory,32818,5964472,3091727.9,,1269700306,1,38783.6,46644.2,8442.1,84471.2,
1342864.3,5036,1435-45 N 26TH ST,Boone,782813600,19121,1,1963,K-12 School,56265,3599558,2484846.6,,,39,68,121.3,277,286,
21933697.4,5860,1701-15 LOCUST ST,PLPH-Radisson Blu Warwick Hotel PA,883703900,19103,1,1926,Hotel,427000,4504913,2780035.5,,18398344.7,16,101,220,29417.9,3884.6,
145325780.6,5820,3401-41 N BROAD ST,TEMPLE UNIVERSITY HOSPITAL SUPERBLOCK,777014000,19140,1,2000,Hospital (General Medical & Surgical),1043288,3997483,214243.8,,149281241.2,4,344.7,743.9,32564.6,26589.3,
15003481.8,5834,130 S 18TH ST,10 Rittenhouse Square,888095900,19103,1,2009,Multifamily Housing,520715,4961098,2514660,,7477.3,60,36.5,103.5,6243.9,1854.7,
12488087.2,5997,1313-17 WALNUT ST,Goldman Properties - 1315 Walnut Street,883021000,19107,1,1923,Office,246310,4991740,224388.3,,2434552.6,84,61.5,172,3113.7,1605.7,
6668365,5936,1901-05 WALNUT ST,The Rittenhouse Plaza,881025500,19103,1,1924,Multifamily Housing,279109,4979799,163225.7,,14159322.4,29,75.2,136.7,7297.4,1713.6,
27267506.4,6144,3 BENJAMIN FRANKLIN PKWY,Three Parkway,883060510,19102,1,1970,Office,610065,4155239,0,,8757479,89,59.1,157.6,10094.5,3708.5,
16223162.6,6172,400-26 S BROAD ST,Symphony House,888088402,19146,1,2005,Multifamily Housing,642000,4184551,1997471.9,,11053207.1,71,45.6,103.3,12105.4,2700.5,
25080697.6,6209,1601 N BROAD ST,Morgan Hall,881299110,19122,1,2000,Residence Hall/Dormitory,679622,4426304,390575.8,,19285858.4,35,106.5,191.3,15154.4,5633.7,
1562035.8,6097,271 S 15TH ST,Westbury Apartments,881031008,19102,1,1929,Multifamily Housing,95548,5003683,292410,,8017767.4,25,103.3,155.5,3153.3,727,
37377709.4,4666,1835 MARKET ST,1835 Market Street,883104005,19103,1,1986,Office,751503,19331,,,11169977.4,85,70.7,190.5,11007.6,5028.1,
37120444.6,4667,1801-21 MARKET ST,12589 Ten Penn Center,883054000,19103,1,1981,Office,721408,26081,,,8161456.1,88,62.8,175.2,3428.9,4798.9,
32611646.9,4668,1818-28 MARKET ST,1818 Market St,883033001,19103,1,1973,Office,1178691,29230,,,19107149.6,95,52.3,126.9,17363.1,5008.6,
52177498.2,4670,1700-40 MARKET ST,1700 Market Street,883032000,19103,1,1968,Office,1099385,1060573,,,20980039.8,80,78.3,202.4,11559,7376.7,
22604305.5,4672,3521-35 MARKET ST,3535 Market,883073000,19104,1,1973,Medical Office,503408,1339876,,,4730333.5,88,55.3,155,4655.3,2906.3,
31067287,4673,1622-50 ARCH ST,Arch 1650 Partners LP,883058000,19103,1,1974,Office,663328,1439909,,,20150543.1,81,77.2,183.6,9678.6,4900.7,
43395658.5,4674,22-34 S 17TH ST,"SPUS7 United Plaza, L.P.",883051500,19103,1,1975,Office,761162,1440658,,,11197478.7,85,76,208.5,10663.2,5720.1,
30464659.6,4677,1501-39 MARKET ST,1515 Market Street,883337500,19102,1,1958,Office,564078,1476210,,,10652788.3,72,72.9,192.3,8772.7,4201,
24553311.6,4683,150 S INDEPENDENCE MALL W,Public Ledger,883003510,19106,1,1927,Office,535382,1516957,,,14707855.6,79,73.3,177.1,9530.4,3700.3,
25972925.3,4724,1600 JOHN F KENNEDY BLVD,Four Penn Center,883056000,19103,1,1964,Office,543134,1650661,,,14886279,82,75.2,183.1,4725.6,8810.4,
132069580.6,4725,1500-42 MARKET ST,Centre Square - 1500 Market Street,883320000,19102,1,1974,Office,2261321.5,1750694,,,38700765.8,66,83.1,224.5,31251.4,17715.4,
65055000.4,4739,1234 MARKET ST,SEPTA Headquarters,883309050,19107,1,1973,Office,801840,2363717,,,12768754.9,71,109,307.5,15054.5,8308.3,
75568157.1,4691,1717 ARCH ST,Three Logan Square,883059004,19103,1,1990,Office,1377698,1218039,,,18616928.9,83,77.3,213.1,18111.8,9902.3,
66829786.3,4698,2301 MARKET ST,PECO MAIN OFFICE BUILDING,883054500,19103,1,1971,Office,897201,1269439,,,2373481.9,72,79.5,244.2,15.8,7821.6,
9845943.6,4702,901-15 CHESTNUT ST,PA0143ZZ-RN NIX FED BLDG & USPO,781051010,19107,1,1973,Office,405240,1299442,,,5634887.3,95,39.1,95.3,2187.2,1503.3,
68469559.4,4807,900-22 RACE ST,CO/GLC 16200/900 RACE ST/PHILADELPHIA/PA,771618000,19107,1,1905,Office,488657,3120916,,,4510359,2,149.3,451.1,9088,8151.5,
8653661.1,4819,1832-44 SOUTH ST,Tuttleman Building,772036205,19146,1,1989,Medical Office,74460,3306120,,,5425293.8,8,189.1,452.6,7004.6,1352.6,
41354429.5,4835,1631-37 ARCH ST,CO/GLC 11310/1631 ARCH ST/PHILADELPHIA/PA,772614000,19103,1,1905,Office,160661,3512076,,,5439804.1,1,291.3,849,4351,5103.7,
25584714.8,5007,3020-52 MARKET ST,178-3020 MARKET,883071700,19104,1,1959,Office,248000,3365000,,,9363560.1,20,168.8,442.5,4561.2,3555.8,
4833282.2,5033,1211-15 CHESTNUT ST,1211 Chestnut,883311500,19107,1,1919,Office,100572,3597401,,,2063585.4,76,68.6,175.6,881.5,691.3,
4057550.4,4951,1709 BENJAMIN FRANKLIN PKWY,United Way,772687010,19103,1,1970,Office,75400,3479871,,,1625631.1,80,75.4,194.9,743.2,573.3,
28769171.9,4956,801 MARKET ST,801 Market Street,882506315,19107,1,1909,Office,616379,3498314,,,12488668.3,91,66.9,170.9,8245.5,4128.5,
2474815.7,5085,201 S 11TH ST,Martin Building,881008255,19107,1,1959,Residence Hall/Dormitory,81525,3641704,,,3291857.7,37,145.2,218.3,1912,822.2,
18884365.7,5087,917-33 CHESTNUT ST,925 Chestnut Street,883313700,19107,1,1931,Medical Office,262308,3641781,,,12338795.6,63,119,282.6,6786.3,2984.9,
5933099.5,5090,1420-24 WALNUT ST,1420 Walnut,883039500,19102,1,1927,Office,108000,3642348,,,1543440.6,71,69.2,189.7,2081.1,782.9,
5119794.7,5094,919-21 WALNUT ST,Nevil Building,771695000,19107,1,1906,Office,135825,3642429,,,3265590,82,61.7,147.3,1471.4,804,
9555800.7,5099,1001 LOCUST ST,Hamilton Building,771016000,19107,1,2007,Office,271786,3643275,,,7580706.1,62,117.9,269.1,3968.4,1599.2,
3605521.8,5101,901-03 WALNUT ST,901 Walnut Street Building,771017500,19107,1,2010,Office,85000,3643346,,,5504340.2,44,187,290.9,570,1136.6,
27215265.3,5203,1701 MARKET ST,1701 Market Street,883053530,19103,1,1957,Office,414598,3715845,,,3908196.7,48,102,295.4,6553.9,3380.5,
10342628.4,5110,1524-30 WALNUT ST,1528 Walnut,883041500,19102,1,1927,Office,206625,3663168,,,5071865.7,68,74.6,186.7,5240.4,1522.9,
11764756.8,5072,1628 JOHN F KENNEDY BLVD,8 Penn,883056500,19103,1,1981,Office,235000,3679860,,,5096113.4,83,71.7,183.3,9017.8,1687.6,
25008813.6,5076,1500 JOHN F KENNEDY BLVD,2 Penn,883055500,19103,1,1956,Office,500000,3681289,,,5944841.1,83,61.9,171.4,16749,3169,
3989822.2,5316,112 N BROAD ST,centralized comprehensive human services,883023400,19102,1,1896,Medical Office,106218,3876067,,,2796975.2,67,63.9,149.6,2983,643.3,
28286820.9,5332,1 S BROAD ST,One South Broad,883318500,19107,1,1932,Office,526472,3820092,,,10917160.4,64,74.5,193.7,4806.1,3968.8,
3903949,5231,229 N 34TH ST,17-Van Rensselaer,881822860,19104,1,1931,Residence Hall/Dormitory,80202,3762540,,,3860115.9,35,96.8,210.7,3039,704,
11223252,5242,325 N 15TH ST,Stiles Alumni Hall,881038200,19104,1,1972,Residence Hall/Dormitory,186330,3762586,,,3959981.8,32,81.5,214.7,5015.3,1550,
8813086.8,5474,1827-35 ARCH ST,The Lofts @ 1835 Arch,881035900,19103,1,2001,Multifamily Housing,269842,4626213,,,4097808.2,42,47.8,120.8,11935.9,1282.8,
4513250.3,5405,1216-20 ARCH ST,Young Smyth Field Condominium Association,Multiple,19107,1,1902,Office,125000,3884289,,,2234465.9,85,54,134.9,1228.7,665.9,
3426579.5,5416,1420-22 CHESTNUT ST,1420-22 Chestnut Street,883035500,19103,1,1948,Office,122000,3890976,,,2587047,94,49.3,113.7,1651.2,564.7,
5643328.6,5417,1015-19 CHESTNUT ST,1015 Chestnut Street,883310000,19107,1,1940,Office,135000,3890983,,,4525457.1,78,75.3,171.6,3961.5,947.7,
33357087,5357,800-34 WALNUT ST 3,Walnut Towers,883400500,19106,1,1987,Medical Office,443793,3856432,,,5259735.6,9,168,483.1,18747.3,4174.6,
11092500.7,5359,625 E WISTER ST,GT Penn & LTSR,776008020,19144,2,1980,Senior Care Community,182687,3857967,,,16793450.8,4,152.6,301.2,4612.8,2387.1,
3405095.8,5580,18-28 S 7TH ST,Balch Building,771752000,19107,1,1975,Office,84000,3964571,,,1485.4,90,40.6,127.3,350.8,390.6,
11429043.3,5585,3334-56 N PARK AVE,JONES HALL,881299300,19140,1,2000,Medical Office,103361,3965683,,,14482372.2,27,250.7,515.8,3029.1,2272.3,
25614696.1,5598,3519-33 N BROAD ST,BOYER PAVILION,777533001,19140,1,2000,Hospital (General Medical & Surgical),344000,3969865,,,27706922.9,91,155,330.7,7110.2,4777.2,
15414651.7,5732,1500-14 LOCUST ST,1500 Locust,881030000,19102,1,1974,Multifamily Housing,879290,4432934,,,9913998.9,96,37.4,89.1,20052.7,2426,
7593150.1,5734,1500 CHESTNUT ST,Ellington Condominium,888114920,19102,1,1929,Multifamily Housing,100000,4449356,,,15708183.1,1,233,427.4,8776.8,1913.8,
18584949,5735,1915-19 CHESTNUT ST,William Penn House,881023000,19103,1,1965,Multifamily Housing,825000,4449983,,,9751643.3,81,42.6,105.4,19511.9,2778.8,
21500922.7,5751,200 W WASHINGTON SQ,The St. James,881567905,19106,1,2003,Multifamily Housing,415790,5023248,,,10484.9,28,51.7,162.4,17006.2,2466.4,
7026556.8,5753,1501-15 CHESTNUT ST,The Avenir,881031014,19102,1,1909,Multifamily Housing,140000,5023391,,,1197132.4,53,58.7,167.9,5298.5,885.3,
16391401.5,5778,2101 MARKET ST,Murano Condominium  ASN,888094551,19103,1,2008,Multifamily Housing,710082,5023467,,,19353629.6,46,59.8,125,11204.2,3164.8,
8291733.2,5695,100 N 17TH ST,The Arch,881035950,19103,1,1914,Multifamily Housing,125000,6022368,,,642972.8,1,71.5,214.5,963.5,962.5,
24256099.1,5709,1901 JOHN F KENNEDY BLVD,"Kennedy House, Inc",881035500,19103,1,1968,Multifamily Housing,689799,4956634,,,6925436.7,49,50,135.6,5440.9,3241.5,
1437206.1,5872,912-28 WALNUT ST,Barringer Building,881008240,19114,1,1976,Multifamily Housing,140000,4968782,,,3594656.1,93,50.2,77.4,10743.5,508.8,
10876360.7,5890,1930-34 CHESTNUT ST,The Republic,881564050,19103,1,1929,Multifamily Housing,125994,4885744,,,2396208.7,1,105.3,293.9,5255,1406.4,
3393173.6,5891,400-14 WALNUT ST,The Broderick,881569810,19106,1,1920,Multifamily Housing,92741,4885851,,,1084803.3,35,48.3,129,2220.2,461.2,
2104400.5,6030,1000 WALNUT ST,Orlowitz Building,881008255,19107,1,1968,Residence Hall/Dormitory,216000,4993957,,,6392260,93,39.3,66.2,6470.5,665.8,
25129274.2,5934,1420 LOCUST ST,"(PA3537)	Academy House COA",772732000,19102,1,1977,Multifamily Housing,739800,4979554,,,10520496.8,50,48.2,123.8,2.3,3580.4,
2707274.6,6162,232-52 S 24TH ST,Locust on the Park,881032850,19103,1,1999,Multifamily Housing,216903,5098898,,,2860735.8,100,28.1,60.3,5120.4,500.4,
42738780.2,6171,1601-23 MARKET ST,APF - 1601 Market Street,883338000,19103,1,1969,Office,713271,4179755,,,13301114.6,83,78.6,210.6,11441.8,5784.4,
538589,4705,2200-26 N 22ND ST,Pratt,785727200,19132,1,1952,K-12 School,59000,3330862,106910.9,4143312.2,,64,81.2,101.5,414.4,374.9,
816664.6,4883,2100 S 18TH ST,Girard,782720400,19145,1,1957,K-12 School,66685,3330821,101520,2961756.1,,58,58.2,84.9,1098.8,318.8,
2234622.2,4874,4420 HAVERFORD AVE,Locke,783206951,19104,1,1965,K-12 School,77000,3330804,117600.6,3806178,,20,80,142.7,1096.4,545,
1909803.5,4878,2101 S 24TH ST,Vare EH,782808000,19139,1,1980,K-12 School,120000,3330811,471500.5,7678872.3,,60,83.8,118.7,761.1,813.9,
118643599.4,4671,400 UNIVERSITY AVE,Philadelphia,783531800,19104,20,1966,Hospital (General Medical & Surgical),1762546,1066282,154928940.4,0,,55,197.8,387.1,57907,21390.3,
39128133.6,4676,1101-11 MARKET ST,ARAMARK Tower,883308700,19107,1,1984,Office,759072,1467329,13540147.4,1791971.4,,85,71.7,183,13119.7,5339.4,
782038.2,4710,2801-37 W GLENWOOD AVE,Gideon,784168800,19121,1,1952,K-12 School,67000,3330869,348834.4,2813681.9,,84,58.9,84.5,1957.5,317,
2063601.1,4713,2922 MEMPHIS ST,Jones,786324800,19134,1,1924,K-12 School,118000,3330873,398433.9,6830310,,74,78.7,116.9,655.5,764.7,
4562683.4,4715,243-57 E ALLEGHENY AVE,Stetson,786010400,19134,1,1917,K-12 School,140000,3330876,126207.8,5753081.8,,12,74.6,144.8,1456.2,956.9,
1581397.5,4716,528-44 N 13TH ST,Stoddart-Fleisher,781646000,19123,1,1926,K-12 School,108393,3330877,850950.1,8943917.9,,39,105,137.4,1011,890.3,
653631.4,4718,1829 E CLEARFIELD ST,Conwell,786072800,19134,1,1926,K-12 School,55600,3330880,210260.6,3943074.1,,85,86.5,112.5,390.1,378.7,
916447.5,4719,1720-58 N 12TH ST,Dunbar,781641600,19122,1,1932,K-12 School,53200,3330883,84949.3,3466973.9,,44,84,121.6,1782.8,366.9,
43712640.1,4741,5000 WISSAHICKON AVE,PA0000AT - WISSAHICKON FED BLDG,784484000,19144,1,1998,Office,449021,2474727,2995967.4,76452,,49,104.2,303.9,9753.6,5050.7,
32282453.8,4742,5301 CEDAR AVE,Mercy Philadelphia Hospital,774005000,19143,1,1918,Hospital (General Medical & Surgical),613550,2492942,42916365.2,0,,100,122.8,238.9,18674.4,5992.1,
56508223.6,4688,601 MARKET ST,PA0000BG-BYRNE GREEN COMPLEX,781208400,19106,1,1985,Mixed Use Property,1834559,1134770,52277438,19596,,87,63.6,135.5,20802.7,9249.8,
19519506.1,4701,200-32 CHESTNUT ST,PA0144ZZ-PHILADELPHIA CUSTOMHOUSE,781049800,19106,1,1973,Office,567710,1297698,7226833.9,0,,91,47.6,122.7,3360.8,2622.3,
2287632.4,4788,3400-42 FRANKFORD AVE,Webster,786146001,19134,1,1968,K-12 School,92275,3330908,389073.5,3250728.2,,43,64.2,117.9,3303.3,524.2,
618230.9,4797,140-64 W SEYMOUR ST,Fitler,785435800,19144,1,1899,K-12 School,38000,3330922,42301.5,3637680,,13,113.1,148.9,831.9,343.1,
1135198.3,4841,1800-56 W NEDRO AVE,Pennell,785356200,19141,1,1927,K-12 School,70498,3330745,209418.4,4179330.1,,20,78.4,113.6,616.2,451.5,
1033639.5,4843,6101 N FRONT ST,Finletter,785202400,19120,1,1930,K-12 School,62760,3330748,144246.3,3762708.2,,54,78.7,114.7,891.2,405.4,
2303461,4844,5741 RISING SUN AVE,Franklin ES,786458400,19120,1,1916,K-12 School,76930,3330749,289189.5,4777698,,58,95.8,160.7,1466,634.1,
646550.5,4845,1501 SELLERS ST,Marshall J,786487800,19124,1,1909,K-12 School,58450,3330751,88668.6,2039364.1,,83,47.5,71.6,512.6,230.2,
955260.7,4848,6801 COTTAGE ST,Disston,786081400,19135,1,1923,K-12 School,67842,3330760,194797.3,4292490,,49,80.2,111.1,1332.9,438.4,
1131345.5,4849,4300 BLEIGH AVE,Forrest,786039800,19136,1,1928,K-12 School,63250,3330761,879185.8,3510857.8,,51,87.3,126.8,470.4,437,
1455981.9,4850,700 RHAWN ST,Fox Chase,786455000,19111,1,1949,K-12 School,52500,3330762,335854.8,2870537.7,,55,88.8,149,1660.5,397.8,
1312602.2,4854,8300 CASTOR AVE,Farrell,786066400,19152,1,1958,K-12 School,66382,3330767,214820.6,1217022,,61,41.3,84,884.6,252.3,
2879937.5,4857,3500 ACADEMY RD,Decatur,786001800,19154,1,1965,K-12 School,89247,3330770,238577.8,2772144,,8,66,135.5,1168.3,548.7,
1242092.9,4867,400-16 S 52ND ST,Huey,783732400,19143,1,1963,K-12 School,88183,3330793,1279.1,3097962.2,,64,49.2,79.7,13.8,372.4,
1326694.8,4869,700 N 35TH ST,McMichael,783631400,19104,1,1916,K-12 School,100000,3330796,168801,5928204.2,,19,74.2,103.3,92.8,601,
1069691.3,4871,4901-57 PARRISH ST,Rhoads J,783394400,19139,1,1960,K-12 School,70000,3330799,197600.7,3920442.3,,19,74.1,107.5,1376.6,424.1,
2297576,4888,1100 CATHARINE ST,Palumbo,781043800,19147,1,1980,K-12 School,185206,3330829,398172.3,9106205.9,,88,63.7,90.9,1015.4,960.4,
788755.8,4890,626 DICKINSON ST,Kirkbride,781082800,19147,1,1926,K-12 School,57000,3330838,117500.1,3537216.3,,43,78,108.3,948,359.2,
